condition,bit_width,n_clusters,rotation_seed,norm_bits,effective_bits_per_channel,static_metadata_bytes,eval_seq_len,layers_evaluated,key_mse,normalized_key_mse,worst_key_mse,worst_key_layer,worst_key_kv_head,quantize_ms,dequantize_ms,quantize_us_per_vector,dequantize_us_per_vector,partition_ari_mean,partition_ari_min,magnitude_relative_drift_mean,magnitude_relative_drift_max,attention_logit_mse,attention_logit_bias,attention_probability_kl,attention_output_mse,worst_attention_logit_mse,worst_attention_layer,worst_attention_query_head
b3_k1_seed11,3,1,11,16,3.125,16785408,512,32,0.14006996783427894,0.0002645008758008771,0.3946497440338135,29,6,152.85778790712357,76.42726227641106,1.166212371117581,0.5830937368500599,1.0,1.0,0.10936143657209027,0.22245843497798096,0.22505122597454585,0.0960379994635926,0.03222092581563629,0.00038272606218470173,1.2719227075576782,1,6
b3_k1_seed11,3,1,11,16,3.125,16785408,2048,32,0.15261813555844128,0.0002652270768521703,0.3941446542739868,29,6,57.78775364160538,57.75649845600128,0.11022139290162158,0.11016177836609131,1.0,1.0,0.10157498359686071,0.1641429303277043,,,,,,,
b3_k1_seed29,3,1,29,16,3.125,16785408,512,32,0.13879340630955994,0.00026286037700629095,0.28375110030174255,29,6,101.84511914849281,59.76138636469841,0.7770165950660157,0.45594319431074837,1.0,1.0,0.10936143657209027,0.22245843497798096,0.22046586691055148,0.09410970601422047,0.031836693291552365,0.0003775764314895014,0.7773317098617554,31,14
b3_k1_seed29,3,1,29,16,3.125,16785408,2048,32,0.15130613697692752,0.00026355861064075725,0.2993774116039276,29,6,57.62898176908493,57.59715288877487,0.10991855958764063,0.10985785081629729,1.0,1.0,0.10157498359686071,0.1641429303277043,,,,,,,
b3_k1_seed47,3,1,47,16,3.125,16785408,512,32,0.13976348633877933,0.000264576668087102,0.3329499363899231,29,6,102.30588540434837,59.211958199739456,0.7805319626186247,0.4517513900736958,1.0,1.0,0.10936143657209027,0.22245843497798096,0.22516852187366745,0.09987443255634568,0.03279316044063307,0.00039395457179125515,0.8098945021629333,31,14
b3_k1_seed47,3,1,47,16,3.125,16785408,2048,32,0.15172994462773204,0.00026417348544782726,0.3516782522201538,29,6,57.555194944143295,57.78943374752998,0.10977782238796863,0.11022459744935986,1.0,1.0,0.10157498359686071,0.1641429303277043,,,,,,,
b3_k2_seed11,3,2,11,16,3.25,15225352,512,32,0.11104044853709638,0.000212412054224842,0.19957377016544342,19,6,177.56391316652298,102.04027593135834,1.3547051480600203,0.7785055231579463,0.8815290475115288,0.1277533039647577,0.10936143657209027,0.22245843497798096,0.31195008104075234,0.06538511758949789,0.04311549547128379,0.0004994463274954342,1.3064652681350708,24,3
b3_k2_seed11,3,2,11,16,3.25,15225352,2048,32,0.11999600171111524,0.00021125314970049658,0.21031957864761353,1,4,101.49014368653297,97.95696660876274,0.19357708680445285,0.18683808633568333,0.9009938130681436,0.0544576771510419,0.10157498359686071,0.1641429303277043,,,,,,,
b3_k2_seed29,3,2,29,16,3.25,15225352,512,32,0.11155360634438694,0.00021356933802962885,0.19256258010864258,7,0,160.49636155366898,97.3953977227211,1.2244900631230848,0.7430679147546471,0.8815290475115288,0.1277533039647577,0.10936143657209027,0.22245843497798096,0.31656674985532407,0.08048698067897476,0.04306498047662899,0.0004662197976870175,1.4306182861328125,28,13
b3_k2_seed29,3,2,29,16,3.25,15225352,2048,32,0.12023193901404738,0.00021173953973629978,0.1991008073091507,7,0,101.51072219014168,98.05121645331383,0.19361633718517623,0.18701785364783063,0.9009938130681436,0.0544576771510419,0.10157498359686071,0.1641429303277043,,,,,,,
b3_k2_seed47,3,2,47,16,3.25,15225352,512,32,0.112023682333529,0.00021438418070829357,0.19194673001766205,1,4,160.40034592151642,97.85815700888634,1.2237575219842256,0.7465984879218013,0.8815290475115288,0.1277533039647577,0.10936143657209027,0.22245843497798096,0.3156136183710823,0.05677481286126038,0.04343161248834804,0.000488565715443201,1.6012440919876099,28,27
b3_k2_seed47,3,2,47,16,3.25,15225352,2048,32,0.12059739627875388,0.00021266969724820228,0.19849684834480286,4,3,99.51724484562874,96.80093079805374,0.1898140808975768,0.18463312301264523,0.9009938130681436,0.0544576771510419,0.10157498359686071,0.1641429303277043,,,,,,,
b3_k4_seed11,3,4,11,16,3.5,8190016,512,32,0.0979782969225198,0.00018785387374009588,0.21667417883872986,1,4,271.60923182964325,171.98189347982407,2.0722139879580936,1.3121177175889898,0.6363869566459718,0.2799173203927634,0.10936143657209027,0.22245843497798096,0.27712037595856726,0.04541491349654356,0.037578176183160394,0.0004106471908187359,1.801777958869934,28,13
b3_k4_seed11,3,4,11,16,3.5,8190016,2048,32,0.10518579208292067,0.00018574040313978912,0.2206900417804718,1,4,184.190534055233,173.0756312608719,0.3513155633072529,0.3301155686585844,0.6938599753518808,0.3000490600306886,0.10157498359686071,0.1641429303277043,,,,,,,
b3_k4_seed29,3,4,29,16,3.5,8190016,512,32,0.09762599086388946,0.00018710695121626486,0.15695349872112274,1,1,271.0338570177555,170.72391510009766,2.0678242265148583,1.3025201042182744,0.6363869566459718,0.2799173203927634,0.10936143657209027,0.22245843497798096,0.2766332965612876,0.04983890418972653,0.039025940699502826,0.0004479464780899889,1.6777558326721191,7,15
b3_k4_seed29,3,4,29,16,3.5,8190016,2048,32,0.10501896846108139,0.00018528376813264913,0.16867539286613464,31,2,183.03127959370613,171.3014841079712,0.3491044608949778,0.32673165151209105,0.6938599753518808,0.3000490600306886,0.10157498359686071,0.1641429303277043,,,,,,,
b3_k4_seed47,3,4,47,16,3.5,8190016,512,32,0.09725813590921462,0.00018649419325811323,0.17289748787879944,1,4,278.0616283416748,172.22953215241432,2.1214418666204438,1.3140070507233759,0.6363869566459718,0.2799173203927634,0.10936143657209027,0.22245843497798096,0.27807963428906296,0.040469359519363146,0.0390199736575596,0.00042184928361166385,1.3900305032730103,28,13
b3_k4_seed47,3,4,47,16,3.5,8190016,2048,32,0.10480554704554379,0.00018486753697288805,0.17929397523403168,1,4,184.12847816944122,171.8658171594143,0.35119720109832997,0.32780803138621195,0.6938599753518808,0.3000490600306886,0.10157498359686071,0.1641429303277043,,,,,,,
