scheduler,seed,configured_steps,step,minibatch_mse,last_10_step_mean,ema_mse,learning_rate,gradient_norm,optimizer_elapsed_seconds,evaluation_elapsed_seconds,wall_elapsed_seconds
cosine,35,100,0,,,,0.005,,0.0,0.12452656775712967,0.0
cosine,35,100,10,0.0006919414736330509,0.0007510433031711727,0.0008390610444817711,0.004883759226200989,5.873104601050727e-05,0.22130361944437027,0.12452656775712967,0.38662876188755035
cosine,35,100,20,0.0006373467622324824,0.000660104351118207,0.0007663330766524908,0.0045464153616405,4.913570955977775e-05,0.30331099033355713,0.12452656775712967,0.47209539264440536
cosine,35,100,30,0.0005982656730338931,0.000615184655180201,0.0007050795724748544,0.004020989974194624,4.571130921249278e-05,0.38526325672864914,0.12452656775712967,0.5574254170060158
cosine,35,100,40,0.0005701076006516814,0.0005826912703923881,0.0006555354616298368,0.0033589153616404984,4.2810261220438406e-05,0.4672071114182472,0.12452656775712967,0.6427810415625572
cosine,35,100,50,0.0005575012182816863,0.0005625309480819851,0.0006179736231648814,0.002624999999999997,3.951819962821901e-05,0.549231082201004,0.12452656775712967,0.7282179668545723
cosine,35,100,60,0.0005319118499755859,0.0005424350965768099,0.0005874079537155498,0.0018910846383594984,3.8465659599751234e-05,0.6312331259250641,0.12452656775712967,0.8136201277375221
cosine,35,100,70,0.0005222629406489432,0.0005313769914209842,0.0005647118313795513,0.0012290100258053754,3.620240750024095e-05,0.7133067324757576,0.12452656775712967,0.8991540968418121
cosine,35,100,80,0.0005157016566954553,0.000520685757510364,0.000546842326103112,0.0007035846383594995,3.296681461506523e-05,0.7952874377369881,0.12452656775712967,0.9845258146524429
cosine,35,100,90,0.0005134285311214626,0.0005157771578524261,0.0005343663519424732,0.0003662407737990102,3.1960036722011864e-05,0.8772755116224289,0.12452656775712967,1.0699381083250046
cosine,35,100,100,0.000512345286551863,0.0005136695865076036,0.0005260412370193343,0.00025,3.10091782012023e-05,0.959309458732605,0.16264665126800537,1.1553707644343376
