condition_id,method,bit_width,seed,rotation_forward_latency_ms,rotation_forward_microseconds_per_vector,codec_latency_ms,codec_microseconds_per_vector,latency_vectors,rotation_storage_bytes_fp32
identity_b2_snone,identity,2,,0.33653154969215393,0.005135063929628814,1.442161202430725,0.022005633582011797,65536,0
random_b2_s17,random,2,17,0.33926069736480713,0.005176707418286242,1.4437757432460785,0.02203026951974607,65536,16777216
learned_b2_s17,learned,2,17,0.3384239971637726,0.005163940386410104,1.4445886015892029,0.0220426727537415,65536,16777216
random_b2_s29,random,2,29,0.33884793519973755,0.005170409167476464,1.4440715312957764,0.02203478288720362,65536,16777216
learned_b2_s29,learned,2,29,0.3384828567504883,0.005164838512428105,1.447085291147232,0.022080769213062013,65536,16777216
random_b2_s43,random,2,43,0.33833011984825134,0.005162507932254812,1.4446847140789032,0.022044139313948108,65536,16777216
learned_b2_s43,learned,2,43,0.33891797065734863,0.005171477823751047,1.4441974461078644,0.022036704194761114,65536,16777216
identity_b3_snone,identity,3,,0.33798515796661377,0.005157244231668301,1.4588356018066406,0.022260064724832773,65536,0
random_b3_s17,random,3,17,0.33846646547317505,0.005164588401385117,1.4617659151554108,0.022304777758108685,65536,16777216
learned_b3_s17,learned,3,17,0.33837705850601196,0.005163224159332458,1.4616519212722778,0.022303038349491544,65536,16777216
random_b3_s29,random,3,29,0.33834725618362427,0.0051627694119815715,1.4609448611736298,0.022292249468591763,65536,16777216
learned_b3_s29,learned,3,29,0.34014657139778137,0.005190224783291342,1.4630168676376343,0.022323865778162144,65536,16777216
random_b3_s43,random,3,43,0.3386087715625763,0.0051667598199856,1.463058590888977,0.022324502424453385,65536,16777216
learned_b3_s43,learned,3,43,0.33865347504615784,0.00516744194101193,1.4622263610363007,0.02231180360467988,65536,16777216
identity_b4_snone,identity,4,,0.3362692892551422,0.005131062152941013,1.4823511242866516,0.022618883122049738,65536,0
random_b4_s17,random,4,17,0.33863112330436707,0.005167100880498765,1.4850206673145294,0.022659617116005393,65536,16777216
learned_b4_s17,learned,4,17,0.33878013491630554,0.005169374617253197,1.4870092272758484,0.022689960132993292,65536,16777216
random_b4_s29,random,4,29,0.33826902508735657,0.0051615757001854945,1.4860041439533234,0.022674623778584646,65536,16777216
learned_b4_s29,learned,4,29,0.3391571342945099,0.005175127171241911,1.4869391918182373,0.02268889147671871,65536,16777216
random_b4_s43,random,4,43,0.33804550766944885,0.005158165095053846,1.4858387410640717,0.022672099930787226,65536,16777216
learned_b4_s43,learned,4,43,0.341043621301651,0.005203912678553024,1.4875911176204681,0.02269883907501935,65536,16777216
