condition_id,method,bit_width,seed,mean_nll,perplexity,predicted_tokens,elapsed_seconds
fp16,fp16,,,1.6503686308860779,5.208899634595746,1022,0.28327474743127823
identity_b2_snone,identity,2,,5.801072120666504,330.6538707920363,1022,0.21027115732431412
random_b2_s17,random,2,17,1.9334129095077515,6.91306368661434,1022,0.21035800129175186
learned_b2_s17,learned,2,17,1.7969468235969543,6.031204991915327,1022,0.2109386846423149
random_b2_s29,random,2,29,1.8759616613388062,6.5270929561446565,1022,0.21053693443536758
learned_b2_s29,learned,2,29,1.784820020198822,5.958507440086255,1022,0.2103470414876938
random_b2_s43,random,2,43,1.8503301739692688,6.3619197161529835,1022,0.2104225605726242
learned_b2_s43,learned,2,43,1.7636763453483582,5.833845248801583,1022,0.2100459188222885
identity_b3_snone,identity,3,,4.431453466415405,84.05349710418434,1022,0.21042495965957642
random_b3_s17,random,3,17,1.6878480911254883,5.4078310155373295,1022,0.21068985015153885
learned_b3_s17,learned,3,17,1.6857628226280212,5.396565985269394,1022,0.2106349915266037
random_b3_s29,random,3,29,1.6947252750396729,5.445149841136812,1022,0.21049191802740097
learned_b3_s29,learned,3,29,1.6900832056999207,5.419931655577047,1022,0.2106064409017563
random_b3_s43,random,3,43,1.7047972083091736,5.5002701450232925,1022,0.21058019995689392
learned_b3_s43,learned,3,43,1.6807060837745667,5.369345840960059,1022,0.2106252908706665
identity_b4_snone,identity,4,,2.685305953025818,14.662686787455003,1022,0.23063333332538605
random_b4_s17,random,4,17,1.6580331921577454,5.2489769563505035,1022,0.21088067442178726
learned_b4_s17,learned,4,17,1.6650940775871277,5.286170536537849,1022,0.21082549542188644
random_b4_s29,random,4,29,1.6609250903129578,5.2641784330943455,1022,0.2107938453555107
learned_b4_s29,learned,4,29,1.6570771932601929,5.243961338011751,1022,0.21066820621490479
random_b4_s43,random,4,43,1.6642941236495972,5.2819435345315515,1022,0.21076668053865433
learned_b4_s43,learned,4,43,1.6448343396186829,5.180151689959953,1022,0.21115092933177948
