condition_id,method,bit_width,seed,retrieval_accuracy,retrieval_mean_target_margin,retrieval_tasks,elapsed_seconds
fp16,fp16,,,1.0,10.619791666666666,6,1.35323978215456
identity_b2_snone,identity,2,,0.3333333333333333,0.3723958333333333,6,1.4110024720430374
random_b2_s17,random,2,17,0.8333333333333334,6.46875,6,1.4112716391682625
learned_b2_s17,learned,2,17,0.8333333333333334,6.1875,6,1.4114230647683144
random_b2_s29,random,2,29,1.0,5.223958333333333,6,1.4109157547354698
learned_b2_s29,learned,2,29,0.8333333333333334,4.578125,6,1.410450354218483
random_b2_s43,random,2,43,1.0,6.614583333333333,6,1.4106962978839874
learned_b2_s43,learned,2,43,0.8333333333333334,6.234375,6,1.4107527285814285
identity_b3_snone,identity,3,,1.0,3.6770833333333335,6,1.4113573879003525
random_b3_s17,random,3,17,0.8333333333333334,9.520833333333334,6,1.411560319364071
learned_b3_s17,learned,3,17,1.0,10.401041666666666,6,1.4120449498295784
random_b3_s29,random,3,29,1.0,10.802083333333334,6,1.412136748433113
learned_b3_s29,learned,3,29,1.0,10.598958333333334,6,1.411166399717331
random_b3_s43,random,3,43,1.0,9.947916666666666,6,1.411657564342022
learned_b3_s43,learned,3,43,1.0,9.427083333333334,6,1.4120964035391808
identity_b4_snone,identity,4,,1.0,9.833333333333334,6,1.4129425659775734
random_b4_s17,random,4,17,1.0,11.130208333333334,6,1.4136078134179115
learned_b4_s17,learned,4,17,1.0,10.854166666666666,6,1.4122803434729576
random_b4_s29,random,4,29,1.0,10.380208333333334,6,1.412279486656189
learned_b4_s29,learned,4,29,1.0,10.895833333333334,6,1.4124110490083694
random_b4_s43,random,4,43,1.0,10.885416666666666,6,1.4125163033604622
learned_b4_s43,learned,4,43,1.0,9.854166666666666,6,1.4126205742359161
