condition_id,method,bit_width,seed,task_id,length,position_fraction,target,prediction,correct,target_logit,target_margin
fp16,fp16,,,length512_case0,512,0.1,avocado,avocado,1,19.375,11.65625
fp16,fp16,,,length512_case1,512,0.5,telescope,telescope,1,19.25,10.125
fp16,fp16,,,length1024_case0,1024,0.1,violin,violin,1,19.625,6.4375
fp16,fp16,,,length1024_case1,1024,0.5,cinnamon,cinnamon,1,20.5,12.0625
fp16,fp16,,,length2048_case0,2048,0.1,avocado,avocado,1,20.0,12.375
fp16,fp16,,,length2048_case1,2048,0.5,telescope,telescope,1,20.0,11.0625
identity_b2_snone,identity,2,,length512_case0,512,0.1,avocado,telescope,0,8.25,-1.0
identity_b2_snone,identity,2,,length512_case1,512,0.5,telescope,telescope,1,12.25,5.15625
identity_b2_snone,identity,2,,length1024_case0,1024,0.1,violin,telescope,0,9.6875,-0.0625
identity_b2_snone,identity,2,,length1024_case1,1024,0.5,cinnamon,telescope,0,3.234375,-11.203125
identity_b2_snone,identity,2,,length2048_case0,2048,0.1,avocado,telescope,0,10.875,-0.0625
identity_b2_snone,identity,2,,length2048_case1,2048,0.5,telescope,telescope,1,13.5,9.40625
random_b2_s17,random,2,17,length512_case0,512,0.1,avocado,avocado,1,18.75,11.59375
random_b2_s17,random,2,17,length512_case1,512,0.5,telescope,telescope,1,16.125,2.5625
random_b2_s17,random,2,17,length1024_case0,1024,0.1,violin,telescope,0,14.0,-3.5
random_b2_s17,random,2,17,length1024_case1,1024,0.5,cinnamon,cinnamon,1,21.125,14.21875
random_b2_s17,random,2,17,length2048_case0,2048,0.1,avocado,avocado,1,19.0,8.3125
random_b2_s17,random,2,17,length2048_case1,2048,0.5,telescope,telescope,1,17.5,5.625
learned_b2_s17,learned,2,17,length512_case0,512,0.1,avocado,avocado,1,16.75,7.0
learned_b2_s17,learned,2,17,length512_case1,512,0.5,telescope,cinnamon,0,10.625,-1.25
learned_b2_s17,learned,2,17,length1024_case0,1024,0.1,violin,violin,1,17.75,5.0625
learned_b2_s17,learned,2,17,length1024_case1,1024,0.5,cinnamon,cinnamon,1,19.5,8.5
learned_b2_s17,learned,2,17,length2048_case0,2048,0.1,avocado,avocado,1,18.125,10.75
learned_b2_s17,learned,2,17,length2048_case1,2048,0.5,telescope,telescope,1,17.0,7.0625
random_b2_s29,random,2,29,length512_case0,512,0.1,avocado,avocado,1,17.625,12.84375
random_b2_s29,random,2,29,length512_case1,512,0.5,telescope,telescope,1,18.0,2.125
random_b2_s29,random,2,29,length1024_case0,1024,0.1,violin,violin,1,18.375,1.0
random_b2_s29,random,2,29,length1024_case1,1024,0.5,cinnamon,cinnamon,1,18.875,9.1875
random_b2_s29,random,2,29,length2048_case0,2048,0.1,avocado,avocado,1,19.25,4.3125
random_b2_s29,random,2,29,length2048_case1,2048,0.5,telescope,telescope,1,16.125,1.875
learned_b2_s29,learned,2,29,length512_case0,512,0.1,avocado,avocado,1,15.75,5.5625
