method,scope,layer,kv_head,covariance_relative_frobenius_difference,principal_subspace_similarity_top16,principal_subspace_similarity_top32,principal_subspace_similarity_top64,heldout_half1_normalized_key_mse,heldout_half2_normalized_key_mse,heldout_half2_minus_half1_normalized_key_mse
activation_k_pca_h,head,0,0,0.04553558669871939,0.8826007871837188,0.9411440235917388,0.9671589727670015,0.0008538093388779089,0.0008575046376790851,3.69529880117625e-06
activation_k_pca_h,head,0,1,0.04442347957563041,0.865733278380247,0.9445675636602795,0.9709831681480805,0.0007016612071311101,0.0007279707278939895,2.63095207628794e-05
activation_k_pca_h,head,0,2,0.08323044384720246,0.8990355240200042,0.9370203504830287,0.9560002670451755,0.0006516870853374712,0.0006519780436065048,2.90958269033581e-07
activation_k_pca_h,head,0,3,0.062283862445102776,0.9415174876991473,0.9458367318730878,0.9551797541911438,0.0007082224983605556,0.0006973302806727588,-1.0892217687796801e-05
activation_k_pca_h,head,0,4,0.04915722811693052,0.977632946650938,0.9569706705515049,0.9544962043559624,0.0007119334186427295,0.0006964399217395112,-1.549349690321833e-05
activation_k_pca_h,head,0,5,0.07430718976918871,0.9443205812496727,0.9559482791637214,0.9711042043904666,0.0007179128224379383,0.0006895625338074751,-2.8350288630463183e-05
activation_k_pca_h,head,0,6,0.04959073810241065,0.7482697002208157,0.8553385023668578,0.9840981210623052,0.0007262578292284161,0.000758500158553943,3.224232932552695e-05
activation_k_pca_h,head,0,7,0.06719016330744013,0.9877471004278326,0.9837633618250775,0.9786492460137355,0.0007021054625511169,0.0006717836877214722,-3.032177482964471e-05
activation_k_pca_h,head,1,0,0.0489710480137457,0.9135495806786629,0.9297781854646756,0.9474683258511984,0.0007892018693382852,0.0008044144706218503,1.5212601283565164e-05
activation_k_pca_h,head,1,1,0.042254186098482985,0.908140848914406,0.9254166370531961,0.9479599751540164,0.0007775007834425196,0.0008100017803371884,3.250099689466879e-05
activation_k_pca_h,head,1,2,0.01918663577745233,0.8830340457976374,0.9225305143593258,0.9575105195057576,0.001196630604681559,0.0011812587472377345,-1.537185744382441e-05
activation_k_pca_h,head,1,3,0.04782197989054139,0.8669862685439911,0.9313733329469331,0.9636496334636144,0.0007844568826840259,0.0007796199861331843,-4.8368965508416295e-06
activation_k_pca_h,head,1,4,0.0431354358273179,0.9000878501795261,0.9116191170679933,0.973004423969235,0.0008183032914530486,0.000804568211606238,-1.373507984681055e-05
activation_k_pca_h,head,1,5,0.04071028871137732,0.8111477607144871,0.8938380293200223,0.9846698132631074,0.0008007905998965725,0.0008062296183197759,5.439018423203379e-06
activation_k_pca_h,head,1,6,0.0398396879626936,0.8333804605145018,0.9106443991030901,0.966895100344301,0.0008198442301363684,0.0008246255529229529,4.7813227865844965e-06
activation_k_pca_h,head,1,7,0.057197328510786204,0.8920982311133665,0.9302454849670865,0.9431078178117566,0.000752662293962203,0.0007561381280538626,3.4758340916596353e-06
