condition_id,method,bit_width,seed,task,example_index,example_id,batch_id,batch_size,batch_padded_prompt_tokens,prompt_tokens,generated_tokens,batch_prefill_seconds,batch_decode_seconds,batch_decode_steps,batch_total_seconds,prefill_seconds,decode_seconds,decode_seconds_per_token,total_seconds,peak_gpu_memory_bytes,theoretical_kv_bytes_per_token,actual_cache_dtype
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,qasper,7,1bd9a082bd7b5ab6c152dbda3db38c0c3bc92cddf82383a3,qasper_batch0000_examples7-7,1,3606,3606,17,0.9252060800790787,0.6689260378479958,16,1.60989511013031,0.9252060800790787,0.6689260378479958,0.041807877365499735,1.60989511013031,17100428800,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,qasper,51,d95b33cbe3496fb98638b3c3b1a956847b6472aa8d18a5cc,qasper_batch0001_examples51-51,1,3385,3385,12,0.6281696259975433,0.43462979793548584,11,1.0651706606149673,0.6281696259975433,0.43462979793548584,0.039511799812316895,1.0651706606149673,17036312576,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,qasper,54,b959a2ca0687fbe1c4f11a6fda00eb9341525f1502c9afc6,qasper_batch0002_examples54-54,1,5608,5608,2,1.0556281208992004,0.05048034340143204,1,1.1065973415970802,1.0556281208992004,0.05048034340143204,0.05048034340143204,1.1065973415970802,17651689472,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,qasper,75,b1fdb80cd96f455762f4f3be78a4932e7ae5edb2802d9e5c,qasper_batch0003_examples75-75,1,4379,4379,7,0.8242026641964912,0.2600150480866432,6,1.0855588838458061,0.8242026641964912,0.2600150480866432,0.04333584134777387,1.0855588838458061,17307796992,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,qasper,99,d9c7574b1ed1ebd6eb755e6bbeee3513c9c912771059348c,qasper_batch0004_examples99-99,1,3683,3683,29,0.683691993355751,1.1350552588701248,28,1.8246613964438438,0.683691993355751,1.1350552588701248,0.04053768781679017,1.8246613964438438,17120119808,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,qasper,114,e28df0e3283943b1e011e1dba7a231e35269588b73697ca4,qasper_batch0005_examples114-114,1,10226,10226,3,2.0475086867809296,0.13318711519241333,2,2.181291736662388,2.0475086867809296,0.13318711519241333,0.06659355759620667,2.181291736662388,18937923584,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,qasper,140,755daa298cdf770c8ed19ddf39270f07e077d88a82aaa0dc,qasper_batch0006_examples140-140,1,5644,5644,4,1.0779617503285408,0.14624790102243423,3,1.2250286564230919,1.0779617503285408,0.14624790102243423,0.04874930034081141,1.2250286564230919,17666579968,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,qasper,144,0225501ce54ac2c95a557a5691a4322482af24748391e6e9,qasper_batch0007_examples144-144,1,6337,6337,27,1.2137943655252457,1.3147027269005775,26,2.534045122563839,1.2137943655252457,1.3147027269005775,0.05056548949617606,2.534045122563839,17863671808,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,qasper,145,34c5eb16ccc55869a263dfda28d028267e29ee243880c9d5,qasper_batch0008_examples145-145,1,7195,7195,20,1.3938361555337906,1.022268369793892,19,2.420285403728485,1.3938361555337906,1.022268369793892,0.053803598410204836,2.420285403728485,18095820288,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,qasper,159,d5e92fcef6747ba1518ae7d8a46ad274b585425b2c889d5b,qasper_batch0009_examples159-159,1,6024,6024,128,1.1551149040460587,6.288390047848225,127,7.470541164278984,1.1551149040460587,6.288390047848225,0.049514882266521454,7.470541164278984,17799718400,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,qasper,209,074b526f101518a8f5c810fed1e28f757dacb7805b161e22,qasper_batch0010_examples209-209,1,19550,19550,2,4.467235162854195,0.10640454292297363,1,4.574173137545586,4.467235162854195,0.10640454292297363,0.10640454292297363,4.574173137545586,21533428736,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,qasper,212,21fc5caf7a80aa10b3d9e86ca96d466edb09ae8961c22c85,qasper_batch0011_examples212-212,1,17349,17349,3,3.849966064095497,0.18800412118434906,2,4.038591794669628,3.849966064095497,0.18800412118434906,0.09400206059217453,4.038591794669628,20919502848,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,qasper,217,3a92f5b9ebedea5d5efd1f4af956b59b4e0ae6ee33db136f,qasper_batch0012_examples217-217,1,10666,10666,9,2.1579276025295258,0.5345647558569908,8,2.69442081451416,2.1579276025295258,0.5345647558569908,0.06682059448212385,2.69442081451416,19059610112,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,qasper,221,1bb7cd04a893fe2a5497bdf7d0dcb064da2ef56144b44bdd,qasper_batch0013_examples221-221,1,21283,21283,31,4.98884154856205,3.17730775475502,30,8.173509858548641,4.98884154856205,3.17730775475502,0.10591025849183401,8.173509858548641,22023124992,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,qasper,223,6fd8cd7777d0b6f36ccdfc044d9b5056e519fd11feb2a750,qasper_batch0014_examples223-223,1,21285,21285,34,4.988932594656944,3.4935209080576897,33,8.489972859621048,4.988932594656944,3.4935209080576897,0.1058642699411421,8.489972859621048,22024517632,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,multifieldqa_en,11,94ccf4d54b36e7e9d4aa594a7bc426528630a5b8aff296a4,multifieldqa_en_batch0000_examples11-11,1,4473,4473,9,0.828517496585846,0.3495378866791725,8,1.1798603236675262,0.828517496585846,0.3495378866791725,0.043692235834896564,1.1798603236675262,17334537728,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,multifieldqa_en,38,235a5c99cd7fae9e2b410ad99c1b1fafea43799d3f1138a8,multifieldqa_en_batch0001_examples38-38,1,2746,2746,3,0.5071193799376488,0.0752149373292923,2,0.5828655287623405,0.5071193799376488,0.0752149373292923,0.03760746866464615,0.5828655287623405,16851806720,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,multifieldqa_en,44,ec016e90ac78727f3c4aa176db472724bda53c07cb8cb696,multifieldqa_en_batch0002_examples44-44,1,4666,4666,18,0.8797227442264557,0.7531691491603851,17,1.6366068944334984,0.8797227442264557,0.7531691491603851,0.044304067597669715,1.6366068944334984,17390804992,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,multifieldqa_en,45,4c9131da4fb2a9dbc8dadce39d20bdc302a092b5740c414a,multifieldqa_en_batch0003_examples45-45,1,3065,3065,26,0.5611293017864227,0.9565340280532837,25,1.5229397267103195,0.5611293017864227,0.9565340280532837,0.03826136112213135,1.5229397267103195,16947071488,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,multifieldqa_en,53,6caa98612cf0e2ddf58e1ba70daaf79a3ac616280fb48188,multifieldqa_en_batch0004_examples53-53,1,3801,3801,46,0.6976730525493622,1.845975324511528,45,2.5531423091888428,0.6976730525493622,1.8459753245115278,0.04102167387803395,2.5531423091888428,17159713280,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,multifieldqa_en,89,566881d2138d7e29cd6dd2b661b6f7ffe4c515c92fdaf837,multifieldqa_en_batch0005_examples89-89,1,9216,9216,3,1.812295325100422,0.1256849393248558,2,1.9385771676898003,1.812295325100422,0.1256849393248558,0.0628424696624279,1.9385771676898003,18654038528,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,multifieldqa_en,90,d427e3ab7584a0e253bfb6a9d76626b726c79b57d5e39f2a,multifieldqa_en_batch0006_examples90-90,1,9141,9141,37,1.811172567307949,2.193482644855976,36,4.012389786541462,1.811172567307949,2.193482644855976,0.06093007346822156,4.012389786541462,18642617344,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,multifieldqa_en,119,f9b9a553107eed5b994a9aaf07e8ccac487feaa8ff108ec6,multifieldqa_en_batch0007_examples119-119,1,11001,11001,14,2.2287976443767548,0.882527656853199,13,3.11428864300251,2.2287976443767548,0.882527656853199,0.06788674283486146,3.11428864300251,19155943936,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,multifieldqa_en,129,df53ff06fbc99dbae6bfe13a946420321d4542480eeb56f3,multifieldqa_en_batch0008_examples129-129,1,9137,9137,13,1.8103662878274918,0.7334134504199028,12,2.546696588397026,1.8103662878274918,0.7334134504199028,0.0611177875349919,2.546696588397026,18634818048,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,multifieldqa_en,134,c60792f391b389a1c44b0a8f62f4a792d9ed82286b1b7f95,multifieldqa_en_batch0009_examples134-134,1,9119,9119,41,1.809448853135109,2.433635301887989,40,4.251543082296848,1.809448853135109,2.433635301887989,0.06084088254719973,4.251543082296848,18637603840,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,multifieldqa_en,137,a9f124fabc341d61e359af8e8badf79dd63a97896c28842e,multifieldqa_en_batch0010_examples137-137,1,11768,11768,64,2.413903087377548,4.436580918729305,63,6.863962948322296,2.413903087377548,4.436580918729305,0.07042191934490961,6.863962948322296,19381893632,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,multifieldqa_en,138,bda4a6b251a601b7f7f956f298b59d8e99993845c1eaf7d6,multifieldqa_en_batch0011_examples138-138,1,14030,14030,22,2.9723589718341827,1.6526133567094803,21,4.62982027977705,2.9723589718341827,1.6526133567094803,0.07869587412902287,4.62982027977705,20000280576,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,multifieldqa_en,141,110688fd7522324ef26cbf3ec4f4b7ab29aa0b687aa1ade5,multifieldqa_en_batch0012_examples141-141,1,11161,11161,44,2.2863381803035736,2.932898409664631,43,5.22857042402029,2.2863381803035736,2.932898409664631,0.06820693975964258,5.22857042402029,19210712064,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,multifieldqa_en,144,46a2207a7a3f6d98effa73491cf83b63f92e29e0023c6e52,multifieldqa_en_batch0013_examples144-144,1,11545,11545,26,2.3767851293087006,1.744127407670021,25,4.126312404870987,2.3767851293087006,1.7441274076700213,0.06976509630680085,4.126312404870987,19309192704,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,multifieldqa_en,147,25d54c0a145838996b56def82126f35b3fabe3e100d10fc0,multifieldqa_en_batch0014_examples147-147,1,12837,12837,41,2.6865319833159447,2.9760948568582535,40,5.671710446476936,2.6865319833159447,2.9760948568582535,0.07440237142145634,5.671710446476936,19673260032,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,hotpotqa,0,1dae9ec530a93f43f85bd215a5c0e6737dbcf226cd3541d8,hotpotqa_batch0000_examples0-0,1,6122,6122,3,1.159918524324894,0.10188126564025879,2,1.2623225674033165,1.159918524324894,0.10188126564025879,0.050940632820129395,1.2623225674033165,17792198656,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,hotpotqa,31,f349d7bdea5f38b858c69ddae4698a287f9d201869c14919,hotpotqa_batch0001_examples31-31,1,2260,2260,5,0.41211826354265213,0.14171896874904633,4,0.5547468885779381,0.41211826354265213,0.14171896874904633,0.03542974218726158,0.5547468885779381,16717877248,74752,bfloat16 reconstructed-key emulation
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,hotpotqa,61,406311f7ab0d87c7aa2a4886827e640bc0848e8206f816c2,hotpotqa_batch0002_examples61-61,1,3810,3810,3,0.6977555230259895,0.08358251303434372,2,0.7818689495325089,0.6977555230259895,0.08358251303434372,0.04179125651717186,0.7818689495325089,17148891136,74752,bfloat16 reconstructed-key emulation
