condition_id,method,bit_width,seed,task,category,examples,mean_score,official_score_rounded,population_stddev
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,qasper,Single QA,1,25.80645161290323,25.81,0.0
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,multifieldqa_en,Single QA,1,80.0,80.0,0.0
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,hotpotqa,Multi QA,1,0.0,0.0,0.0
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,2wikimqa,Multi QA,1,100.0,100.0,0.0
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,gov_report,Summarization,1,33.13609423969749,33.14,0.0
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,multi_news,Summarization,1,22.153845681912436,22.15,0.0
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,trec,Few-shot,1,0.0,0.0,0.0
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,triviaqa,Few-shot,1,100.0,100.0,0.0
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,samsum,Few-shot,1,49.0566032751869,49.06,0.0
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,passage_count,Synthetic,1,0.0,0.0,0.0
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,passage_retrieval_en,Synthetic,1,0.0,0.0,0.0
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,lcc,Code,1,56.00000000000001,56.0,0.0
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,repobench-p,Code,1,35.0,35.0,0.0
