condition_id,method,bit_width,seed,task,category,examples,mean_score,official_score_rounded,population_stddev
wk_pca_h_K2_V16,wk_pca_h,2,,qasper,Single QA,15,48.44179567708979,48.44,39.142945336316316
wk_pca_h_K2_V16,wk_pca_h,2,,multifieldqa_en,Single QA,15,33.50454054401423,33.5,27.717640005559375
wk_pca_h_K2_V16,wk_pca_h,2,,hotpotqa,Multi QA,15,36.44444444444444,36.44,45.40299658354537
wk_pca_h_K2_V16,wk_pca_h,2,,2wikimqa,Multi QA,15,46.666666666666664,46.67,49.88876515698588
wk_pca_h_K2_V16,wk_pca_h,2,,gov_report,Summarization,15,29.86535574454557,29.87,3.832720803402647
wk_pca_h_K2_V16,wk_pca_h,2,,multi_news,Summarization,15,22.414550732881676,22.41,5.715388111729983
wk_pca_h_K2_V16,wk_pca_h,2,,trec,Few-shot,15,60.0,60.0,48.98979485566356
wk_pca_h_K2_V16,wk_pca_h,2,,triviaqa,Few-shot,15,88.88888888888889,88.89,28.97423291201177
wk_pca_h_K2_V16,wk_pca_h,2,,samsum,Few-shot,15,44.62587455955897,44.63,17.50499561591803
wk_pca_h_K2_V16,wk_pca_h,2,,passage_count,Synthetic,15,0.7407407407407407,0.74,2.7715980642769935
wk_pca_h_K2_V16,wk_pca_h,2,,passage_retrieval_en,Synthetic,15,60.0,60.0,48.98979485566356
wk_pca_h_K2_V16,wk_pca_h,2,,lcc,Code,15,47.733333333333334,47.73,27.8842050072956
wk_pca_h_K2_V16,wk_pca_h,2,,repobench-p,Code,15,52.06666666666667,52.07,32.33670085556383
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,qasper,Single QA,15,29.946978792065046,29.95,37.05881324102828
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,multifieldqa_en,Single QA,15,37.92423253004727,37.92,27.131889887121083
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,hotpotqa,Multi QA,15,29.925925925925924,29.93,35.123454620408275
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,2wikimqa,Multi QA,15,40.0,40.0,48.98979485566356
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,gov_report,Summarization,15,29.924588914092215,29.92,4.67062239284013
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,multi_news,Summarization,15,20.483767223100653,20.48,5.181714243297126
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,trec,Few-shot,15,60.0,60.0,48.98979485566356
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,triviaqa,Few-shot,15,87.93650793650794,87.94,28.82777418348315
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,samsum,Few-shot,15,42.54217074223823,42.54,15.176352511731572
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,passage_count,Synthetic,15,17.407407407407405,17.41,34.71617231244589
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,passage_retrieval_en,Synthetic,15,63.333333333333336,63.33,46.42796092394706
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,lcc,Code,15,50.666666666666664,50.67,28.845950996437765
activation_k_pca_h_K2_V16,activation_k_pca_h,2,,repobench-p,Code,15,48.53333333333333,48.53,26.98114568031206
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,qasper,Single QA,15,39.9936340890356,39.99,37.77121672723102
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,multifieldqa_en,Single QA,15,34.81751013976078,34.82,22.251286780102117
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,hotpotqa,Multi QA,15,39.492063492063494,39.49,44.71915103326317
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,2wikimqa,Multi QA,15,48.07017543859649,48.07,48.84129864226053
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,gov_report,Summarization,15,30.882875397967755,30.88,2.8213535430830934
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,multi_news,Summarization,15,23.198145504209048,23.2,5.979348085705721
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,trec,Few-shot,15,53.333333333333336,53.33,49.88876515698588
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,triviaqa,Few-shot,15,84.44444444444444,84.44,34.1384255460827
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,samsum,Few-shot,15,40.36804092105489,40.37,16.3455237333583
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,passage_count,Synthetic,15,1.6666666666666665,1.67,4.5133546692422
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,passage_retrieval_en,Synthetic,15,60.0,60.0,48.98979485566356
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,lcc,Code,15,59.6,59.6,31.993332638744175
attention_q_pca_h_K2_V16,attention_q_pca_h,2,,repobench-p,Code,15,50.0,50.0,29.312113536898018
