condition_id,method,bit_width,seed,task,category,example_index,example_id,dataset_length,length_bucket,score
learned_K2_V2_s35_step10000,learned,2,35,qasper,Single QA,0,b26174d8ec97e8d01421548d3a640e8382db6235eb506661,3411,0-4k,15.0
learned_K2_V2_s35_step10000,learned,2,35,qasper,Single QA,1,8e5e6c35689e17e9f50df76ada506a4c05be9ed081c883d4,3732,0-4k,0.0
learned_K2_V2_s35_step10000,learned,2,35,qasper,Single QA,2,ebfe29b14637ff245ca9117167c10d252b21c64aa484e871,3544,0-4k,25.0
learned_K2_V2_s35_step10000,learned,2,35,qasper,Single QA,3,f4dd3a0b7e956fadae8f49e07a6ef1c6e90a315d21969a76,3224,0-4k,0.0
learned_K2_V2_s35_step10000,learned,2,35,qasper,Single QA,4,e5d1d589ddb30f43547012f04b06ac2924a1f4fdcf56daab,2284,0-4k,0.0
learned_K2_V2_s35_step10000,learned,2,35,qasper,Single QA,5,81fafbdc90dfc4c0ea443de35ee84e7423d8971a66f27a09,3843,0-4k,100.0
learned_K2_V2_s35_step10000,learned,2,35,qasper,Single QA,6,bcfe56efad9715cc714ffd2e523eaa9ad796a453e7da77a6,2317,0-4k,100.0
learned_K2_V2_s35_step10000,learned,2,35,qasper,Single QA,7,1bd9a082bd7b5ab6c152dbda3db38c0c3bc92cddf82383a3,2720,0-4k,87.99999999999999
learned_K2_V2_s35_step10000,learned,2,35,qasper,Single QA,8,d3944ab2d7e6cb9d6f722987f0406aa0aa01c8ace8608a89,2890,0-4k,88.8888888888889
learned_K2_V2_s35_step10000,learned,2,35,qasper,Single QA,9,13e1dbbe70ad33f26ac4d63352332ab577dbdf318691ace0,3198,0-4k,12.903225806451612
learned_K2_V2_s35_step10000,learned,2,35,qasper,Single QA,10,14ee47ba1692905a1a19d0ea0d07143d75ba33030668f927,3039,0-4k,85.71428571428571
learned_K2_V2_s35_step10000,learned,2,35,qasper,Single QA,11,d317e4799402ebdb0a7b6e80fa58ca1074d86a15403492af,3845,0-4k,66.66666666666666
learned_K2_V2_s35_step10000,learned,2,35,qasper,Single QA,12,a3db996005cb6103e9e3a8d19712c6866285e0df89a1b264,3815,0-4k,28.571428571428577
learned_K2_V2_s35_step10000,learned,2,35,qasper,Single QA,13,2dd2de242f407468d7b403c1835dc62579f875dd09a00801,3178,0-4k,80.0
learned_K2_V2_s35_step10000,learned,2,35,qasper,Single QA,14,b66b3c973729802d35f81fa66a7dbb1b846445856909a378,3880,0-4k,6.7415730337078665
learned_K2_V2_s35_step10000,learned,2,35,qasper,Single QA,15,4528fad5e57b98d3022a13b580bd4daa018c7129c12d50ea,3612,0-4k,24.24242424242424
learned_K2_V2_s35_step10000,learned,2,35,qasper,Single QA,16,4ec441a68f88d757c758ad09d9c710c7af94895bb544f3b6,3409,0-4k,0.0
learned_K2_V2_s35_step10000,learned,2,35,qasper,Single QA,17,e7af1912d971eeb3c7f5f96c5440ef649b96bda636efa14d,3366,0-4k,0.0
