condition_id,method,bit_width,seed,task,example_index,example_id,batch_id,batch_size,batch_padded_prompt_tokens,prompt_tokens,generated_tokens,batch_prefill_seconds,batch_decode_seconds,batch_decode_steps,batch_total_seconds,prefill_seconds,decode_seconds,decode_seconds_per_token,total_seconds,peak_gpu_memory_bytes,theoretical_kv_bytes_per_token,actual_cache_dtype
learned_K2_V2_s35_step10000,learned,2,35,qasper,0,b26174d8ec97e8d01421548d3a640e8382db6235eb506661,qasper_batch0000_examples0-0,1,4448,4448,29,1.1532205939292908,1.3553373739123344,28,2.527539685368538,1.1532205939292908,1.3553373739123344,0.0484049062111548,2.527539685368538,17351699456,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,qasper,1,8e5e6c35689e17e9f50df76ada506a4c05be9ed081c883d4,qasper_batch0001_examples1-1,1,4896,4896,4,1.002651460468769,0.14998088777065277,3,1.153626099228859,1.002651460468769,0.14998088777065277,0.049993629256884255,1.153626099228859,17467833856,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,qasper,2,ebfe29b14637ff245ca9117167c10d252b21c64aa484e871,qasper_batch0002_examples2-2,1,4928,4928,15,1.0070188716053963,0.6741343438625336,14,1.6846290230751038,1.0070188716053963,0.6741343438625336,0.04815245313303811,1.6846290230751038,17479727104,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,qasper,3,f4dd3a0b7e956fadae8f49e07a6ef1c6e90a315d21969a76,qasper_batch0003_examples3-3,1,4547,4547,4,0.9298064708709717,0.14547836780548096,3,1.076280638575554,0.9298064708709717,0.14547836780548096,0.04849278926849365,1.076280638575554,17373669376,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,qasper,4,e5d1d589ddb30f43547012f04b06ac2924a1f4fdcf56daab,qasper_batch0004_examples4-4,1,3453,3453,2,0.6891551837325096,0.048514969646930695,1,0.738181047141552,0.6891551837325096,0.048514969646930695,0.048514969646930695,0.738181047141552,17067705344,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,qasper,5,81fafbdc90dfc4c0ea443de35ee84e7423d8971a66f27a09,qasper_batch0005_examples5-5,1,5274,5274,2,1.085929036140442,0.05247950553894043,1,1.1389334425330162,1.085929036140442,0.05247950553894043,0.05247950553894043,1.1389334425330162,17572553216,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,qasper,6,bcfe56efad9715cc714ffd2e523eaa9ad796a453e7da77a6,qasper_batch0006_examples6-6,1,3758,3758,2,0.7496350184082985,0.047723375260829926,1,0.7977726981043816,0.7496350184082985,0.047723375260829926,0.047723375260829926,0.7977726981043816,17150200320,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,qasper,7,1bd9a082bd7b5ab6c152dbda3db38c0c3bc92cddf82383a3,qasper_batch0007_examples7-7,1,3606,3606,19,0.7335891276597977,0.8563124164938927,18,1.5943382754921913,0.7335891276597977,0.8563124164938927,0.047572912027438484,1.5943382754921913,17115790848,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,qasper,8,d3944ab2d7e6cb9d6f722987f0406aa0aa01c8ace8608a89,qasper_batch0008_examples8-8,1,4127,4127,22,0.8503640666604042,0.9898779019713402,21,1.8453277349472046,0.8503640666604042,0.9898779019713402,0.0471370429510162,1.8453277349472046,17261782528,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,qasper,9,13e1dbbe70ad33f26ac4d63352332ab577dbdf318691ace0,qasper_batch0009_examples9-9,1,4372,4372,43,0.88142229616642,1.9783084765076637,42,2.869631364941597,0.88142229616642,1.9783084765076637,0.04710258277399199,2.869631364941597,17335035392,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,qasper,10,14ee47ba1692905a1a19d0ea0d07143d75ba33030668f927,qasper_batch0010_examples10-10,1,4239,4239,10,0.8704442009329796,0.4298037439584732,9,1.3027910143136978,0.8704442009329796,0.4298037439584732,0.04775597155094147,1.3027910143136978,17286412800,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,qasper,11,d317e4799402ebdb0a7b6e80fa58ca1074d86a15403492af,qasper_batch0011_examples11-11,1,5273,5273,2,1.086808703839779,0.05227033048868179,1,1.1395587101578712,1.086808703839779,0.05227033048868179,0.05227033048868179,1.1395587101578712,17572301312,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,qasper,12,a3db996005cb6103e9e3a8d19712c6866285e0df89a1b264,qasper_batch0012_examples12-12,1,5489,5489,9,1.105103924870491,0.4059639424085617,8,1.5134364366531372,1.105103924870491,0.4059639424085617,0.05074549280107021,1.5134364366531372,17634323456,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,qasper,13,2dd2de242f407468d7b403c1835dc62579f875dd09a00801,qasper_batch0013_examples13-13,1,4599,4599,7,0.9318244084715843,0.2902505174279213,6,1.2239739149808884,0.9318244084715843,0.2902505174279213,0.048375086237986885,1.2239739149808884,17386022912,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,qasper,14,b66b3c973729802d35f81fa66a7dbb1b846445856909a378,qasper_batch0014_examples14-14,1,5133,5133,13,1.064335972070694,0.5890684798359871,12,1.6564084365963936,1.064335972070694,0.5890684798359871,0.04908903998633226,1.6564084365963936,17536273920,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,qasper,15,4528fad5e57b98d3022a13b580bd4daa018c7129c12d50ea,qasper_batch0015_examples15-15,1,5169,5169,25,1.0519246011972427,1.1842099726200104,24,2.242114819586277,1.0519246011972427,1.1842099726200104,0.049342082192500435,2.242114819586277,17552011264,18432,bfloat16 reconstructed-K/V emulation
