allocation,component,layer,head,regular_channels,outlier_channels,regular_bits,outlier_bits,index_bpe,packed_index_bytes,norm_bytes,alignment_bytes,effective_bpe
uniform2,key,0,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,0,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,0,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,0,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,0,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,0,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,0,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,0,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,1,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,1,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,1,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,1,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,1,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,1,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,1,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,1,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,2,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,2,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,2,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,2,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,2,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,2,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,2,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,2,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,3,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,3,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,3,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,3,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,3,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,3,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,3,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,3,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,4,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,4,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,4,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,4,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,4,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,4,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,4,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,4,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,5,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,5,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,5,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,5,3,128,0,2,,2.0,32,2,0,2.125
