condition_id,allocation,method,examples,tasks,categories,task_macro_average,equal_category_macro_average
uniform2_identity,uniform2,identity,734,13,6,7.555993360122376,7.577410854678857
uniform2_random_s35,uniform2,random,734,13,6,36.516221889854215,34.44916535901519
uniform2_learned_s35_step10000,uniform2,learned,734,13,6,46.410449474480714,44.7722815411773
fixed32_identity_2p5,fixed32,identity,734,13,6,36.991471681243944,34.865476373810196
fixed32_random_2p5_s35,fixed32,random,734,13,6,50.31270940919001,48.819048943862505
fixed32_learned_2p5_s35_step10000,fixed32,learned,734,13,6,50.38644417453205,48.92062811948389
kmeans2_identity_mixed,kmeans2,identity,734,13,6,27.349449045550486,25.401454238221508
kmeans2_random_mixed_s35,kmeans2,random,734,13,6,42.796268552623395,41.12943288646651
kmeans2_learned_mixed_s35_step10000,kmeans2,learned,734,13,6,47.34757033525639,45.61833770262555
uniform3_identity,uniform3,identity,734,13,6,11.82472933316644,10.518321598691609
uniform3_random_s35,uniform3,random,734,13,6,51.54242032712963,50.17190967595521
uniform3_learned_s35_step10000,uniform3,learned,734,13,6,52.722674359414654,51.370907295228825
