condition_id,method,bit_width,seed,task,example_index,example_id,batch_id,batch_size,batch_padded_prompt_tokens,prompt_tokens,generated_tokens,batch_prefill_seconds,batch_decode_seconds,batch_decode_steps,batch_total_seconds,prefill_seconds,decode_seconds,decode_seconds_per_token,total_seconds,peak_gpu_memory_bytes,theoretical_kv_bytes_per_token,actual_cache_dtype
fixed32_identity_2p5,identity,2,,qasper,1,8e5e6c35689e17e9f50df76ada506a4c05be9ed081c883d4,qasper_batch0000_examples1-1,1,4896,4896,11,2.229792270809412,0.7587003447115421,10,3.0036818981170654,2.229792270809412,0.7587003447115421,0.07587003447115422,3.0036818981170654,17478743552,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,qasper,7,1bd9a082bd7b5ab6c152dbda3db38c0c3bc92cddf82383a3,qasper_batch0001_examples7-7,1,3606,3606,23,1.467065241187811,1.620818879455328,22,3.0928739700466394,1.467065241187811,1.620818879455328,0.07367358542978764,3.0928739700466394,17122754048,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,qasper,12,a3db996005cb6103e9e3a8d19712c6866285e0df89a1b264,qasper_batch0002_examples12-12,1,5489,5489,9,2.234007680788636,0.6024001650512218,8,2.838461361825466,2.234007680788636,0.6024001650512218,0.07530002063140273,2.838461361825466,17643367424,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,qasper,16,4ec441a68f88d757c758ad09d9c710c7af94895bb544f3b6,qasper_batch0003_examples16-16,1,5353,5353,4,2.1734135653823614,0.2216237522661686,3,2.395873127505183,2.1734135653823614,0.2216237522661686,0.07387458408872287,2.395873127505183,17604091904,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,qasper,19,bd1fcb1c0f33cf6bc44554bff4ec86fed2a4fc90e8d18cdf,qasper_batch0004_examples19-19,1,4309,4309,4,1.7455102521926165,0.22161617130041122,3,1.967942487448454,1.7455102521926165,0.22161617130041122,0.07387205710013707,1.967942487448454,17313284096,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,qasper,32,d1aa1132439bd292965634095bf1c9943e062bb6645ff78c,qasper_batch0005_examples32-32,1,4521,4521,17,1.8408880978822708,1.1799531541764736,16,3.0246842075139284,1.8408880978822708,1.1799531541764736,0.0737470721360296,3.0246842075139284,17375957504,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,qasper,35,a98bc410d113f968de393f3da14435b31b34a8ce2ccec169,qasper_batch0006_examples35-35,1,4308,4308,2,1.7468115519732237,0.07495960406959057,1,1.822180887684226,1.7468115519732237,0.07495960406959057,0.07495960406959057,1.822180887684226,17312448512,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,qasper,36,86d091f9a2a36e97ae2f587ff9e1beb3e41c34862d70451e,qasper_batch0007_examples36-36,1,4927,4927,44,2.0055346451699734,3.166754800826311,43,5.182121776044369,2.0055346451699734,3.166754800826311,0.07364546048433282,5.182121776044369,17496569856,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,qasper,42,c5692a8d9bf0880f0cb4d893511e2b9245a914f828cebcf6,qasper_batch0008_examples42-42,1,3302,3302,2,1.328791407868266,0.07449939846992493,1,1.4036863688379526,1.328791407868266,0.07449939846992493,0.07449939846992493,1.4036863688379526,17051096064,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,qasper,43,ba8b9314903599bb79e4a4148ebae6ae59c5d717a1a2a936,qasper_batch0009_examples43-43,1,2739,2739,2,1.1066401526331902,0.07452771626412868,1,1.1815847679972649,1.1066401526331902,0.07452771626412868,0.07452771626412868,1.1815847679972649,16942946304,22528,bfloat16 reconstructed-K/V emulation
