condition_id,method,bit_width,seed,task,category,example_index,example_id,dataset_length,length_bucket,score
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,1,8e5e6c35689e17e9f50df76ada506a4c05be9ed081c883d4,3732,0-4k,54.54545454545454
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,7,1bd9a082bd7b5ab6c152dbda3db38c0c3bc92cddf82383a3,2720,0-4k,34.78260869565217
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,12,a3db996005cb6103e9e3a8d19712c6866285e0df89a1b264,3815,0-4k,18.181818181818183
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,16,4ec441a68f88d757c758ad09d9c710c7af94895bb544f3b6,3409,0-4k,0.0
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,19,bd1fcb1c0f33cf6bc44554bff4ec86fed2a4fc90e8d18cdf,2836,0-4k,0.0
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,32,d1aa1132439bd292965634095bf1c9943e062bb6645ff78c,3307,0-4k,0.0
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,35,a98bc410d113f968de393f3da14435b31b34a8ce2ccec169,3158,0-4k,0.0
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,36,86d091f9a2a36e97ae2f587ff9e1beb3e41c34862d70451e,3570,0-4k,54.23728813559322
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,42,c5692a8d9bf0880f0cb4d893511e2b9245a914f828cebcf6,2009,0-4k,100.0
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,43,ba8b9314903599bb79e4a4148ebae6ae59c5d717a1a2a936,1899,0-4k,100.0
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,46,3e0ebe8cd7c6ad2ed6b011e47c1a06464ae4eed1b47c9d37,2361,0-4k,100.0
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,55,83246d680e84d965de12202eeca2955546e9261630d543c5,1671,0-4k,40.0
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,67,5a66bf2184751add62aab933cf9076dc61faf39f716d2e72,1912,0-4k,0.0
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,70,33c06a5e9eb93d7a970d8e42e3ab04467182eef7113c5c5f,3846,0-4k,18.181818181818183
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,72,a62a087ff34f25cc4f76205a1431eb4c2254d4ad01c630d4,2759,0-4k,57.14285714285713
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,74,7dbc40699fa6742050f798cfeea408507ca4b90811be532d,2823,0-4k,18.181818181818183
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,83,37c0ca334bad96a1cf17879108e112591f7088f3794b6533,3160,0-4k,57.14285714285714
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,91,e2b21e6c72b2a258c8d8dd7b7f94ee08b4a1edd012ccce04,1541,0-4k,25.925925925925924
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,95,ab031ab8495d8200afcf794d5368ed54353ec254b176d190,2435,0-4k,31.746031746031743
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,96,aefe71d17866995c454d51362893d2fb48de1a3d55d3cdb0,1514,0-4k,15.384615384615383
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,101,b88143528621f772f4673e1d5249faa750e66bd3d25dc48a,4820,4-8k,100.0
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,102,536136d642ecfb95aa51b8057018d9e41fbc39100f4ae120,4460,4-8k,85.71428571428571
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,103,9b239d896d4e14a1119ff7a96adf888b3ee3672b9890917d,4106,4-8k,44.44444444444444
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,106,9b74d12df29676d618b03e2da39919e522a4bcdf638e7977,4173,4-8k,50.0
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,109,210d7e49f1b17fdad67a9a09194869f85065ed34e59062b8,4924,4-8k,80.0
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,110,ce0c9192b838497901c0360f9f775aaaa8711369f3ef9ed2,4581,4-8k,6.896551724137931
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,112,fbc4a45ff813e0a9578becabc2079b8da6de5193d5827cd9,4704,4-8k,80.0
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,120,10f5ce4c9054e6a2508cc67328ca303d3b5ee57bae2b7fd9,4779,4-8k,0.0
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,121,34876cd63f0e18aebfa721150cc5e3e83c4d46aad5327a28,4109,4-8k,24.242424242424242
