condition_id,method,bit_width,seed,task,example_index,example_id,batch_id,batch_size,batch_padded_prompt_tokens,prompt_tokens,generated_tokens,batch_prefill_seconds,batch_decode_seconds,batch_decode_steps,batch_total_seconds,prefill_seconds,decode_seconds,decode_seconds_per_token,total_seconds,peak_gpu_memory_bytes,theoretical_kv_bytes_per_token,actual_cache_dtype
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,1,8e5e6c35689e17e9f50df76ada506a4c05be9ed081c883d4,qasper_batch0000_examples1-1,1,4896,4896,8,2.2325596753507853,0.5232753064483404,7,2.7700544130057096,2.2325596753507853,0.5232753064483404,0.07475361520690578,2.7700544130057096,17477907968,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,7,1bd9a082bd7b5ab6c152dbda3db38c0c3bc92cddf82383a3,qasper_batch0001_examples7-7,1,3606,3606,16,1.4667858444154263,1.0747023299336433,15,2.5446761306375265,1.4667858444154263,1.0747023299336433,0.07164682199557622,2.5446761306375265,17120804352,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,12,a3db996005cb6103e9e3a8d19712c6866285e0df89a1b264,qasper_batch0002_examples12-12,1,5489,5489,18,2.234164560213685,1.218475604429841,17,3.4562548380345106,2.234164560213685,1.218475604429841,0.07167503555469654,3.4562548380345106,17645874688,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,16,4ec441a68f88d757c758ad09d9c710c7af94895bb544f3b6,qasper_batch0003_examples16-16,1,5353,5353,4,2.1738369036465883,0.21611406281590462,3,2.3907245993614197,2.1738369036465883,0.21611406281590462,0.07203802093863487,2.3907245993614197,17604091904,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,19,bd1fcb1c0f33cf6bc44554bff4ec86fed2a4fc90e8d18cdf,qasper_batch0004_examples19-19,1,4309,4309,4,1.746924852952361,0.2171637210994959,3,1.9650290589779615,1.746924852952361,0.2171637210994959,0.07238790703316529,1.9650290589779615,17313284096,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,32,d1aa1132439bd292965634095bf1c9943e062bb6645ff78c,qasper_batch0005_examples32-32,1,4521,4521,7,1.842077312991023,0.4276100918650627,6,2.271019699051976,1.842077312991023,0.4276100918650627,0.07126834864417712,2.271019699051976,17373172224,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,35,a98bc410d113f968de393f3da14435b31b34a8ce2ccec169,qasper_batch0006_examples35-35,1,4308,4308,4,1.7469821814447641,0.21505608595907688,3,1.9627600312232971,1.7469821814447641,0.21505608595907688,0.07168536198635896,1.9627600312232971,17313005568,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,36,86d091f9a2a36e97ae2f587ff9e1beb3e41c34862d70451e,qasper_batch0007_examples36-36,1,4927,4927,40,2.0051900539547205,2.7883866503834724,39,4.8017049841582775,2.0051900539547205,2.7883866503834724,0.07149709359957622,4.8017049841582775,17495455744,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,42,c5692a8d9bf0880f0cb4d893511e2b9245a914f828cebcf6,qasper_batch0008_examples42-42,1,3302,3302,4,1.3254664801061153,0.21478511579334736,3,1.54099284671247,1.3254664801061153,0.21478511579334736,0.07159503859778245,1.54099284671247,17051096064,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,43,ba8b9314903599bb79e4a4148ebae6ae59c5d717a1a2a936,qasper_batch0009_examples43-43,1,2739,2739,2,1.1044238563627005,0.07181400805711746,1,1.176554135978222,1.1044238563627005,0.07181400805711746,0.07181400805711746,1.176554135978222,16942946304,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,46,3e0ebe8cd7c6ad2ed6b011e47c1a06464ae4eed1b47c9d37,qasper_batch0010_examples46-46,1,3357,3357,4,1.359764313325286,0.21455606259405613,3,1.5750603806227446,1.359764313325286,0.21455606259405613,0.07151868753135204,1.5750603806227446,17061661696,22528,bfloat16 reconstructed-K/V emulation
