condition_id,method,bit_width,seed,task,example_index,example_id,batch_id,batch_size,batch_padded_prompt_tokens,prompt_tokens,generated_tokens,batch_prefill_seconds,batch_decode_seconds,batch_decode_steps,batch_total_seconds,prefill_seconds,decode_seconds,decode_seconds_per_token,total_seconds,peak_gpu_memory_bytes,theoretical_kv_bytes_per_token,actual_cache_dtype
fixed32_random_2p5_s35,random,2,35,qasper,1,8e5e6c35689e17e9f50df76ada506a4c05be9ed081c883d4,qasper_batch0000_examples1-1,1,4896,4896,36,2.2378439363092184,2.5856201965361834,35,4.844269752502441,2.2378439363092184,2.5856201965361834,0.07387486275817667,4.844269752502441,17485707264,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,qasper,7,1bd9a082bd7b5ab6c152dbda3db38c0c3bc92cddf82383a3,qasper_batch0001_examples7-7,1,3606,3606,19,1.4678015820682049,1.3239124957472086,18,2.7956817727535963,1.4678015820682049,1.3239124957472086,0.07355069420817825,2.7956817727535963,17121639936,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,qasper,12,a3db996005cb6103e9e3a8d19712c6866285e0df89a1b264,qasper_batch0002_examples12-12,1,5489,5489,24,2.233893120661378,1.7028931733220816,23,3.941976798698306,2.233893120661378,1.7028931733220816,0.0740388336226992,3.941976798698306,17647545856,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,qasper,16,4ec441a68f88d757c758ad09d9c710c7af94895bb544f3b6,qasper_batch0003_examples16-16,1,5353,5353,39,2.1739905569702387,2.8053770512342453,38,4.987610120326281,2.1739905569702387,2.8053770512342453,0.0738257118745854,4.987610120326281,17613840896,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,qasper,19,bd1fcb1c0f33cf6bc44554bff4ec86fed2a4fc90e8d18cdf,qasper_batch0004_examples19-19,1,4309,4309,4,1.7463183514773846,0.22738353721797466,3,1.9745665825903416,1.7463183514773846,0.22738353721797466,0.07579451240599155,1.9745665825903416,17313284096,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,qasper,32,d1aa1132439bd292965634095bf1c9943e062bb6645ff78c,qasper_batch0005_examples32-32,1,4521,4521,4,1.8418864775449038,0.22097975201904774,3,2.06364525295794,1.8418864775449038,0.22097975201904774,0.07365991733968258,2.06364525295794,17372336640,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,qasper,35,a98bc410d113f968de393f3da14435b31b34a8ce2ccec169,qasper_batch0006_examples35-35,1,4308,4308,4,1.7463035322725773,0.22031817585229874,3,1.9673929121345282,1.7463035322725773,0.22031817585229874,0.07343939195076625,1.9673929121345282,17313005568,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,qasper,36,86d091f9a2a36e97ae2f587ff9e1beb3e41c34862d70451e,qasper_batch0007_examples36-36,1,4927,4927,17,2.005574718117714,1.1801894195377827,16,3.1893728729337454,2.005574718117714,1.1801894195377827,0.07376183872111142,3.1893728729337454,17489049600,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,qasper,42,c5692a8d9bf0880f0cb4d893511e2b9245a914f828cebcf6,qasper_batch0008_examples42-42,1,3302,3302,4,1.3288299161940813,0.2235126793384552,3,1.5531463250517845,1.3288299161940813,0.2235126793384552,0.07450422644615173,1.5531463250517845,17051096064,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,qasper,43,ba8b9314903599bb79e4a4148ebae6ae59c5d717a1a2a936,qasper_batch0009_examples43-43,1,2739,2739,3,1.107315780594945,0.1499078031629324,2,1.2578374482691288,1.107315780594945,0.1499078031629324,0.0749539015814662,1.2578374482691288,16942946304,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,qasper,46,3e0ebe8cd7c6ad2ed6b011e47c1a06464ae4eed1b47c9d37,qasper_batch0010_examples46-46,1,3357,3357,4,1.3635011315345764,0.24822001717984676,3,1.6126421801745892,1.3635011315345764,0.24822001717984676,0.08274000572661559,1.6126421801745892,17061661696,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,qasper,55,83246d680e84d965de12202eeca2955546e9261630d543c5,qasper_batch0011_examples55-55,1,2359,2359,18,0.9528274182230234,1.2474356293678284,17,2.204005667939782,0.9528274182230234,1.2474356293678284,0.07337856643340167,2.204005667939782,16869949440,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,qasper,67,5a66bf2184751add62aab933cf9076dc61faf39f716d2e72,qasper_batch0012_examples67-67,1,2733,2733,4,1.1055423468351364,0.22207144647836685,3,1.3285187389701605,1.1055423468351364,0.22207144647836685,0.07402381549278896,1.3285187389701605,16941793280,22528,bfloat16 reconstructed-K/V emulation
