condition_id,method,bit_width,seed,task,example_index,example_id,batch_id,batch_size,batch_padded_prompt_tokens,prompt_tokens,generated_tokens,batch_prefill_seconds,batch_decode_seconds,batch_decode_steps,batch_total_seconds,prefill_seconds,decode_seconds,decode_seconds_per_token,total_seconds,peak_gpu_memory_bytes,theoretical_kv_bytes_per_token,actual_cache_dtype
kmeans2_random_mixed_s35,random,2,35,qasper,1,8e5e6c35689e17e9f50df76ada506a4c05be9ed081c883d4,qasper_batch0000_examples1-1,1,4896,4896,3,2.0296460818499327,0.5184025652706623,2,2.5617393013089895,2.0296460818499327,0.5184025652706623,0.25920128263533115,2.5617393013089895,17496025088,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,7,1bd9a082bd7b5ab6c152dbda3db38c0c3bc92cddf82383a3,qasper_batch0001_examples7-7,1,3606,3606,17,1.2779439650475979,4.047348108142614,16,5.329171407967806,1.2779439650475979,4.047348108142614,0.2529592567589134,5.329171407967806,17207927808,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,12,a3db996005cb6103e9e3a8d19712c6866285e0df89a1b264,qasper_batch0002_examples12-12,1,5489,5489,128,1.9156522005796432,32.06266761571169,127,34.00932443141937,1.9156522005796432,32.06266761571169,0.2524619497300133,34.00932443141937,17696023040,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,16,4ec441a68f88d757c758ad09d9c710c7af94895bb544f3b6,qasper_batch0003_examples16-16,1,5353,5353,4,1.8653871286660433,0.7516976073384285,3,2.6178526133298874,1.8653871286660433,0.7516976073384285,0.2505658691128095,2.6178526133298874,17623601664,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,19,bd1fcb1c0f33cf6bc44554bff4ec86fed2a4fc90e8d18cdf,qasper_batch0004_examples19-19,1,4309,4309,4,1.505055993795395,0.7608006354421377,3,2.2666469737887383,1.505055993795395,0.7608006354421377,0.2536002118140459,2.2666469737887383,17339961856,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,32,d1aa1132439bd292965634095bf1c9943e062bb6645ff78c,qasper_batch0005_examples32-32,1,4521,4521,4,1.5895054526627064,0.7602410651743412,3,2.3504757191985846,1.5895054526627064,0.7602410651743412,0.25341368839144707,2.3504757191985846,17391846400,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,35,a98bc410d113f968de393f3da14435b31b34a8ce2ccec169,qasper_batch0006_examples35-35,1,4308,4308,3,1.5079265516251326,0.5082734227180481,2,2.0167251471430063,1.5079265516251326,0.5082734227180481,0.25413671135902405,2.0167251471430063,17339773440,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,36,86d091f9a2a36e97ae2f587ff9e1beb3e41c34862d70451e,qasper_batch0007_examples36-36,1,4927,4927,27,1.715411065146327,6.689886391162872,26,8.411638747900724,1.715411065146327,6.689886391162872,0.25730332273703355,8.411638747900724,17511344640,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,42,c5692a8d9bf0880f0cb4d893511e2b9245a914f828cebcf6,qasper_batch0008_examples42-42,1,3302,3302,4,1.160303233191371,0.7630393281579018,3,1.9243095852434635,1.160303233191371,0.7630393281579018,0.25434644271930057,1.9243095852434635,17150833664,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,43,ba8b9314903599bb79e4a4148ebae6ae59c5d717a1a2a936,qasper_batch0009_examples43-43,1,2739,2739,2,0.9736803229898214,0.25287504121661186,1,1.2268758211284876,0.9736803229898214,0.25287504121661186,0.25287504121661186,1.2268758211284876,17045094912,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,46,3e0ebe8cd7c6ad2ed6b011e47c1a06464ae4eed1b47c9d37,qasper_batch0010_examples46-46,1,3357,3357,4,1.1917563285678625,0.7538837119936943,3,1.9463804494589567,1.1917563285678625,0.7538837119936943,0.2512945706645648,1.9463804494589567,17161163776,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,55,83246d680e84d965de12202eeca2955546e9261630d543c5,qasper_batch0011_examples55-55,1,2359,2359,16,0.8504512663930655,3.801807889714837,15,4.656037611886859,0.8504512663930655,3.801807889714837,0.25345385931432246,4.656037611886859,16973726720,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,67,5a66bf2184751add62aab933cf9076dc61faf39f716d2e72,qasper_batch0012_examples67-67,1,2733,2733,4,0.9723983090370893,0.759855205193162,3,1.7329889256507158,0.9723983090370893,0.759855205193162,0.25328506839772064,1.7329889256507158,17043968000,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,70,33c06a5e9eb93d7a970d8e42e3ab04467182eef7113c5c5f,qasper_batch0013_examples70-70,1,5273,5273,7,1.8496316857635975,1.5557825434952974,6,3.4069459456950426,1.8496316857635975,1.5557825434952974,0.25929709058254957,3.4069459456950426,17602153472,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,72,a62a087ff34f25cc4f76205a1431eb4c2254d4ad01c630d4,qasper_batch0014_examples72-72,1,4446,4446,18,1.5555600095540285,4.331296741962433,17,5.89087531529367,1.5555600095540285,4.331296741962433,0.25478216129190784,5.89087531529367,17374854656,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,74,7dbc40699fa6742050f798cfeea408507ca4b90811be532d,qasper_batch0015_examples74-74,1,3982,3982,4,1.4017231035977602,0.7463706005364656,3,2.1488157007843256,1.4017231035977602,0.7463706005364656,0.2487902001788219,2.1488157007843256,17278546432,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,83,37c0ca334bad96a1cf17879108e112591f7088f3794b6533,qasper_batch0016_examples83-83,1,4310,4310,4,1.5049377717077732,0.7572217285633087,3,2.2629503458738327,1.5049377717077732,0.7572217285633087,0.2524072428544362,2.2629503458738327,17340147712,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,91,e2b21e6c72b2a258c8d8dd7b7f94ee08b4a1edd012ccce04,qasper_batch0017_examples91-91,1,2558,2558,25,0.9050095863640308,6.0322733875364065,24,6.942724853754044,0.9050095863640308,6.0322733875364065,0.2513447244806836,6.942724853754044,17011101184,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,95,ab031ab8495d8200afcf794d5368ed54353ec254b176d190,qasper_batch0018_examples95-95,1,3387,3387,25,1.1950267124921083,6.024318249896169,24,7.225253602489829,1.1950267124921083,6.024318249896169,0.25101326041234034,7.225253602489829,17166797824,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,96,aefe71d17866995c454d51362893d2fb48de1a3d55d3cdb0,qasper_batch0019_examples96-96,1,2562,2562,28,0.9176991134881973,6.838879516348243,27,7.763073923066258,0.9176991134881973,6.838879516348243,0.2532918339388238,7.763073923066258,17011852800,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,101,b88143528621f772f4673e1d5249faa750e66bd3d25dc48a,qasper_batch0020_examples101-101,1,6389,6389,4,2.239318722859025,0.7640050034970045,3,3.004086658358574,2.239318722859025,0.7640050034970045,0.2546683344990015,3.004086658358574,17912181248,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,102,536136d642ecfb95aa51b8057018d9e41fbc39100f4ae120,qasper_batch0021_examples102-102,1,5905,5905,71,2.071105919778347,17.870401609688997,70,19.95995702408254,2.071105919778347,17.870401609688997,0.2552914515669857,19.95995702408254,17796024832,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,103,9b239d896d4e14a1119ff7a96adf888b3ee3672b9890917d,qasper_batch0022_examples103-103,1,5566,5566,4,1.949748245999217,0.7659534737467766,3,2.7168807089328766,1.949748245999217,0.7659534737467766,0.2553178245822589,2.7168807089328766,17682933248,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,106,9b74d12df29676d618b03e2da39919e522a4bcdf638e7977,qasper_batch0023_examples106-106,1,5680,5680,4,1.991152098402381,0.7682679146528244,3,2.760348143056035,1.991152098402381,0.7682679146528244,0.2560893048842748,2.760348143056035,17714688000,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,109,210d7e49f1b17fdad67a9a09194869f85065ed34e59062b8,qasper_batch0024_examples109-109,1,6962,6962,5,2.4439212307333946,1.0258908402174711,4,3.470928382128477,2.4439212307333946,1.0258908402174711,0.2564727100543678,3.470928382128477,18072070144,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,110,ce0c9192b838497901c0360f9f775aaaa8711369f3ef9ed2,qasper_batch0025_examples110-110,1,6290,6290,128,2.217767361551523,32.58257245644927,127,34.84035467915237,2.217767361551523,32.58257245644927,0.25655568863345884,34.84035467915237,17919143936,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,112,fbc4a45ff813e0a9578becabc2079b8da6de5193d5827cd9,qasper_batch0026_examples112-112,1,6975,6975,4,2.44430048763752,0.7655364368110895,3,3.2107387259602547,2.44430048763752,0.7655364368110895,0.25517881227036315,3.2107387259602547,18075412992,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,120,10f5ce4c9054e6a2508cc67328ca303d3b5ee57bae2b7fd9,qasper_batch0027_examples120-120,1,6625,6625,4,2.3194484561681747,0.7620986010879278,3,3.0825106874108315,2.3194484561681747,0.7620986010879278,0.2540328670293093,3.0825106874108315,17977920000,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,121,34876cd63f0e18aebfa721150cc5e3e83c4d46aad5327a28,qasper_batch0028_examples121-121,1,5565,5565,4,1.9496914837509394,0.7670334111899137,3,2.717998933047056,1.9496914837509394,0.7670334111899137,0.25567780372997123,2.717998933047056,17682654208,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,130,77d5b65213c33d96b4c145e035798509a2d46c7d01756f8d,qasper_batch0029_examples130-130,1,6986,6986,6,2.4501286428421736,1.2841879706829786,5,3.736016169190407,2.4501286428421736,1.2841879706829786,0.25683759413659574,3.736016169190407,18079034880,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,qasper,141,ddc6bc30de561312913bb1868a4613a33d0a09adefbd8de6,qasper_batch0030_examples141-141,1,5628,5628,4,1.961785715073347,0.7729409690946341,3,2.7357226442545652,1.961785715073347,0.7729409690946341,0.25764698969821137,2.7357226442545652,17700203008,19806,bfloat16 reconstructed-K/V emulation
