condition_id,allocation,method,length_bucket,tasks,examples,macro_average
uniform2_identity,uniform2,identity,0-4k,13,253,6.2687099900174745
uniform2_identity,uniform2,identity,4-8k,13,254,8.738921182736517
uniform2_identity,uniform2,identity,8k+,13,227,8.063130968962543
uniform2_random_s35,uniform2,random,0-4k,13,253,38.89619916172606
uniform2_random_s35,uniform2,random,4-8k,13,254,36.445384440202396
uniform2_random_s35,uniform2,random,8k+,13,227,33.03990576492343
uniform2_learned_s35_step10000,uniform2,learned,0-4k,13,253,45.91560155665334
uniform2_learned_s35_step10000,uniform2,learned,4-8k,13,254,46.6077948526774
uniform2_learned_s35_step10000,uniform2,learned,8k+,13,227,47.143607264856605
fixed32_identity_2p5,fixed32,identity,0-4k,13,253,37.503943632122485
fixed32_identity_2p5,fixed32,identity,4-8k,13,254,36.73251817034932
fixed32_identity_2p5,fixed32,identity,8k+,13,227,36.229987384900724
fixed32_random_2p5_s35,fixed32,random,0-4k,13,253,50.097261304826084
fixed32_random_2p5_s35,fixed32,random,4-8k,13,254,52.07526540793313
fixed32_random_2p5_s35,fixed32,random,8k+,13,227,46.32851572876529
fixed32_learned_2p5_s35_step10000,fixed32,learned,0-4k,13,253,51.497469434443104
fixed32_learned_2p5_s35_step10000,fixed32,learned,4-8k,13,254,51.497359927696806
fixed32_learned_2p5_s35_step10000,fixed32,learned,8k+,13,227,45.64143057112441
kmeans2_identity_mixed,kmeans2,identity,0-4k,13,253,28.869462011783277
kmeans2_identity_mixed,kmeans2,identity,4-8k,13,254,26.60260441536824
kmeans2_identity_mixed,kmeans2,identity,8k+,13,227,27.21416429650206
kmeans2_random_mixed_s35,kmeans2,random,0-4k,13,253,45.341761403674795
kmeans2_random_mixed_s35,kmeans2,random,4-8k,13,254,43.78669229626092
kmeans2_random_mixed_s35,kmeans2,random,8k+,13,227,37.946091898268556
kmeans2_learned_mixed_s35_step10000,kmeans2,learned,0-4k,13,253,47.76007291937477
kmeans2_learned_mixed_s35_step10000,kmeans2,learned,4-8k,13,254,47.644512932794775
kmeans2_learned_mixed_s35_step10000,kmeans2,learned,8k+,13,227,45.55695983617855
uniform3_identity,uniform3,identity,0-4k,13,253,10.453625578002798
uniform3_identity,uniform3,identity,4-8k,13,254,11.946601111883536
uniform3_identity,uniform3,identity,8k+,13,227,12.688970077995425
uniform3_random_s35,uniform3,random,0-4k,13,253,52.28718910933678
uniform3_random_s35,uniform3,random,4-8k,13,254,53.43659402615488
uniform3_random_s35,uniform3,random,8k+,13,227,47.39249804085622
uniform3_learned_s35_step10000,uniform3,learned,0-4k,13,253,53.77479225103373
uniform3_learned_s35_step10000,uniform3,learned,4-8k,13,254,52.87055996826925
uniform3_learned_s35_step10000,uniform3,learned,8k+,13,227,49.48435867595082
