condition_id,allocation,method,key_rotation,value_rotation,regular_bits,outlier_bits,fixed_outlier_channels,nominal_index_bpe,seed,learned_steps,bit_width,value_bit_width,rotation_key,validation_tokens,attention_tokens,original_scale_key_mse,normalized_key_mse,value_reconstruction_mse,attention_logit_mse,attention_probability_kl,attention_output_mse,orthogonality_max_abs,elapsed_seconds
uniform2_identity,uniform2,identity,identity,identity,2,,,2.0,,,2,2,,4096,256,1.173598739434965,0.002045575359574059,0.015545850324429011,9.546803804687025,1.638878897530958,0.01453575409414043,0.0,3.9863376896828413
uniform2_random_s35,uniform2,random,random,random,2,,,2.0,35,,2,2,random,4096,256,0.5408060235713492,0.0009298784981979225,0.012682584754280413,0.9755803713074918,0.11345210811123252,0.001730146730267279,3.302899576063112e-08,3.171790812164545
uniform2_learned_s35_step10000,uniform2,learned,learned,random,2,,,2.0,35,10000,2,2,learned,4096,256,0.2988771202735734,0.0004937887302460808,0.012682584754280413,0.3636709929440272,0.07151929958490655,0.001416612453738253,5.963663096686389e-08,3.1443380787968636
fixed32_identity_2p5,fixed32,identity,identity,identity,2,4,32,2.5,,,2,2,,4096,256,0.2238349706713052,0.00036746854777902627,0.008562705855313268,0.5327896770336285,0.11076733382651582,0.0027247611181451248,0.0,4.697320252656937
fixed32_random_2p5_s35,fixed32,random,random,random,2,4,32,2.5,35,,2,2,random,4096,256,0.17284958886011736,0.0002965397271026404,0.008240221851131935,0.21155058224377465,0.028222480206750333,0.0006199615430091399,5.6822637040099266e-08,4.711302150040865
fixed32_learned_2p5_s35_step10000,fixed32,learned,learned,random,2,4,32,2.5,35,10000,2,2,learned,4096,256,0.1377655547212271,0.00023317021419444472,0.008240221851131935,0.15744883401848464,0.022327273531118408,0.0005626010630805922,8.557818453880373e-08,4.768614608794451
kmeans2_identity_mixed,kmeans2,identity,identity,identity,2,4,,,,,2,2,,4096,256,0.37690724943604437,0.0006324703242626128,0.010885025808551774,0.7546170258800343,0.1330979005433619,0.002463814408656617,0.0,20.549740249291062
kmeans2_random_mixed_s35,kmeans2,random,random,random,2,4,,,35,,2,2,random,4096,256,0.3164177039798233,0.0005345493014417002,0.010465723800743731,0.4708670901881118,0.06057398591656238,0.0011320541070745094,8.652241234585745e-08,4.779065767303109
kmeans2_learned_mixed_s35_step10000,kmeans2,learned,learned,random,2,4,,,35,10000,2,2,learned,4096,256,0.21785897544214095,0.0003634140650845552,0.010465723800743731,0.2763837258175653,0.045932103181257844,0.0009893119348873824,1.3413825761254827e-07,4.732257068157196
uniform3_identity,uniform3,identity,identity,identity,3,,,3.0,,,3,3,,4096,256,0.5919845936368802,0.0009326442256707423,0.005468085148683244,5.065449266582148,1.0043370267376304,0.012867107387137366,0.0,3.2009090203791857
uniform3_random_s35,uniform3,random,random,random,3,,,3.0,35,,3,3,random,4096,256,0.15750106604536995,0.00026349257221625066,0.003719249238172573,0.21508805668307648,0.02692968084011227,0.0004645352955776616,3.416055038840682e-08,3.1618951447308064
uniform3_learned_s35_step10000,uniform3,learned,learned,random,3,,,3.0,35,10000,3,3,learned,4096,256,0.11920780768741679,0.00019682267221732275,0.003719249238172573,0.14476055753370204,0.038299586449284106,0.0007746649288975505,6.261211749070128e-08,3.1780718117952347
