comparison_id,allocation,contrast,candidate_condition_id,reference_condition_id,examples,tasks,reference_task_macro_average,candidate_task_macro_average,difference,confidence_interval_low,confidence_interval_high,wins,ties,losses,bootstrap_samples,bootstrap_seed
uniform2_random_minus_identity,uniform2,random_minus_identity,uniform2_random_s35,uniform2_identity,734,13,7.555993360122376,36.516221889854215,28.96022852973184,26.503775566809747,31.412451962578775,448,223,63,10000,35
uniform2_learned_minus_random,uniform2,learned_minus_random,uniform2_learned_s35_step10000,uniform2_random_s35,734,13,36.516221889854215,46.410449474480714,9.8942275846265,7.4774161010201174,12.29582052273783,297,293,144,10000,35
uniform2_learned_minus_identity,uniform2,learned_minus_identity,uniform2_learned_s35_step10000,uniform2_identity,734,13,7.555993360122376,46.410449474480714,38.85445611435834,36.40067365012439,41.36358184742953,516,171,47,10000,35
fixed32_random_minus_identity,fixed32,random_minus_identity,fixed32_random_2p5_s35,fixed32_identity_2p5,734,13,36.991471681243944,50.31270940919001,13.321237727946073,10.923010895302435,15.746942752799345,346,278,110,10000,35
fixed32_learned_minus_random,fixed32,learned_minus_random,fixed32_learned_2p5_s35_step10000,fixed32_random_2p5_s35,734,13,50.31270940919001,50.38644417453205,0.07373476534203333,-1.9722496631572353,2.0814021650842505,189,365,180,10000,35
fixed32_learned_minus_identity,fixed32,learned_minus_identity,fixed32_learned_2p5_s35_step10000,fixed32_identity_2p5,734,13,36.991471681243944,50.38644417453205,13.394972493288105,10.967415116333564,15.790751675626653,358,275,101,10000,35
kmeans2_random_minus_identity,kmeans2,random_minus_identity,kmeans2_random_mixed_s35,kmeans2_identity_mixed,734,13,27.349449045550486,42.796268552623395,15.44681950707291,12.893366042651447,17.924573366482747,366,252,116,10000,35
kmeans2_learned_minus_random,kmeans2,learned_minus_random,kmeans2_learned_mixed_s35_step10000,kmeans2_random_mixed_s35,734,13,42.796268552623395,47.34757033525639,4.551301782632999,2.3555782321977383,6.717466920478531,241,320,173,10000,35
kmeans2_learned_minus_identity,kmeans2,learned_minus_identity,kmeans2_learned_mixed_s35_step10000,kmeans2_identity_mixed,734,13,27.349449045550486,47.34757033525639,19.998121289705907,17.52949571910535,22.46640506205019,406,229,99,10000,35
uniform3_random_minus_identity,uniform3,random_minus_identity,uniform3_random_s35,uniform3_identity,734,13,11.82472933316644,51.54242032712963,39.71769099396319,37.24815204016585,42.15644005817998,544,148,42,10000,35
uniform3_learned_minus_random,uniform3,learned_minus_random,uniform3_learned_s35_step10000,uniform3_random_s35,734,13,51.54242032712963,52.722674359414654,1.1802540322850155,-0.659523554900341,3.013614436228373,194,377,163,10000,35
uniform3_learned_minus_identity,uniform3,learned_minus_identity,uniform3_learned_s35_step10000,uniform3_identity,734,13,11.82472933316644,52.722674359414654,40.89794502624821,38.38254496146513,43.43235688421482,542,143,49,10000,35
