condition_id,method,bit_width,seed,task,example_index,example_id,batch_id,batch_size,batch_padded_prompt_tokens,prompt_tokens,generated_tokens,batch_prefill_seconds,batch_decode_seconds,batch_decode_steps,batch_total_seconds,prefill_seconds,decode_seconds,decode_seconds_per_token,total_seconds,peak_gpu_memory_bytes,theoretical_kv_bytes_per_token,actual_cache_dtype
fixed32_identity_2p5,identity,2,,qasper,1,8e5e6c35689e17e9f50df76ada506a4c05be9ed081c883d4,qasper_batch0000_examples1-1,1,4896,4896,11,2.199658203870058,0.7340438794344664,10,2.9479579962790012,2.199658203870058,0.7340438794344664,0.07340438794344664,2.9479579962790012,18497967104,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,multifieldqa_en,2,dee63735510f6958f4c5bf318421c9b9fac0bc8b3e341a4a,multifieldqa_en_batch0000_examples2-2,1,6618,6618,11,2.6813180278986692,0.7217522747814655,10,3.4053556118160486,2.6813180278986692,0.7217522747814655,0.07217522747814656,3.4053556118160486,19337139200,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,hotpotqa,1,b2af3aefc3bc4f5ba5340eca87389e8dcaa6fa1834110aaf,hotpotqa_batch0000_examples1-1,1,5256,5256,5,2.120543535798788,0.2889843247830868,4,2.4105289317667484,2.120543535798788,0.2889843247830868,0.0722460811957717,2.4105289317667484,18672951296,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,2wikimqa,3,4adca5ba1654b740d1e25c6e73d45aa2f3621537bed9086b,2wikimqa_batch0000_examples3-3,1,4449,4449,6,1.7833434659987688,0.3597934301942587,5,2.144359989091754,1.7833434659987688,0.3597934301942587,0.07195868603885174,2.144359989091754,18280670208,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,gov_report,5,73b6c24236aac5d34a6f3aff9b258afd4be6ca8d1bdd2830,gov_report_batch0000_examples5-5,1,3309,3309,149,1.3159240279346704,10.626301068812609,148,11.973712056875229,1.3159240279346704,10.626301068812609,0.07179933154603114,11.973712056875229,17724102656,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,multi_news,5,3358fb88c31046f04005237c69fcb14adb6b6b9ff68ca036,multi_news_batch0000_examples5-5,1,2651,2651,512,1.0507381800562143,36.63605631329119,511,37.797280536964536,1.0507381800562143,36.63605631329119,0.07169482644479686,37.797280536964536,17404397568,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,trec,10,e660419e55969f5f323ad0dd25559df5127ac5ec4d792757,trec_batch0000_examples10-10,1,2584,2584,64,1.0320353601127863,4.513503041118383,63,5.558768102899194,1.0320353601127863,4.513503041118383,0.07164290541457752,5.558768102899194,17371890688,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,triviaqa,0,a6b0e6b9bf53f05d1569572cebd9359a0d4136a026613c7d,triviaqa_batch0000_examples0-0,1,5540,5540,32,2.2420811634510756,2.230943353846669,31,4.479693142697215,2.2420811634510756,2.230943353846669,0.07196591464021514,4.479693142697215,18809683968,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,samsum,2,66fe3774d3686f64c487b2b42c83421d10367deeb6bfed00,samsum_batch0000_examples2-2,1,2402,2402,128,0.9548232108354568,9.085405433550477,127,10.06810868345201,0.9548232108354568,9.085405433550477,0.07153862546102738,10.06810868345201,17282073600,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,passage_count,15,1795269f5f7efef8da447c1797cfe8082c5fec5fbc13a587,passage_count_batch0000_examples15-15,1,2828,2828,19,1.1377563327550888,1.2895139697939157,18,2.4311053920537233,1.1377563327550888,1.2895139697939157,0.07163966498855087,2.4311053920537233,17491195904,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,passage_retrieval_en,2,871d9417ba06b98b501a20f626a0744f6ba0713376630258,passage_retrieval_en_batch0000_examples2-2,1,4366,4366,4,1.7621468994766474,0.21565010212361813,3,1.9785618148744106,1.7621468994766474,0.21565010212361813,0.07188336737453938,1.9785618148744106,18240493568,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,lcc,1,d1cdb285b1f1b73f8d637fde4adf331aa839bb2e31eb8599,lcc_batch0000_examples1-1,1,1633,1633,64,0.649287348613143,4.508900353685021,63,5.171457348391414,0.649287348613143,4.508900353685021,0.07156984688388923,5.171457348391414,16934999040,22528,bfloat16 reconstructed-K/V emulation
fixed32_identity_2p5,identity,2,,repobench-p,9,3a25616cb5ea03ff9da80a9e67105c5d33a5d27f5481b048,repobench-p_batch0000_examples9-9,1,6780,6780,64,2.752278871834278,4.5546979662030935,63,7.3203183729201555,2.752278871834278,4.5546979662030935,0.07229679311433482,7.3203183729201555,19414582272,22528,bfloat16 reconstructed-K/V emulation
