condition_id,method,bit_width,seed,task,example_index,example_id,batch_id,batch_size,batch_padded_prompt_tokens,prompt_tokens,generated_tokens,batch_prefill_seconds,batch_decode_seconds,batch_decode_steps,batch_total_seconds,prefill_seconds,decode_seconds,decode_seconds_per_token,total_seconds,peak_gpu_memory_bytes,theoretical_kv_bytes_per_token,actual_cache_dtype
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,1,8e5e6c35689e17e9f50df76ada506a4c05be9ed081c883d4,qasper_batch0000_examples1-1,1,4896,4896,8,2.197402933612466,0.5287981610745192,7,2.7402716241776943,2.197402933612466,0.5287981610745192,0.07554259443921703,2.7402716241776943,18497967104,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,multifieldqa_en,2,dee63735510f6958f4c5bf318421c9b9fac0bc8b3e341a4a,multifieldqa_en_batch0000_examples2-2,1,6618,6618,6,2.6809097584336996,0.3582194894552231,5,3.0403734613209963,2.6809097584336996,0.3582194894552231,0.07164389789104461,3.0403734613209963,19337139200,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,hotpotqa,1,b2af3aefc3bc4f5ba5340eca87389e8dcaa6fa1834110aaf,hotpotqa_batch0000_examples1-1,1,5256,5256,5,2.1201540250331163,0.285886749625206,4,2.4070454761385918,2.1201540250331163,0.285886749625206,0.0714716874063015,2.4070454761385918,18672951296,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,2wikimqa,3,4adca5ba1654b740d1e25c6e73d45aa2f3621537bed9086b,2wikimqa_batch0000_examples3-3,1,4449,4449,6,1.7832803297787905,0.3569168783724308,5,2.1414602771401405,1.7832803297787905,0.3569168783724308,0.07138337567448616,2.1414602771401405,18280670208,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,gov_report,5,73b6c24236aac5d34a6f3aff9b258afd4be6ca8d1bdd2830,gov_report_batch0000_examples5-5,1,3309,3309,344,1.3157739471644163,24.569515669718385,343,25.96771113947034,1.3157739471644163,24.56951566971838,0.07163124101958712,25.967711139470335,17724102656,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,multi_news,5,3358fb88c31046f04005237c69fcb14adb6b6b9ff68ca036,multi_news_batch0000_examples5-5,1,2651,2651,466,1.050793144851923,33.65948790870607,465,34.82775368914008,1.050793144851923,33.65948790870607,0.0723859955025937,34.82775368914008,17404397568,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,trec,10,e660419e55969f5f323ad0dd25559df5127ac5ec4d792757,trec_batch0000_examples10-10,1,2584,2584,64,1.0317918583750725,4.485071172937751,63,5.531404474750161,1.0317918583750725,4.485071172937751,0.07119160591964684,5.531404474750161,17371890688,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,triviaqa,0,a6b0e6b9bf53f05d1569572cebd9359a0d4136a026613c7d,triviaqa_batch0000_examples0-0,1,5540,5540,32,2.241970356553793,2.2180948462337255,31,4.467602042481303,2.241970356553793,2.2180948462337255,0.07155144665270083,4.467602042481303,18809683968,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,samsum,2,66fe3774d3686f64c487b2b42c83421d10367deeb6bfed00,samsum_batch0000_examples2-2,1,2402,2402,128,0.9548345655202866,9.018871709704399,127,10.005678202956915,0.9548345655202866,9.018871709704399,0.07101473787168819,10.005678202956915,17282073600,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,passage_count,15,1795269f5f7efef8da447c1797cfe8082c5fec5fbc13a587,passage_count_batch0000_examples15-15,1,2828,2828,25,1.1375761330127716,1.7101668398827314,24,2.8536587115377188,1.1375761330127716,1.7101668398827314,0.07125695166178048,2.8536587115377188,17491195904,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,passage_retrieval_en,2,871d9417ba06b98b501a20f626a0744f6ba0713376630258,passage_retrieval_en_batch0000_examples2-2,1,4366,4366,4,1.762448187917471,0.21468424424529076,3,1.9780455622822046,1.762448187917471,0.21468424424529076,0.07156141474843025,1.9780455622822046,18240493568,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,lcc,1,d1cdb285b1f1b73f8d637fde4adf331aa839bb2e31eb8599,lcc_batch0000_examples1-1,1,1633,1633,64,0.6495872065424919,4.4859955832362175,63,5.150882672518492,0.6495872065424919,4.4859955832362175,0.07120627909898758,5.150882672518492,16934999040,22528,bfloat16 reconstructed-K/V emulation
fixed32_learned_2p5_s35_step10000,learned,2,35,repobench-p,9,3a25616cb5ea03ff9da80a9e67105c5d33a5d27f5481b048,repobench-p_batch0000_examples9-9,1,6780,6780,64,2.751930119469762,4.523597354069352,63,7.290367661044002,2.751930119469762,4.523597354069352,0.07180313260427543,7.290367661044002,19414582272,22528,bfloat16 reconstructed-K/V emulation
