condition_id,method,bit_width,seed,task,category,examples,mean_score,official_score_rounded,population_stddev
fixed32_learned_2p5_s35_step10000,learned,2,35,qasper,Single QA,1,54.54545454545454,54.55,0.0
fixed32_learned_2p5_s35_step10000,learned,2,35,multifieldqa_en,Single QA,1,80.0,80.0,0.0
fixed32_learned_2p5_s35_step10000,learned,2,35,hotpotqa,Multi QA,1,100.0,100.0,0.0
fixed32_learned_2p5_s35_step10000,learned,2,35,2wikimqa,Multi QA,1,100.0,100.0,0.0
fixed32_learned_2p5_s35_step10000,learned,2,35,gov_report,Summarization,1,36.718749517578125,36.72,0.0
fixed32_learned_2p5_s35_step10000,learned,2,35,multi_news,Summarization,1,18.69918654213763,18.7,0.0
fixed32_learned_2p5_s35_step10000,learned,2,35,trec,Few-shot,1,100.0,100.0,0.0
fixed32_learned_2p5_s35_step10000,learned,2,35,triviaqa,Few-shot,1,50.0,50.0,0.0
fixed32_learned_2p5_s35_step10000,learned,2,35,samsum,Few-shot,1,32.83582042771219,32.84,0.0
fixed32_learned_2p5_s35_step10000,learned,2,35,passage_count,Synthetic,1,0.0,0.0,0.0
fixed32_learned_2p5_s35_step10000,learned,2,35,passage_retrieval_en,Synthetic,1,100.0,100.0,0.0
fixed32_learned_2p5_s35_step10000,learned,2,35,lcc,Code,1,37.0,37.0,0.0
fixed32_learned_2p5_s35_step10000,learned,2,35,repobench-p,Code,1,39.0,39.0,0.0
