condition_id,method,bit_width,seed,task,example_index,example_id,batch_id,batch_size,batch_padded_prompt_tokens,prompt_tokens,generated_tokens,batch_prefill_seconds,batch_decode_seconds,batch_decode_steps,batch_total_seconds,prefill_seconds,decode_seconds,decode_seconds_per_token,total_seconds,peak_gpu_memory_bytes,theoretical_kv_bytes_per_token,actual_cache_dtype
fixed32_random_2p5_s35,random,2,35,qasper,1,8e5e6c35689e17e9f50df76ada506a4c05be9ed081c883d4,qasper_batch0000_examples1-1,1,4896,4896,36,2.1950661838054657,2.4830844067037106,35,4.697317661717534,2.1950661838054657,2.4830844067037106,0.07094526876296316,4.697317661717534,18497967104,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,multifieldqa_en,2,dee63735510f6958f4c5bf318421c9b9fac0bc8b3e341a4a,multifieldqa_en_batch0000_examples2-2,1,6618,6618,16,2.681103177368641,1.0586445834487677,15,3.74294164031744,2.681103177368641,1.0586445834487677,0.07057630556325117,3.74294164031744,19337139200,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,hotpotqa,1,b2af3aefc3bc4f5ba5340eca87389e8dcaa6fa1834110aaf,hotpotqa_batch0000_examples1-1,1,5256,5256,5,2.120508886873722,0.28343475237488747,4,2.4049595445394516,2.120508886873722,0.28343475237488747,0.07085868809372187,2.4049595445394516,18672951296,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,2wikimqa,3,4adca5ba1654b740d1e25c6e73d45aa2f3621537bed9086b,2wikimqa_batch0000_examples3-3,1,4449,4449,9,1.7833396419882774,0.5631254743784666,8,2.348200425505638,1.7833396419882774,0.5631254743784666,0.07039068429730833,2.348200425505638,18280670208,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,gov_report,5,73b6c24236aac5d34a6f3aff9b258afd4be6ca8d1bdd2830,gov_report_batch0000_examples5-5,1,3309,3309,322,1.3159252051264048,22.585666932165623,321,23.9687660895288,1.3159252051264048,22.585666932165623,0.07036033312201129,23.9687660895288,17724102656,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,multi_news,5,3358fb88c31046f04005237c69fcb14adb6b6b9ff68ca036,multi_news_batch0000_examples5-5,1,2651,2651,488,1.0507356729358435,34.229428209364414,487,35.381533328443766,1.0507356729358435,34.229428209364414,0.07028630022456758,35.381533328443766,17404397568,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,trec,10,e660419e55969f5f323ad0dd25559df5127ac5ec4d792757,trec_batch0000_examples10-10,1,2584,2584,64,1.0319118667393923,4.416659269481897,63,5.462055578827858,1.0319118667393923,4.416659269481897,0.07010570269018884,5.462055578827858,17371890688,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,triviaqa,0,a6b0e6b9bf53f05d1569572cebd9359a0d4136a026613c7d,triviaqa_batch0000_examples0-0,1,5540,5540,32,2.2419416569173336,2.1869823541492224,31,4.435392281040549,2.2419416569173336,2.1869823541492224,0.07054781787578136,4.435392281040549,18809683968,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,samsum,2,66fe3774d3686f64c487b2b42c83421d10367deeb6bfed00,samsum_batch0000_examples2-2,1,2402,2402,128,0.9547985829412937,8.90112811140716,127,9.882760291919112,0.9547985829412937,8.90112811140716,0.07008762292446584,9.882760291919112,17282073600,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,passage_count,15,1795269f5f7efef8da447c1797cfe8082c5fec5fbc13a587,passage_count_batch0000_examples15-15,1,2828,2828,32,1.1376794446259737,2.1820238810032606,31,3.3262424748390913,1.1376794446259737,2.1820238810032606,0.07038786712913744,3.3262424748390913,17491195904,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,passage_retrieval_en,2,871d9417ba06b98b501a20f626a0744f6ba0713376630258,passage_retrieval_en_batch0000_examples2-2,1,4366,4366,4,1.7629502452909946,0.2115325052291155,3,1.9752497598528862,1.7629502452909946,0.2115325052291155,0.07051083507637183,1.9752497598528862,18240493568,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,lcc,1,d1cdb285b1f1b73f8d637fde4adf331aa839bb2e31eb8599,lcc_batch0000_examples1-1,1,1633,1633,64,0.6494653951376677,4.395087691023946,63,5.057465847581625,0.6494653951376677,4.395087691023946,0.06976329668291978,5.057465847581625,16934999040,22528,bfloat16 reconstructed-K/V emulation
fixed32_random_2p5_s35,random,2,35,repobench-p,9,3a25616cb5ea03ff9da80a9e67105c5d33a5d27f5481b048,repobench-p_batch0000_examples9-9,1,6780,6780,64,2.752086527645588,4.438930889591575,63,7.2049093674868345,2.752086527645588,4.438930889591575,0.07045922046970754,7.2049093674868345,19414582272,22528,bfloat16 reconstructed-K/V emulation
