condition_id,method,bit_width,seed,task,category,examples,mean_score,official_score_rounded,population_stddev
kmeans2_learned_mixed_s35_step10000,learned,2,35,qasper,Single QA,1,0.0,0.0,0.0
kmeans2_learned_mixed_s35_step10000,learned,2,35,multifieldqa_en,Single QA,1,0.0,0.0,0.0
kmeans2_learned_mixed_s35_step10000,learned,2,35,hotpotqa,Multi QA,1,100.0,100.0,0.0
kmeans2_learned_mixed_s35_step10000,learned,2,35,2wikimqa,Multi QA,1,0.0,0.0,0.0
kmeans2_learned_mixed_s35_step10000,learned,2,35,gov_report,Summarization,1,30.90909041057852,30.91,0.0
kmeans2_learned_mixed_s35_step10000,learned,2,35,multi_news,Summarization,1,21.58273339123235,21.58,0.0
kmeans2_learned_mixed_s35_step10000,learned,2,35,trec,Few-shot,1,100.0,100.0,0.0
kmeans2_learned_mixed_s35_step10000,learned,2,35,triviaqa,Few-shot,1,50.0,50.0,0.0
kmeans2_learned_mixed_s35_step10000,learned,2,35,samsum,Few-shot,1,42.666666222222226,42.67,0.0
kmeans2_learned_mixed_s35_step10000,learned,2,35,passage_count,Synthetic,1,33.33333333333333,33.33,0.0
kmeans2_learned_mixed_s35_step10000,learned,2,35,passage_retrieval_en,Synthetic,1,100.0,100.0,0.0
kmeans2_learned_mixed_s35_step10000,learned,2,35,lcc,Code,1,98.0,98.0,0.0
kmeans2_learned_mixed_s35_step10000,learned,2,35,repobench-p,Code,1,9.0,9.0,0.0
