condition_id,method,bit_width,seed,task,example_index,example_id,batch_id,batch_size,batch_padded_prompt_tokens,prompt_tokens,generated_tokens,batch_prefill_seconds,batch_decode_seconds,batch_decode_steps,batch_total_seconds,prefill_seconds,decode_seconds,decode_seconds_per_token,total_seconds,peak_gpu_memory_bytes,theoretical_kv_bytes_per_token,actual_cache_dtype
kmeans2_random_mixed_s35,random,2,35,qasper,1,8e5e6c35689e17e9f50df76ada506a4c05be9ed081c883d4,qasper_batch0000_examples1-1,1,4896,4896,3,1.9715039152652025,0.5003276374191046,2,2.4844276160001755,1.9715039152652025,0.5003276374191046,0.2501638187095523,2.4844276160001755,18947392000,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,multifieldqa_en,2,dee63735510f6958f4c5bf318421c9b9fac0bc8b3e341a4a,multifieldqa_en_batch0000_examples2-2,1,6618,6618,5,2.2651117369532585,0.981954500079155,4,3.248207600787282,2.2651117369532585,0.981954500079155,0.24548862501978874,3.248207600787282,19939375616,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,hotpotqa,1,b2af3aefc3bc4f5ba5340eca87389e8dcaa6fa1834110aaf,hotpotqa_batch0000_examples1-1,1,5256,5256,5,1.7947870045900345,0.9793165940791368,4,2.7750645745545626,1.7947870045900345,0.9793165940791368,0.2448291485197842,2.7750645745545626,19153203712,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,2wikimqa,3,4adca5ba1654b740d1e25c6e73d45aa2f3621537bed9086b,2wikimqa_batch0000_examples3-3,1,4449,4449,9,1.5146729238331318,1.9560362547636032,8,3.4724698923528194,1.5146729238331318,1.9560362547636032,0.2445045318454504,3.4724698923528194,18690491904,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,gov_report,5,73b6c24236aac5d34a6f3aff9b258afd4be6ca8d1bdd2830,gov_report_batch0000_examples5-5,1,3309,3309,446,1.1265579871833324,108.6718045771122,445,109.90455819480121,1.1265579871833324,108.6718045771122,0.24420630242047686,109.90455819480121,18034804224,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,multi_news,5,3358fb88c31046f04005237c69fcb14adb6b6b9ff68ca036,multi_news_batch0000_examples5-5,1,2651,2651,512,0.9070998784154654,124.7991903051734,511,125.82747186906636,0.9070998784154654,124.7991903051734,0.24422542134084813,125.82747186906636,17656350720,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,trec,10,e660419e55969f5f323ad0dd25559df5127ac5ec4d792757,trec_batch0000_examples10-10,1,2584,2584,64,0.8940087705850601,15.364108005538583,63,16.27210575155914,0.8940087705850601,15.364108005538583,0.24387473024664416,16.27210575155914,17617360896,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,triviaqa,0,a6b0e6b9bf53f05d1569572cebd9359a0d4136a026613c7d,triviaqa_batch0000_examples0-0,1,5540,5540,32,1.9005692657083273,7.585884362459183,31,9.493508089333773,1.9005692657083273,7.585884362459183,0.24470594717610267,9.493508089333773,19316161536,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,samsum,2,66fe3774d3686f64c487b2b42c83421d10367deeb6bfed00,samsum_batch0000_examples2-2,1,2402,2402,128,0.8319261372089386,31.030002715066075,127,31.896119620651007,0.8319261372089386,31.030002715066075,0.24433073003989036,31.896119620651007,17512100352,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,passage_count,15,1795269f5f7efef8da447c1797cfe8082c5fec5fbc13a587,passage_count_batch0000_examples15-15,1,2828,2828,32,0.9840471278876066,7.5862340200692415,31,8.577818596735597,0.9840471278876066,7.5862340200692415,0.2447172264538465,8.577818596735597,17759580160,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,passage_retrieval_en,2,871d9417ba06b98b501a20f626a0744f6ba0713376630258,passage_retrieval_en_batch0000_examples2-2,1,4366,4366,27,1.5013122484087944,6.367115639150143,26,7.8747366312891245,1.5013122484087944,6.367115639150143,0.24488906304423624,7.8747366312891245,18642902528,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,lcc,1,d1cdb285b1f1b73f8d637fde4adf331aa839bb2e31eb8599,lcc_batch0000_examples1-1,1,1633,1633,64,0.5813750457018614,15.410564256832004,63,16.007220540195704,0.5813750457018614,15.410564256832004,0.24461213106082547,16.007220540195704,17097318400,19806,bfloat16 reconstructed-K/V emulation
kmeans2_random_mixed_s35,random,2,35,repobench-p,9,3a25616cb5ea03ff9da80a9e67105c5d33a5d27f5481b048,repobench-p_batch0000_examples9-9,1,6780,6780,64,2.3284985721111298,15.531699877232313,63,17.879188176244497,2.3284985721111298,15.531699877232313,0.2465349186862272,17.879188176244497,20030779392,19806,bfloat16 reconstructed-K/V emulation
