condition_id,method,bit_width,seed,task,category,examples,mean_score,official_score_rounded,population_stddev
uniform2_random_s35,random,2,35,qasper,Single QA,1,0.0,0.0,0.0
uniform2_random_s35,random,2,35,multifieldqa_en,Single QA,1,80.0,80.0,0.0
uniform2_random_s35,random,2,35,hotpotqa,Multi QA,1,0.0,0.0,0.0
uniform2_random_s35,random,2,35,2wikimqa,Multi QA,1,0.0,0.0,0.0
uniform2_random_s35,random,2,35,gov_report,Summarization,1,29.76190429024944,29.76,0.0
uniform2_random_s35,random,2,35,multi_news,Summarization,1,25.892856674107144,25.89,0.0
uniform2_random_s35,random,2,35,trec,Few-shot,1,100.0,100.0,0.0
uniform2_random_s35,random,2,35,triviaqa,Few-shot,1,50.0,50.0,0.0
uniform2_random_s35,random,2,35,samsum,Few-shot,1,31.999999500000005,32.0,0.0
uniform2_random_s35,random,2,35,passage_count,Synthetic,1,0.0,0.0,0.0
uniform2_random_s35,random,2,35,passage_retrieval_en,Synthetic,1,100.0,100.0,0.0
uniform2_random_s35,random,2,35,lcc,Code,1,98.0,98.0,0.0
uniform2_random_s35,random,2,35,repobench-p,Code,1,48.0,48.0,0.0
