condition_id,method,bit_width,seed,task,example_index,example_id,batch_id,batch_size,batch_padded_prompt_tokens,prompt_tokens,generated_tokens,batch_prefill_seconds,batch_decode_seconds,batch_decode_steps,batch_total_seconds,prefill_seconds,decode_seconds,decode_seconds_per_token,total_seconds,peak_gpu_memory_bytes,theoretical_kv_bytes_per_token,actual_cache_dtype
uniform3_random_s35,random,3,35,qasper,1,8e5e6c35689e17e9f50df76ada506a4c05be9ed081c883d4,qasper_batch0000_examples1-1,1,4896,4896,19,2.6711178328841925,0.9770681951195002,18,3.6642544511705637,2.6711178328841925,0.9770681951195002,0.05428156639552779,3.6642544511705637,19671946240,25600,bfloat16 reconstructed-K/V emulation
uniform3_random_s35,random,3,35,multifieldqa_en,2,dee63735510f6958f4c5bf318421c9b9fac0bc8b3e341a4a,multifieldqa_en_batch0000_examples2-2,1,6618,6618,16,3.343174260109663,0.8367671556770802,15,4.183282678946853,3.343174260109663,0.8367671556770802,0.055784477045138676,4.183282678946853,20914461696,25600,bfloat16 reconstructed-K/V emulation
uniform3_random_s35,random,3,35,hotpotqa,1,b2af3aefc3bc4f5ba5340eca87389e8dcaa6fa1834110aaf,hotpotqa_batch0000_examples1-1,1,5256,5256,5,2.646049916744232,0.21484390273690224,4,2.8619348369538784,2.646049916744232,0.21484390273690224,0.05371097568422556,2.8619348369538784,19929300992,25600,bfloat16 reconstructed-K/V emulation
uniform3_random_s35,random,3,35,2wikimqa,3,4adca5ba1654b740d1e25c6e73d45aa2f3621537bed9086b,2wikimqa_batch0000_examples3-3,1,4449,4449,9,2.2272767405956984,0.4227586183696985,8,2.651870295405388,2.2272767405956984,0.4227586183696985,0.052844827296212316,2.651870295405388,19348286464,25600,bfloat16 reconstructed-K/V emulation
uniform3_random_s35,random,3,35,gov_report,5,73b6c24236aac5d34a6f3aff9b258afd4be6ca8d1bdd2830,gov_report_batch0000_examples5-5,1,3309,3309,419,1.6453861370682716,22.06865538842976,418,23.801970206201077,1.6453861370682716,22.06865538842976,0.05279582628810948,23.801970206201077,18526432256,25600,bfloat16 reconstructed-K/V emulation
uniform3_random_s35,random,3,35,multi_news,5,3358fb88c31046f04005237c69fcb14adb6b6b9ff68ca036,multi_news_batch0000_examples5-5,1,2651,2651,440,1.3145351242274046,23.137340215966105,439,24.54557202756405,1.3145351242274046,23.137340215966105,0.052704647416779285,24.54557202756405,18050167808,25600,bfloat16 reconstructed-K/V emulation
uniform3_random_s35,random,3,35,trec,10,e660419e55969f5f323ad0dd25559df5127ac5ec4d792757,trec_batch0000_examples10-10,1,2584,2584,64,1.2887934800237417,3.313644304871559,63,4.615429915487766,1.2887934800237417,3.313644304871559,0.05259752864875491,4.615429915487766,18001126400,25600,bfloat16 reconstructed-K/V emulation
uniform3_random_s35,random,3,35,triviaqa,0,a6b0e6b9bf53f05d1569572cebd9359a0d4136a026613c7d,triviaqa_batch0000_examples0-0,1,5540,5540,32,2.7953977286815643,1.639872333034873,31,4.441928584128618,2.7953977286815643,1.639872333034873,0.05289910751725397,4.441928584128618,20133892096,25600,bfloat16 reconstructed-K/V emulation
uniform3_random_s35,random,3,35,samsum,2,66fe3774d3686f64c487b2b42c83421d10367deeb6bfed00,samsum_batch0000_examples2-2,1,2402,2402,128,1.1917232759296894,6.671373568475246,127,7.890455478802323,1.1917232759296894,6.671373568475246,0.05253050053917517,7.890455478802323,17869812736,25600,bfloat16 reconstructed-K/V emulation
uniform3_random_s35,random,3,35,passage_count,15,1795269f5f7efef8da447c1797cfe8082c5fec5fbc13a587,passage_count_batch0000_examples15-15,1,2828,2828,2,1.4197176527231932,0.053208451718091965,1,1.473258526995778,1.4197176527231932,0.053208451718091965,0.053208451718091965,1.473258526995778,18179450880,25600,bfloat16 reconstructed-K/V emulation
uniform3_random_s35,random,3,35,passage_retrieval_en,2,871d9417ba06b98b501a20f626a0744f6ba0713376630258,passage_retrieval_en_batch0000_examples2-2,1,4366,4366,4,2.1968244332820177,0.15847084484994411,3,2.3560374323278666,2.1968244332820177,0.15847084484994411,0.05282361494998137,2.3560374323278666,19289896960,25600,bfloat16 reconstructed-K/V emulation
uniform3_random_s35,random,3,35,lcc,1,d1cdb285b1f1b73f8d637fde4adf331aa839bb2e31eb8599,lcc_batch0000_examples1-1,1,1633,1633,64,0.8070277217775583,3.3074995446950197,63,4.127420214936137,0.8070277217775583,3.3074995446950197,0.05249999277293682,4.127420214936137,17343984640,25600,bfloat16 reconstructed-K/V emulation
uniform3_random_s35,random,3,35,repobench-p,9,3a25616cb5ea03ff9da80a9e67105c5d33a5d27f5481b048,repobench-p_batch0000_examples9-9,1,6780,6780,64,3.4295816030353308,3.5460234750062227,63,6.988747728988528,3.4295816030353308,3.5460234750062227,0.05628608690486068,6.988747728988528,21029565440,25600,bfloat16 reconstructed-K/V emulation
