condition_id,allocation,method,task,category,examples,mean_score,official_score_rounded,population_stddev
uniform2_identity,uniform2,identity,qasper,Single QA,45,2.272812558660214,2.27,3.3788628298963186
uniform2_identity,uniform2,identity,multifieldqa_en,Single QA,30,5.091273095641037,5.09,7.346565950028883
uniform2_identity,uniform2,identity,hotpotqa,Multi QA,60,2.4337611588027355,2.43,5.771896472226064
uniform2_identity,uniform2,identity,2wikimqa,Multi QA,60,1.796006281300399,1.8,5.194657362507293
uniform2_identity,uniform2,identity,gov_report,Summarization,60,4.941313992532821,4.94,3.1772087860389764
uniform2_identity,uniform2,identity,multi_news,Summarization,59,3.727614500138068,3.73,4.619212654645662
uniform2_identity,uniform2,identity,trec,Few-shot,60,10.0,10.0,30.0
uniform2_identity,uniform2,identity,triviaqa,Few-shot,60,5.689171939171939,5.69,15.72744160187967
uniform2_identity,uniform2,identity,samsum,Few-shot,60,6.20777833716186,6.21,7.615741156794791
uniform2_identity,uniform2,identity,passage_count,Synthetic,60,0.3333333333333333,0.33,2.560381915956203
uniform2_identity,uniform2,identity,passage_retrieval_en,Synthetic,60,0.15151515151515152,0.15,1.163809961798274
uniform2_identity,uniform2,identity,lcc,Code,60,29.766666666666666,29.77,21.90081175563033
uniform2_identity,uniform2,identity,repobench-p,Code,60,25.816666666666666,25.82,17.869426092879674
uniform2_random_s35,uniform2,random,qasper,Single QA,45,33.761390115797674,33.76,37.18211199231442
uniform2_random_s35,uniform2,random,multifieldqa_en,Single QA,30,49.19392127916156,49.19,35.32706390573096
uniform2_random_s35,uniform2,random,hotpotqa,Multi QA,60,22.34926136241926,22.35,37.64622904449957
uniform2_random_s35,uniform2,random,2wikimqa,Multi QA,60,24.678084099136733,24.68,39.78959383005766
uniform2_random_s35,uniform2,random,gov_report,Summarization,60,26.20208671930533,26.2,5.9139801410425346
uniform2_random_s35,uniform2,random,multi_news,Summarization,59,23.143743242819564,23.14,5.955298488180371
uniform2_random_s35,uniform2,random,trec,Few-shot,60,71.66666666666667,71.67,45.06168611531925
uniform2_random_s35,uniform2,random,triviaqa,Few-shot,60,75.05555555555556,75.06,38.66997910460539
uniform2_random_s35,uniform2,random,samsum,Few-shot,60,37.240478557545494,37.24,16.51006573945051
uniform2_random_s35,uniform2,random,passage_count,Synthetic,60,6.96969696969697,6.97,24.91675764929905
uniform2_random_s35,uniform2,random,passage_retrieval_en,Synthetic,60,25.0,25.0,43.30127018922193
uniform2_random_s35,uniform2,random,lcc,Code,60,39.733333333333334,39.73,22.176464000276408
uniform2_random_s35,uniform2,random,repobench-p,Code,60,39.71666666666667,39.72,27.021036043958212
uniform2_learned_s35_step10000,uniform2,learned,qasper,Single QA,45,49.275252273602675,49.28,38.472712615757025
uniform2_learned_s35_step10000,uniform2,learned,multifieldqa_en,Single QA,30,51.44504672079414,51.45,35.05081875636289
uniform2_learned_s35_step10000,uniform2,learned,hotpotqa,Multi QA,60,40.9421280473912,40.94,42.601374350707694
uniform2_learned_s35_step10000,uniform2,learned,2wikimqa,Multi QA,60,28.457671957671955,28.46,43.062793790100365
uniform2_learned_s35_step10000,uniform2,learned,gov_report,Summarization,60,30.0022758841703,30.0,5.9418283920215895
uniform2_learned_s35_step10000,uniform2,learned,multi_news,Summarization,59,24.02474092892044,24.02,5.208780905139373
uniform2_learned_s35_step10000,uniform2,learned,trec,Few-shot,60,66.66666666666667,66.67,47.14045207910317
uniform2_learned_s35_step10000,uniform2,learned,triviaqa,Few-shot,60,91.0,91.0,23.900255693657805
uniform2_learned_s35_step10000,uniform2,learned,samsum,Few-shot,60,40.538727355698576,40.54,16.56095360859303
uniform2_learned_s35_step10000,uniform2,learned,passage_count,Synthetic,60,1.6666666666666667,1.67,12.801909579781015
uniform2_learned_s35_step10000,uniform2,learned,passage_retrieval_en,Synthetic,60,80.0,80.0,40.0
uniform2_learned_s35_step10000,uniform2,learned,lcc,Code,60,57.11666666666667,57.12,27.616475557576535
uniform2_learned_s35_step10000,uniform2,learned,repobench-p,Code,60,42.2,42.2,25.82815001763257
fixed32_identity_2p5,fixed32,identity,qasper,Single QA,45,31.800829481127586,31.8,35.242180331171646
fixed32_identity_2p5,fixed32,identity,multifieldqa_en,Single QA,30,33.84820181690988,33.85,30.008760092835953
fixed32_identity_2p5,fixed32,identity,hotpotqa,Multi QA,60,30.83570669096985,30.84,43.02895564243671
fixed32_identity_2p5,fixed32,identity,2wikimqa,Multi QA,60,28.509126351231615,28.51,41.17726167564206
fixed32_identity_2p5,fixed32,identity,gov_report,Summarization,60,23.500725497541527,23.5,5.209922100022292
fixed32_identity_2p5,fixed32,identity,multi_news,Summarization,59,21.699447422195455,21.7,4.991960355849098
fixed32_identity_2p5,fixed32,identity,trec,Few-shot,60,60.0,60.0,48.98979485566356
fixed32_identity_2p5,fixed32,identity,triviaqa,Few-shot,60,87.38888888888889,87.39,30.54499817613756
fixed32_identity_2p5,fixed32,identity,samsum,Few-shot,60,40.12135722245802,40.12,14.55276361091391
fixed32_identity_2p5,fixed32,identity,passage_count,Synthetic,60,5.151515151515151,5.15,21.790807743450664
fixed32_identity_2p5,fixed32,identity,passage_retrieval_en,Synthetic,60,40.833333333333336,40.83,48.72684635347906
fixed32_identity_2p5,fixed32,identity,lcc,Code,60,36.43333333333333,36.43,21.718169556592215
