condition_id,method,bit_width,seed,task,category,example_index,example_id,dataset_length,length_bucket,score
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,0,341d214a2c377691bf20e5a30b8f7979696bd19141ad9c9f,22692,8k+,50.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,1,26c6325283dece0b557e34cde9a5c57999ec5c68782e8194,23316,8k+,62.500000000000014
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,2,5b8d6fdd30a297e508ebb484f172ca5bce8d31b340eb3506,5397,4-8k,28.571428571428577
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,3,68fc4dee839213b5259d41718909195c2f5274665bc18036,6592,4-8k,33.33333333333333
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,4,36232c9c63d19d282643657b3da5b688cb14e3b44009c494,27745,8k+,25.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,5,0bf1995158cbf08134d5dc15475c27f38b3ab5441c422419,10020,8k+,66.66666666666666
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,6,9fbcbb5460066a68460ba92626c25371e0a1ff65b3bd5e84,18054,8k+,40.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,7,f9cfda8abcc78f9e2f492d4f58ee4996430e9a8911e29726,25090,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,8,58b8a46c20c05540367b90490846c4f9808db630026b28d4,22692,8k+,50.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,9,c89fd516348b68f96538948b052cb10d5b6f21bc441f5a55,5403,4-8k,66.66666666666666
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,10,67933dc11fce5ce5b80acc04541f0442117aca5eccc06b6f,27521,8k+,37.5
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,11,b097807317fd6df3e69b46d4332b558f2d6c7f1f893770a6,11201,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,12,24c995f1a10e348519cdc6cd24685ab64bcf6454554de945,8147,8k+,50.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,13,8134d2aaf4e735e59f38656a3c804171a8d1084faef2da93,7903,4-8k,66.66666666666666
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,14,321a85aa34669657c041d72547da9f30764447d789bf0e2d,7899,4-8k,20.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,15,31a2673d857b4ae705288436804dd94343b7f7d9bfdd1298,25088,8k+,85.71428571428571
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,16,7e1df407b7018ef82e2ade488c601066798bbe67a39a6da4,14760,8k+,11.111111111111112
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,17,7efd1cc4cce3770765ac6c7304b68cfe28c83aec18c01577,27521,8k+,12.121212121212121
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,18,677af5490eddd9e1d2ecd66ab0d1e038d1f7e7c5e985accf,17505,8k+,28.571428571428577
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,19,8a46cc12564386606f3162cd88cae3ec0f868009efce1d33,6592,4-8k,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,20,af8f267654c2ca703d2044593d63c658c8716e66306dd65a,10015,8k+,14.285714285714285
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,21,b92c3f3f94368153267f267845b8140ccac30015795b574d,27514,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,22,949abce7e7abc634fc08ff28f996a235ddd6041358bee155,31692,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,23,e39f9c371b47fb74a202d1f30bc46e806791d0ee81b1b2d4,6594,4-8k,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,24,60cacef36b194be88d2a8a4fa816324ffcb672f336197584,22695,8k+,72.72727272727272
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,25,d22828536f4d6bee11bd1f15f636bddd18fa8f246ef1be6c,17490,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,26,585ce1f974c0a35526da31a0cdc1541728ffc2df6a73b4f3,6595,4-8k,14.285714285714285
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,27,880269c856197f51942d2649c32e0c37955409d7fdb3f369,29630,8k+,60.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,28,0cb4ddf1bedade882d28e7940531bbac3ec45efb1f668635,22698,8k+,37.49999999999999
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,29,562b8f8423dfb1c0fe308445710a9018f3d4e7508ef87e52,17497,8k+,16.666666666666664
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,30,ea7825ba7cc9beff14746f8a82ec525b3b9d536b467cdaba,11196,8k+,14.285714285714288
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,31,b8c1df9064532860efef843054433b6588ec8c89071c027f,17501,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,32,08eb5808e99ec50b74a3b2779c65c533fec812a1e70f5ed3,18053,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,33,13bff0d53a16f0e4ea96e342a517d30aab0357d624ee1ceb,23319,8k+,30.76923076923077
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,34,478201dd5ae2b46b44caacaa387140a11bf5437332820d41,8721,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,35,b91ede2d2d08ea6f5f3b894c932b70e141665dd59d334dc8,22762,8k+,18.181818181818183
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,36,fd7551a90b78405f6b71079bb8565a2c9f60db1b7e4179c8,31690,8k+,40.00000000000001
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,37,627d4b1bf8c78ab08d4da01abc81be9e724d1e8bcb2d2e6b,10014,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,38,414ea192da69d6665e5ad41f59b34c6e1a8b5a59fa0703e5,25089,8k+,100.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,39,507378fadb4447d3f857ab09512a7bf0cae2c34083e449c6,23312,8k+,11.76470588235294
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,40,73705494f8a477420b27dee08ab2c02f30cad6025cd3e388,25088,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,41,a8a172aa00eb9de7d74042b9cd27d07cf537b2056b93cf62,17492,8k+,33.333333333333336
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,42,0efa676797a76ec31f8888ffea26cffe75b602ee3a38b7a2,6591,4-8k,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,43,887b45fe14ce901239d9ec0eee625ec5f02c410b1eb426b4,17491,8k+,100.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,44,62fc0808be185047c6e6ec24c916c59def5d1acd30a95861,8727,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,45,41d2d4a499eabd3034b061845ae3c279f5befd0fce60f757,11202,8k+,37.5
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,46,a5e44b1e2b98f80aabab5f1b8296d0fe66d53b31c1f3e332,27737,8k+,100.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,47,cf6cd2d8526658bac5ee4a39bc0237021c54eec652d27d1b,23312,8k+,18.181818181818183
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,48,923329f49e6ae0c9f11914e9b90d01a64bc74f6c0dd663bd,14762,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,49,ba016e084e6954d21521889759d81e159d1977cbf2b3354a,13954,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,50,787d7fce3ea3a5afc996204942227e91ad057b882c3d3633,27741,8k+,21.05263157894737
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,51,040a455faa539cf124460b1b37165be70269fc8b8a9a0c60,17490,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,52,19ec182d75e69f6f85cc7a4fa8f9ca22b124800bc8736b1d,17497,8k+,42.857142857142854
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,53,86d2cd2994feadad471854df8ce765545fe6bab1cee02259,27510,8k+,100.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,54,b03244c8cc2681df1008d27c974d81415336396dff81f06d,31691,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,55,973ac7fc4eb400348ec30dae56ba4d177d0ade45a3529d3e,25093,8k+,12.5
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,56,3ab2add236bd7cba3c5f398e53ab0b6581fa82dae827c871,22694,8k+,8.333333333333334
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,57,9420daeb72715dee209b0b33539597d033d14ca5fa6b2365,22764,8k+,100.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,58,e726a44d5d159de71612e7733d453f36d881d6f19f484fe4,8722,8k+,37.49999999999999
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,59,1e06ea4077ecabcd5cc72281c2a3e843f0c17dccd8af3183,25089,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,60,cffc706d1ed5ecaa2b18b058e30ec11b1f8fc8a42f455048,5397,4-8k,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,61,deaf226b06424a0b0603f5aba885cb4420774c9df944bbf1,8139,8k+,18.18181818181818
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,62,acc4bde34060bc451a73e0e1e0d0bc7e1ca93695bc8112a1,36418,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,63,15ff32c8af396eaac6495b631f649886830d897c008bdc84,14761,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,64,077293776804b7d32e78db5ef172d5c960716006e8b446da,10016,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,65,f4e1da583a42af305bdf0bca385229d260cc7b93af90a426,36405,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,66,90cd90dd2b5ecaa57b899f172cabca1baa2db41646acedd2,8721,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,67,8ac0d86e207a81bc5c11e419220042c59535dc8f50204439,22697,8k+,30.76923076923077
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,68,89fa29fe98311bcd10f72a7d965065e2527f282e89594c37,13953,8k+,80.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,69,aab61294906308c2c4f4410552bfe47885450370839736ad,17501,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,70,c549a937e1ff08308e3afe359c4db27ba066adcabb4b2425,7896,4-8k,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,71,91c715bd83e23bb735511450936df79969d1871bd0dda0cc,17500,8k+,49.999999999999986
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,72,5eaa334fa7a1d55b36d65745662a6d44a0b13c32a8a773a8,18050,8k+,0.0
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,73,5e4a40a8b41c5d30f46458198614c34f7f789a67796d050d,6598,4-8k,15.384615384615383
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,Single QA,74,f8c64a0b7b14d8547ec79d736d74a5be64f611f65bd96988,22762,8k+,22.222222222222225
