condition_id,method,bit_width,seed,task,example_index,example_id,batch_id,batch_size,batch_padded_prompt_tokens,prompt_tokens,generated_tokens,batch_prefill_seconds,batch_decode_seconds,batch_decode_steps,batch_total_seconds,prefill_seconds,decode_seconds,decode_seconds_per_token,total_seconds,peak_gpu_memory_bytes,theoretical_kv_bytes_per_token,actual_cache_dtype
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,0,341d214a2c377691bf20e5a30b8f7979696bd19141ad9c9f,narrativeqa_batch0000_examples0-0,1,31383,31383,10,8.802106730639935,1.340767003595829,9,10.15791603922844,8.802106730639935,1.340767003595829,0.14897411151064766,10.15791603922844,24849803776,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,1,26c6325283dece0b557e34cde9a5c57999ec5c68782e8194,narrativeqa_batch0001_examples1-1,1,31430,31430,9,8.574562028050423,1.1758849173784256,8,9.752712599933147,8.574562028050423,1.1758849173784256,0.1469856146723032,9.752712599933147,24866043904,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,2,5b8d6fdd30a297e508ebb484f172ca5bce8d31b340eb3506,narrativeqa_batch0002_examples2-2,1,8060,8060,10,1.6217440739274025,0.5372160747647285,9,2.1609786227345467,1.6217440739274025,0.5372160747647285,0.05969067497385873,2.1609786227345467,18351775232,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,3,68fc4dee839213b5259d41718909195c2f5274665bc18036,narrativeqa_batch0003_examples3-3,1,9062,9062,10,1.8662470802664757,0.5740699544548988,9,2.4429831355810165,1.8662470802664757,0.5740699544548988,0.06378555049498875,2.4429831355810165,18629868544,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,4,36232c9c63d19d282643657b3da5b688cb14e3b44009c494,narrativeqa_batch0004_examples4-4,1,37072,37072,7,10.759606264531612,1.0182804390788078,6,11.77972923219204,10.759606264531612,1.0182804390788078,0.16971340651313463,11.77972923219204,26431623168,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,5,0bf1995158cbf08134d5dc15475c27f38b3ab5441c422419,narrativeqa_batch0005_examples5-5,1,13522,13522,6,2.957841083407402,0.4038558900356293,5,3.363870806992054,2.957841083407402,0.4038558900356293,0.08077117800712585,3.363870806992054,19871096832,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,6,9fbcbb5460066a68460ba92626c25371e0a1ff65b3bd5e84,narrativeqa_batch0006_examples6-6,1,31123,31123,4,8.4779611825943,0.44389767944812775,3,8.922758527100086,8.4779611825943,0.44389767944812775,0.14796589314937592,8.922758527100086,24773333504,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,7,f9cfda8abcc78f9e2f492d4f58ee4996430e9a8911e29726,narrativeqa_batch0007_examples7-7,1,46722,46722,5,14.976094506680965,0.9192582294344902,4,15.896960578858852,14.976094506680965,0.9192582294344902,0.22981455735862255,15.896960578858852,29119117824,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,8,58b8a46c20c05540367b90490846c4f9808db630026b28d4,narrativeqa_batch0008_examples8-8,1,31382,31382,3,8.572533465921879,0.30216314643621445,2,8.875537224113941,8.572533465921879,0.30216314643621445,0.15108157321810722,8.875537224113941,24847763968,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,9,c89fd516348b68f96538948b052cb10d5b6f21bc441f5a55,narrativeqa_batch0009_examples9-9,1,8066,8066,6,1.6530012786388397,0.3001088947057724,5,1.9543389827013016,1.6530012786388397,0.3001088947057724,0.06002177894115448,1.9543389827013016,18352316928,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,10,67933dc11fce5ce5b80acc04541f0442117aca5eccc06b6f,narrativeqa_batch0010_examples10-10,1,36258,36258,32,10.451636970043182,5.098259925842285,31,15.558097891509533,10.451636970043182,5.098259925842285,0.16445999760781566,15.558097891509533,26211496960,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,11,b097807317fd6df3e69b46d4332b558f2d6c7f1f893770a6,narrativeqa_batch0011_examples11-11,1,16529,16529,33,3.7776979506015778,2.8948160260915756,32,6.679770074784756,3.7776979506015778,2.8948160260915756,0.09046300081536174,6.679770074784756,20716222976,18432,bfloat16 reconstructed-K/V emulation
