condition_id,method,bit_width,seed,task,example_index,example_id,batch_id,batch_size,batch_padded_prompt_tokens,prompt_tokens,generated_tokens,batch_prefill_seconds,batch_decode_seconds,batch_decode_steps,batch_total_seconds,prefill_seconds,decode_seconds,decode_seconds_per_token,total_seconds,peak_gpu_memory_bytes,theoretical_kv_bytes_per_token,actual_cache_dtype
learned_K2_V2_s35_step10000,learned,2,35,narrativeqa,0,341d214a2c377691bf20e5a30b8f7979696bd19141ad9c9f,narrativeqa_batch0000_examples0-0,1,31383,31383,10,11.108101218938828,1.6846900284290314,9,13.053667888045311,11.108101218938828,1.6846900284290314,0.18718778093655905,13.053667888045311,24849803776,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,qasper,0,3ac3eef636db11635a21a61804cb28e92c546a5686dd1e12,qasper_batch0000_examples0-0,1,4009,4009,8,0.7873473763465881,0.3273635804653168,7,1.116473212838173,0.7873473763465881,0.3273635804653168,0.04676622578075954,1.116473212838173,17223115264,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,multifieldqa_en,0,c29e95ab6195406aceecf3874186150cb1b8b26db5bcd0e4,multifieldqa_en_batch0000_examples0-0,1,1539,1539,5,0.3059578016400337,0.18593145161867142,4,0.4928242862224579,0.3059578016400337,0.18593145161867142,0.046482862904667854,0.4928242862224579,16571346432,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,multifieldqa_zh,0,5b1b8e937b83c3ff9b75ac386fae9c4575c4b9f26a4fbdad,multifieldqa_zh_batch0000_examples0-0,1,8182,8182,5,1.6587898954749107,0.2427016943693161,4,1.9025522023439407,1.6587898954749107,0.2427016943693161,0.060675423592329025,1.9025522023439407,18383398912,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,hotpotqa,0,fc6267db9ba02bbb251960231bc87251c581110e4e2b5f3f,hotpotqa_batch0000_examples0-0,1,11355,11355,7,2.4064618051052094,0.43306849151849747,6,2.8414335399866104,2.4064618051052094,0.43306849151849747,0.07217808191974957,2.8414335399866104,19267752960,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,2wikimqa,0,41ac2a4beb0af8f58d01863a62b90692f7c7d74b5e3a58d9,2wikimqa_batch0000_examples0-0,1,7080,7080,5,1.4271262437105179,0.22635331749916077,4,1.6544940248131752,1.4271262437105179,0.22635331749916077,0.05658832937479019,1.6544940248131752,18076385792,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,musique,0,4c114f84ca41284c0845705943adc10b70a4fd3e8d0ca295,musique_batch0000_examples0-0,1,15936,15936,6,3.606927700340748,0.4472445994615555,5,4.055835910141468,3.606927700340748,0.4472445994615555,0.0894489198923111,4.055835910141468,20543520768,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,dureader,0,12278555b79f2eccb08cbc05e5eb1e3db6dd6656a6dfc903,dureader_batch0000_examples0-0,1,11084,11084,34,2.3516134843230247,2.3304228633642197,33,4.6892262399196625,2.3516134843230247,2.3304228633642197,0.07061887464740059,4.6892262399196625,19199785984,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,gov_report,0,4bd6930b3b65caf89aa127d679a80294f31f9cfa7cdab703,gov_report_batch0000_examples0-0,1,10707,10707,419,2.2519703954458237,29.1891967728734,418,31.549446754157543,2.2519703954458237,29.189196772873398,0.06983061428917081,31.54944675415754,19202008064,18432,bfloat16 reconstructed-K/V emulation
learned_K2_V2_s35_step10000,learned,2,35,qmsum,0,fdd371de2668a6f1e7914fe9a67aef33927ecc392fdc2606,qmsum_batch0000_examples0-0,1,10022,10022,123,2.1055906787514687,8.140928506851196,122,10.274960309267044,2.1055906787514687,8.140928506851196,0.06672892218730489,10.274960309267044,18928753152,18432,bfloat16 reconstructed-K/V emulation
