condition_id,method,bit_width,seed,task,example_index,example_id,batch_id,batch_size,batch_padded_prompt_tokens,prompt_tokens,generated_tokens,batch_prefill_seconds,batch_decode_seconds,batch_decode_steps,batch_total_seconds,prefill_seconds,decode_seconds,decode_seconds_per_token,total_seconds,peak_gpu_memory_bytes,theoretical_kv_bytes_per_token,actual_cache_dtype
fp16_K16_V16,fp16,,,qasper,7,1bd9a082bd7b5ab6c152dbda3db38c0c3bc92cddf82383a3,qasper_batch0000_examples7-7,1,3606,3606,19,0.8618596196174622,0.707851454615593,18,1.6060129031538963,0.8618596196174622,0.707851454615593,0.039325080811977386,1.6060129031538963,17084986368,131072,bfloat16 reconstructed-key emulation
fp16_K16_V16,fp16,,,qasper,51,d95b33cbe3496fb98638b3c3b1a956847b6472aa8d18a5cc,qasper_batch0001_examples51-51,1,3385,3385,16,0.603124774992466,0.5635624378919601,15,1.1699467152357101,0.603124774992466,0.5635624378919601,0.03757082919279734,1.1699467152357101,17019407872,131072,bfloat16 reconstructed-key emulation
fp16_K16_V16,fp16,,,qasper,54,b959a2ca0687fbe1c4f11a6fda00eb9341525f1502c9afc6,qasper_batch0002_examples54-54,1,5608,5608,26,1.0164937004446983,1.1479137986898422,25,2.1698452308773994,1.0164937004446983,1.1479137986898422,0.04591655194759369,2.1698452308773994,17645809664,131072,bfloat16 reconstructed-key emulation
fp16_K16_V16,fp16,,,qasper,75,b1fdb80cd96f455762f4f3be78a4932e7ae5edb2802d9e5c,qasper_batch0003_examples75-75,1,4379,4379,9,0.7933811396360397,0.33093414455652237,8,1.1261640340089798,0.7933811396360397,0.33093414455652237,0.041366768069565296,1.1261640340089798,17291576320,131072,bfloat16 reconstructed-key emulation
fp16_K16_V16,fp16,,,qasper,99,d9c7574b1ed1ebd6eb755e6bbeee3513c9c912771059348c,qasper_batch0004_examples99-99,1,3683,3683,20,0.6573120653629303,0.7344728261232376,19,1.3959139212965965,0.6573120653629303,0.7344728261232376,0.03865646453280198,1.3959139212965965,17101292032,131072,bfloat16 reconstructed-key emulation
fp16_K16_V16,fp16,,,qasper,114,e28df0e3283943b1e011e1dba7a231e35269588b73697ca4,qasper_batch0005_examples114-114,1,10226,10226,3,1.9784879460930824,0.1293051466345787,2,2.1085036173462868,1.9784879460930824,0.1293051466345787,0.06465257331728935,2.1085036173462868,18921016832,131072,bfloat16 reconstructed-key emulation
fp16_K16_V16,fp16,,,qasper,140,755daa298cdf770c8ed19ddf39270f07e077d88a82aaa0dc,qasper_batch0006_examples140-140,1,5644,5644,10,1.0389551743865013,0.41592640429735184,9,1.456930160522461,1.0389551743865013,0.41592640429735184,0.04621404492192798,1.456930160522461,17649814528,131072,bfloat16 reconstructed-key emulation
fp16_K16_V16,fp16,,,qasper,144,0225501ce54ac2c95a557a5691a4322482af24748391e6e9,qasper_batch0007_examples144-144,1,6337,6337,24,1.1696165204048157,1.118975892663002,23,2.293840527534485,1.1696165204048157,1.118975892663002,0.04865112576795661,2.293840527534485,17845661184,131072,bfloat16 reconstructed-key emulation
fp16_K16_V16,fp16,,,qasper,145,34c5eb16ccc55869a263dfda28d028267e29ee243880c9d5,qasper_batch0008_examples145-145,1,7195,7195,24,1.3450752645730972,1.1928412169218063,23,2.543138675391674,1.3450752645730972,1.1928412169218063,0.05186266160529593,2.543138675391674,18080156672,131072,bfloat16 reconstructed-key emulation
fp16_K16_V16,fp16,,,qasper,159,d5e92fcef6747ba1518ae7d8a46ad274b585425b2c889d5b,qasper_batch0009_examples159-159,1,6024,6024,29,1.1127439960837364,1.3294745534658432,28,2.4483733996748924,1.1127439960837364,1.3294745534658432,0.047481234052351544,2.4483733996748924,17756930048,131072,bfloat16 reconstructed-key emulation
