bit_width,method,length_bucket,paired_examples_across_seeds,mean_score
2,random,0-4k,195,48.186181596463435
2,learned,0-4k,195,54.38004877767239
2,random,4-8k,195,37.500062690666596
2,learned,4-8k,195,43.47995556657489
2,random,8k+,195,40.44718293926094
2,learned,8k+,195,46.180410355026815
3,random,0-4k,195,56.155923611285274
3,learned,0-4k,195,57.520340809409426
3,random,4-8k,195,51.69992956544264
3,learned,4-8k,195,52.05504445448276
3,random,8k+,195,52.80396295784606
3,learned,8k+,195,51.6534220348695
4,random,0-4k,195,58.05386380635836
4,learned,0-4k,195,56.47641521270042
4,random,4-8k,195,53.83747141232341
4,learned,4-8k,195,54.044855208493495
4,random,8k+,195,52.077870988185964
4,learned,8k+,195,52.819654371359704
