condition_id,method,bit_width,seed,length_bucket,tasks,examples,macro_average
fp16_K16_V16,fp16,,,0-4k,13,65,61.36144551699405
fp16_K16_V16,fp16,,,4-8k,13,65,55.35792136782071
fp16_K16_V16,fp16,,,8k+,13,65,54.53608723067006
identity_K2_V16,identity,2,,0-4k,13,65,8.352624893519693
identity_K2_V16,identity,2,,4-8k,13,65,3.320774373007623
identity_K2_V16,identity,2,,8k+,13,65,10.011095933195223
random_K2_V16_s17,random,2,17,0-4k,13,65,45.736644315227075
random_K2_V16_s17,random,2,17,4-8k,13,65,37.73572359416786
random_K2_V16_s17,random,2,17,8k+,13,65,41.020841431223026
learned_K2_V16_s17,learned,2,17,0-4k,13,65,55.54409568194577
learned_K2_V16_s17,learned,2,17,4-8k,13,65,42.89246829022151
learned_K2_V16_s17,learned,2,17,8k+,13,65,50.565551926015814
random_K2_V16_s29,random,2,29,0-4k,13,65,46.52648361037912
random_K2_V16_s29,random,2,29,4-8k,13,65,37.623334929600595
random_K2_V16_s29,random,2,29,8k+,13,65,40.34645822761338
learned_K2_V16_s29,learned,2,29,0-4k,13,65,52.21476307007322
learned_K2_V16_s29,learned,2,29,4-8k,13,65,43.525115836464614
learned_K2_V16_s29,learned,2,29,8k+,13,65,45.177396906525196
random_K2_V16_s43,random,2,43,0-4k,13,65,52.295416863784105
random_K2_V16_s43,random,2,43,4-8k,13,65,37.141129548231326
random_K2_V16_s43,random,2,43,8k+,13,65,39.97424915894642
learned_K2_V16_s43,learned,2,43,0-4k,13,65,55.38128758099818
learned_K2_V16_s43,learned,2,43,4-8k,13,65,44.022282573038524
learned_K2_V16_s43,learned,2,43,8k+,13,65,42.79828223253945
identity_K3_V16,identity,3,,0-4k,13,65,15.78111473528315
identity_K3_V16,identity,3,,4-8k,13,65,13.060450242399822
identity_K3_V16,identity,3,,8k+,13,65,12.36812300532657
random_K3_V16_s17,random,3,17,0-4k,13,65,55.050204212877865
random_K3_V16_s17,random,3,17,4-8k,13,65,52.190478326438964
random_K3_V16_s17,random,3,17,8k+,13,65,49.27465845051053
learned_K3_V16_s17,learned,3,17,0-4k,13,65,54.33480643822764
learned_K3_V16_s17,learned,3,17,4-8k,13,65,52.66784592575144
learned_K3_V16_s17,learned,3,17,8k+,13,65,52.71140809246022
random_K3_V16_s29,random,3,29,0-4k,13,65,55.80007620504435
random_K3_V16_s29,random,3,29,4-8k,13,65,53.38046001244774
random_K3_V16_s29,random,3,29,8k+,13,65,56.127905757704575
learned_K3_V16_s29,learned,3,29,0-4k,13,65,62.07326923601311
learned_K3_V16_s29,learned,3,29,4-8k,13,65,52.42602236595087
learned_K3_V16_s29,learned,3,29,8k+,13,65,50.111929231789375
random_K3_V16_s43,random,3,43,0-4k,13,65,57.61749041593361
random_K3_V16_s43,random,3,43,4-8k,13,65,49.5288503574412
random_K3_V16_s43,random,3,43,8k+,13,65,53.00932466532308
learned_K3_V16_s43,learned,3,43,0-4k,13,65,56.15294675398752
learned_K3_V16_s43,learned,3,43,4-8k,13,65,51.07126507174597
learned_K3_V16_s43,learned,3,43,8k+,13,65,52.13692878035892
identity_K4_V16,identity,4,,0-4k,13,65,34.02678421011906
identity_K4_V16,identity,4,,4-8k,13,65,22.59265034965313
identity_K4_V16,identity,4,,8k+,13,65,32.03488594477423
random_K4_V16_s17,random,4,17,0-4k,13,65,57.27310905289418
random_K4_V16_s17,random,4,17,4-8k,13,65,53.3056670912032
random_K4_V16_s17,random,4,17,8k+,13,65,51.95249992547049
learned_K4_V16_s17,learned,4,17,0-4k,13,65,57.43846111711068
learned_K4_V16_s17,learned,4,17,4-8k,13,65,53.342365295563276
learned_K4_V16_s17,learned,4,17,8k+,13,65,50.09187016923324
random_K4_V16_s29,random,4,29,0-4k,13,65,57.28061563937811
random_K4_V16_s29,random,4,29,4-8k,13,65,55.54511325033468
random_K4_V16_s29,random,4,29,8k+,13,65,52.79167900628753
learned_K4_V16_s29,learned,4,29,0-4k,13,65,57.316933627213345
learned_K4_V16_s29,learned,4,29,4-8k,13,65,53.43368821819862
learned_K4_V16_s29,learned,4,29,8k+,13,65,53.440988194005556
random_K4_V16_s43,random,4,43,0-4k,13,65,59.60786672680281
random_K4_V16_s43,random,4,43,4-8k,13,65,52.66163389543237
random_K4_V16_s43,random,4,43,8k+,13,65,51.48943403279985
learned_K4_V16_s43,learned,4,43,0-4k,13,65,54.673850893777235
learned_K4_V16_s43,learned,4,43,4-8k,13,65,55.35851211171857
learned_K4_V16_s43,learned,4,43,8k+,13,65,54.92610475084034
