bit_width,seed,task,category,example_index,example_id,dataset_length,length_bucket,random_score,learned_score,difference
2,17,qasper,Single QA,7,1bd9a082bd7b5ab6c152dbda3db38c0c3bc92cddf82383a3,2720,0-4k,30.0,78.57142857142857,48.57142857142857
2,17,qasper,Single QA,51,d95b33cbe3496fb98638b3c3b1a956847b6472aa8d18a5cc,2393,0-4k,0.0,44.44444444444445,44.44444444444445
2,17,qasper,Single QA,54,b959a2ca0687fbe1c4f11a6fda00eb9341525f1502c9afc6,3566,0-4k,0.0,66.66666666666666,66.66666666666666
2,17,qasper,Single QA,75,b1fdb80cd96f455762f4f3be78a4932e7ae5edb2802d9e5c,3244,0-4k,0.0,100.0,100.0
2,17,qasper,Single QA,99,d9c7574b1ed1ebd6eb755e6bbeee3513c9c912771059348c,2533,0-4k,0.0,0.0,0.0
2,17,qasper,Single QA,114,e28df0e3283943b1e011e1dba7a231e35269588b73697ca4,7837,4-8k,0.0,0.0,0.0
2,17,qasper,Single QA,140,755daa298cdf770c8ed19ddf39270f07e077d88a82aaa0dc,4263,4-8k,0.0,0.0,0.0
2,17,qasper,Single QA,144,0225501ce54ac2c95a557a5691a4322482af24748391e6e9,4104,4-8k,0.0,14.814814814814813,14.814814814814813
2,17,qasper,Single QA,145,34c5eb16ccc55869a263dfda28d028267e29ee243880c9d5,5136,4-8k,0.0,25.0,25.0
2,17,qasper,Single QA,159,d5e92fcef6747ba1518ae7d8a46ad274b585425b2c889d5b,4738,4-8k,29.268292682926834,90.9090909090909,61.64079822616407
2,17,qasper,Single QA,209,074b526f101518a8f5c810fed1e28f757dacb7805b161e22,14472,8k+,0.0,92.3076923076923,92.3076923076923
2,17,qasper,Single QA,212,21fc5caf7a80aa10b3d9e86ca96d466edb09ae8961c22c85,12952,8k+,100.0,100.0,0.0
2,17,qasper,Single QA,217,3a92f5b9ebedea5d5efd1f4af956b59b4e0ae6ee33db136f,8555,8k+,5.0,0.0,-5.0
2,17,qasper,Single QA,221,1bb7cd04a893fe2a5497bdf7d0dcb064da2ef56144b44bdd,14722,8k+,2.4096385542168672,35.416666666666664,33.007028112449795
2,17,qasper,Single QA,223,6fd8cd7777d0b6f36ccdfc044d9b5056e519fd11feb2a750,14660,8k+,0.0,78.57142857142857,78.57142857142857
2,17,multifieldqa_en,Single QA,11,94ccf4d54b36e7e9d4aa594a7bc426528630a5b8aff296a4,3422,0-4k,100.0,100.0,0.0
2,17,multifieldqa_en,Single QA,38,235a5c99cd7fae9e2b410ad99c1b1fafea43799d3f1138a8,1810,0-4k,46.15384615384615,46.15384615384615,0.0
2,17,multifieldqa_en,Single QA,44,ec016e90ac78727f3c4aa176db472724bda53c07cb8cb696,682,0-4k,0.0,15.384615384615383,15.384615384615383
2,17,multifieldqa_en,Single QA,45,4c9131da4fb2a9dbc8dadce39d20bdc302a092b5740c414a,1860,0-4k,0.0,0.0,0.0
2,17,multifieldqa_en,Single QA,53,6caa98612cf0e2ddf58e1ba70daaf79a3ac616280fb48188,2947,0-4k,0.0,0.0,0.0
2,17,multifieldqa_en,Single QA,89,566881d2138d7e29cd6dd2b661b6f7ffe4c515c92fdaf837,5523,4-8k,10.0,10.0,0.0
2,17,multifieldqa_en,Single QA,90,d427e3ab7584a0e253bfb6a9d76626b726c79b57d5e39f2a,6102,4-8k,17.391304347826086,17.77777777777778,0.38647342995169254
2,17,multifieldqa_en,Single QA,119,f9b9a553107eed5b994a9aaf07e8ccac487feaa8ff108ec6,5917,4-8k,80.0,73.33333333333334,-6.666666666666657
2,17,multifieldqa_en,Single QA,129,df53ff06fbc99dbae6bfe13a946420321d4542480eeb56f3,6101,4-8k,46.15384615384615,66.66666666666667,20.512820512820518
2,17,multifieldqa_en,Single QA,134,c60792f391b389a1c44b0a8f62f4a792d9ed82286b1b7f95,6706,4-8k,20.689655172413794,26.666666666666668,5.977011494252874
2,17,multifieldqa_en,Single QA,137,a9f124fabc341d61e359af8e8badf79dd63a97896c28842e,9607,8k+,31.11111111111111,29.50819672131148,-1.6029143897996292
2,17,multifieldqa_en,Single QA,138,bda4a6b251a601b7f7f956f298b59d8e99993845c1eaf7d6,8281,8k+,58.82352941176471,50.000000000000014,-8.823529411764696
2,17,multifieldqa_en,Single QA,141,110688fd7522324ef26cbf3ec4f4b7ab29aa0b687aa1ade5,8366,8k+,78.7878787878788,42.5531914893617,-36.234687298517095
2,17,multifieldqa_en,Single QA,144,46a2207a7a3f6d98effa73491cf83b63f92e29e0023c6e52,9437,8k+,72.72727272727273,37.5,-35.227272727272734
2,17,multifieldqa_en,Single QA,147,25d54c0a145838996b56def82126f35b3fabe3e100d10fc0,10003,8k+,0.0,14.634146341463417,14.634146341463417
2,17,hotpotqa,Multi QA,0,1dae9ec530a93f43f85bd215a5c0e6737dbcf226cd3541d8,3745,0-4k,0.0,0.0,0.0
2,17,hotpotqa,Multi QA,31,f349d7bdea5f38b858c69ddae4698a287f9d201869c14919,1541,0-4k,0.0,0.0,0.0
2,17,hotpotqa,Multi QA,61,406311f7ab0d87c7aa2a4886827e640bc0848e8206f816c2,2519,0-4k,66.66666666666666,66.66666666666666,0.0
2,17,hotpotqa,Multi QA,73,8333f3e9e6703387546f30d78b61e07f326a7ea0aecdf557,2202,0-4k,0.0,0.0,0.0
2,17,hotpotqa,Multi QA,96,ad3b0ce8a9aaed70ba9db2fdae6d812ae61d39b7cb409376,3730,0-4k,100.0,100.0,0.0
2,17,hotpotqa,Multi QA,102,515a5cbf646c2891fde47be6b8fa3442571938d8dac8827a,6860,4-8k,100.0,100.0,0.0
2,17,hotpotqa,Multi QA,118,4beefe473acde45f1accb31e6f45cff16e0a8b47eefd032e,5913,4-8k,0.0,0.0,0.0
2,17,hotpotqa,Multi QA,126,a96ab885a132aad0f22735dad044516f01929c6be656b11a,7110,4-8k,0.0,0.0,0.0
2,17,hotpotqa,Multi QA,169,c18c76f9efb43dc4d15ce54891af6a60178be55f1eec2656,7002,4-8k,80.0,0.0,-80.0
2,17,hotpotqa,Multi QA,173,74f2fce3240dd7e91f9522b9cbb9e10f43f16fdb0c22e7fa,6333,4-8k,40.0,40.0,0.0
2,17,hotpotqa,Multi QA,213,ce41e73398410371a755f618a953a68b14f75b8f2e8a62cc,11543,8k+,0.0,22.222222222222225,22.222222222222225
2,17,hotpotqa,Multi QA,217,7cdceb45cfb9439bd41148788e5cf2f0e8a5cb99a0e09729,9019,8k+,100.0,100.0,0.0
2,17,hotpotqa,Multi QA,222,82a1a48996ef392d6abe74ea1d2b0a807c0f4d859c4026ac,9314,8k+,50.0,0.0,-50.0
2,17,hotpotqa,Multi QA,227,192e872cf190ea4e64fd401a32a3ea0426dc488afe3702ad,10290,8k+,0.0,100.0,100.0
2,17,hotpotqa,Multi QA,242,ecde9842060b9101fa9edceed35332413b01be43d4940652,11497,8k+,0.0,0.0,0.0
2,17,2wikimqa,Multi QA,21,0bc3341fffaad3e92d14d64b539df741528ef4e2b76e9632,1529,0-4k,29.629629629629633,100.0,70.37037037037037
2,17,2wikimqa,Multi QA,60,37eb33998e8bd7ffe40969ac3161ad695983fcf651dac639,2859,0-4k,100.0,100.0,0.0
2,17,2wikimqa,Multi QA,65,d7159102f8034cb0ad4834df59b0734f052a63c3a1d0f0bb,3621,0-4k,0.0,0.0,0.0
2,17,2wikimqa,Multi QA,80,9a74e9b9111e3d13efa2b9b43c522354f7d5f3dae6ca5e96,2753,0-4k,0.0,0.0,0.0
2,17,2wikimqa,Multi QA,89,f479830ec67206a7edd48ae2ac6f8fc1f639da89caf1a0d2,1405,0-4k,100.0,100.0,0.0
2,17,2wikimqa,Multi QA,129,d64ce42f72497e502a412d395566e55a3793d05b35004cb4,6417,4-8k,0.0,100.0,100.0
2,17,2wikimqa,Multi QA,130,fe284936ae55063527821e9ee610ae67958789167aa4ba1a,5421,4-8k,0.0,0.0,0.0
2,17,2wikimqa,Multi QA,131,d524ca109e5ac6284dec16931f2403ef7859225cfde19e9e,5848,4-8k,0.0,0.0,0.0
2,17,2wikimqa,Multi QA,162,78877dc3800b31f7831cf2f941219ee29493e35b53b059a1,4421,4-8k,0.0,0.0,0.0
2,17,2wikimqa,Multi QA,186,7022cbda00a72169cc470d7879da58fc0673ff175aa1f19f,7764,4-8k,100.0,100.0,0.0
2,17,2wikimqa,Multi QA,207,3a4153b2cd645e567d268c92fc153be937caefb93ac238df,8135,8k+,0.0,0.0,0.0
2,17,2wikimqa,Multi QA,245,4ced3912f614aca56f95eb0431c22e53c24c05717bf75f62,10959,8k+,0.0,0.0,0.0
2,17,2wikimqa,Multi QA,261,e367499fba5b229051bc79021a1ad30bbd066b1f89c277f6,8053,8k+,0.0,100.0,100.0
2,17,2wikimqa,Multi QA,264,3809f116856e090121b8d2d54cb0416076a8916013f06997,10696,8k+,7.999999999999999,0.0,-7.999999999999999
2,17,2wikimqa,Multi QA,265,ee5c0b8fe31f40bbf2579439858229041ea769a46d82f49b,8703,8k+,0.0,0.0,0.0
2,17,gov_report,Summarization,54,a3a11ee5de13be1f6ab405e8e1b29f2cd07929fe9112561a,3679,0-4k,29.445506243140585,25.56700989860772,-3.8784963445328664
2,17,gov_report,Summarization,56,a52b972a6051b61f61eefad3a6358e3f4f89c1a6872dd5a9,2999,0-4k,32.94663531141629,31.509846378867035,-1.436788932549252
2,17,gov_report,Summarization,57,5a1f14be3b3a06a0573d307579eda8216fb13f3e418abe97,2790,0-4k,36.97916623503961,31.4214459326248,-5.557720302414808
2,17,gov_report,Summarization,73,13416da54e1ad4f7681a4e30e66a3973ed3f812bf2af6f7a,1799,0-4k,34.68634637001131,30.76923026928111,-3.9171161007301976
2,17,gov_report,Summarization,76,cd96d8a3dbb09bac127d9aa3bb5c62856940380d8722160e,2961,0-4k,38.834950990668304,29.799426440998023,-9.035524549670281
2,17,gov_report,Summarization,112,357977aac62ac12b4958584d44cddcdeeb3c3b2835ed1358,7426,4-8k,23.936169854232688,26.562499625,2.626329770767313
2,17,gov_report,Summarization,144,24581c7640a62446ef310e19c657fde28f428e2cdde9927c,4743,4-8k,30.843373095497167,34.94252830932488,4.099155213827711
2,17,gov_report,Summarization,175,925cc92d4d68438d5beff9441c206f98fbf1adf8c3a2319c,4349,4-8k,36.44646878503121,33.71824434536427,-2.7282244396669384
2,17,gov_report,Summarization,182,380b8a11402167f3806aee3eca9dbd8feae82a13a1e009d8,5455,4-8k,33.746897802338545,31.202045586907467,-2.544852215431078
2,17,gov_report,Summarization,194,1345903bbe6b1a4bc816f5b2431912f0377f2e1c188ad933,6790,4-8k,28.84012497361465,27.345844024236506,-1.494280949378144
2,17,gov_report,Summarization,208,3cd2e850cddd4722470f29c62dd23ec7e5740d89575b4128,8253,8k+,29.49308717690969,24.999999559800354,-4.493087617109335
