condition_id,method,bit_width,seed,task,category,examples,mean_score,official_score_rounded,population_stddev
fp16_K16_V16,fp16,,,qasper,Single QA,1,96.00000000000001,96.0,0.0
fp16_K16_V16,fp16,,,multifieldqa_en,Single QA,1,100.0,100.0,0.0
fp16_K16_V16,fp16,,,hotpotqa,Multi QA,1,66.66666666666666,66.67,0.0
fp16_K16_V16,fp16,,,2wikimqa,Multi QA,1,0.0,0.0,0.0
fp16_K16_V16,fp16,,,gov_report,Summarization,1,28.985506777626817,28.99,0.0
fp16_K16_V16,fp16,,,multi_news,Summarization,1,23.419203248786545,23.42,0.0
fp16_K16_V16,fp16,,,trec,Few-shot,1,0.0,0.0,0.0
fp16_K16_V16,fp16,,,triviaqa,Few-shot,1,100.0,100.0,0.0
fp16_K16_V16,fp16,,,samsum,Few-shot,1,49.99999950086805,50.0,0.0
fp16_K16_V16,fp16,,,passage_count,Synthetic,1,0.0,0.0,0.0
fp16_K16_V16,fp16,,,passage_retrieval_en,Synthetic,1,100.0,100.0,0.0
fp16_K16_V16,fp16,,,lcc,Code,1,64.0,64.0,0.0
fp16_K16_V16,fp16,,,repobench-p,Code,1,74.0,74.0,0.0
