condition_id,method,bit_width,seed,task,category,examples,mean_score,official_score_rounded,population_stddev
random_K2_V16_s43,random,2,43,qasper,Single QA,1,0.0,0.0,0.0
random_K2_V16_s43,random,2,43,multifieldqa_en,Single QA,1,100.0,100.0,0.0
random_K2_V16_s43,random,2,43,hotpotqa,Multi QA,1,66.66666666666666,66.67,0.0
random_K2_V16_s43,random,2,43,2wikimqa,Multi QA,1,100.0,100.0,0.0
random_K2_V16_s43,random,2,43,gov_report,Summarization,1,30.919764727693295,30.92,0.0
random_K2_V16_s43,random,2,43,multi_news,Summarization,1,21.874999501098642,21.87,0.0
random_K2_V16_s43,random,2,43,trec,Few-shot,1,0.0,0.0,0.0
random_K2_V16_s43,random,2,43,triviaqa,Few-shot,1,100.0,100.0,0.0
random_K2_V16_s43,random,2,43,samsum,Few-shot,1,48.888888395061734,48.89,0.0
random_K2_V16_s43,random,2,43,passage_count,Synthetic,1,0.0,0.0,0.0
random_K2_V16_s43,random,2,43,passage_retrieval_en,Synthetic,1,100.0,100.0,0.0
random_K2_V16_s43,random,2,43,lcc,Code,1,39.0,39.0,0.0
random_K2_V16_s43,random,2,43,repobench-p,Code,1,0.0,0.0,0.0
