condition_id,method,bit_width,seed,task,example_index,example_id,batch_id,batch_size,batch_padded_prompt_tokens,prompt_tokens,generated_tokens,batch_prefill_seconds,batch_decode_seconds,batch_decode_steps,batch_total_seconds,prefill_seconds,decode_seconds,decode_seconds_per_token,total_seconds,peak_gpu_memory_bytes,theoretical_kv_bytes_per_token,actual_cache_dtype
random_K3_V16_s17,random,3,17,qasper,7,1bd9a082bd7b5ab6c152dbda3db38c0c3bc92cddf82383a3,qasper_batch0000_examples7-7,1,3606,3606,21,0.9626112431287766,0.8328339383006096,20,1.8144625127315521,0.9626112431287766,0.8328339383006096,0.04164169691503048,1.8144625127315521,17102827008,78848,bfloat16 reconstructed-key emulation
random_K3_V16_s17,random,3,17,multifieldqa_en,11,94ccf4d54b36e7e9d4aa594a7bc426528630a5b8aff296a4,multifieldqa_en_batch0000_examples11-11,1,4473,4473,4,0.8289434388279915,0.13228197395801544,3,0.9619845673441887,0.8289434388279915,0.13228197395801544,0.04409399131933848,0.9619845673441887,17333144576,78848,bfloat16 reconstructed-key emulation
random_K3_V16_s17,random,3,17,hotpotqa,0,1dae9ec530a93f43f85bd215a5c0e6737dbcf226cd3541d8,hotpotqa_batch0000_examples0-0,1,6122,6122,5,1.1605922058224678,0.20140351355075836,4,1.3630362823605537,1.1605922058224678,0.20140351355075836,0.05035087838768959,1.3630362823605537,17793822720,78848,bfloat16 reconstructed-key emulation
random_K3_V16_s17,random,3,17,2wikimqa,21,0bc3341fffaad3e92d14d64b539df741528ef4e2b76e9632,2wikimqa_batch0000_examples21-21,1,2343,2343,7,0.43597841262817383,0.22006391733884811,6,0.6573959589004517,0.43597841262817383,0.22006391733884811,0.036677319556474686,0.6573959589004517,16740664832,78848,bfloat16 reconstructed-key emulation
random_K3_V16_s17,random,3,17,gov_report,54,a3a11ee5de13be1f6ab405e8e1b29f2cd07929fe9112561a,gov_report_batch0000_examples54-54,1,3962,3962,483,0.7251262366771698,20.45058660209179,482,21.282125249505043,0.7251262366771698,20.45058660209179,0.04242860290890413,21.282125249505043,17324223488,78848,bfloat16 reconstructed-key emulation
random_K3_V16_s17,random,3,17,multi_news,0,3cfe6d5139ea2e17d17b9c8d040c015c3db4936578091cf6,multi_news_batch0000_examples0-0,1,1010,1010,461,0.19257012009620667,16.637841068208218,460,16.928567372262478,0.19257012009620667,16.637841068208218,0.036169219713496126,16.928567372262478,16497592320,78848,bfloat16 reconstructed-key emulation
random_K3_V16_s17,random,3,17,trec,49,7dfc677d5d152f68d56844b67c26eae5ade79afb3e99f801,trec_batch0000_examples49-49,1,4917,4917,64,0.9220631569623947,2.850228041410446,63,3.7852828800678253,0.9220631569623947,2.850228041410446,0.045241714943022954,3.7852828800678253,17476132864,78848,bfloat16 reconstructed-key emulation
random_K3_V16_s17,random,3,17,triviaqa,25,37a77de08c5dc62fc4b4d08ab6066e178e82d32387ce084f,triviaqa_batch0000_examples25-25,1,4393,4393,32,0.8252727836370468,1.3396724537014961,31,2.1713842377066612,0.8252727836370468,1.3396724537014961,0.04321524044198374,2.1713842377066612,17318660096,78848,bfloat16 reconstructed-key emulation
random_K3_V16_s17,random,3,17,samsum,19,0bf52d18ccff2e111ad516892321685343c9dac7140bdef0,samsum_batch0000_examples19-19,1,5127,5127,128,0.974960945546627,5.8658889308571815,127,6.868662536144257,0.974960945546627,5.8658889308571815,0.04618810181777308,6.868662536144257,17552607744,78848,bfloat16 reconstructed-key emulation
random_K3_V16_s17,random,3,17,passage_count,22,288f4e37f101d146d77c62f996e4e9570b2771c27bc81979,passage_count_batch0000_examples22-22,1,3258,3258,2,0.6019288673996925,0.040382109582424164,1,0.6426274329423904,0.6019288673996925,0.040382109582424164,0.040382109582424164,0.6426274329423904,16995678720,78848,bfloat16 reconstructed-key emulation
random_K3_V16_s17,random,3,17,passage_retrieval_en,0,f363b5cfe63d7095514d7273aaa2e31dbfa73f10a71fd7d8,passage_retrieval_en_batch0000_examples0-0,1,4596,4596,4,0.8528099060058594,0.13366543501615524,3,0.9872036352753639,0.8528099060058594,0.13366543501615524,0.04455514500538508,0.9872036352753639,17367406592,78848,bfloat16 reconstructed-key emulation
random_K3_V16_s17,random,3,17,lcc,42,94f103d8d6177a4ab0d0ed90f9dbd86d375978f8e3f81181,lcc_batch0000_examples42-42,1,2180,2180,64,0.4089049994945526,2.2734858319163322,63,2.6952422112226486,0.4089049994945526,2.2734858319163322,0.036087076697084636,2.6952422112226486,16711138304,78848,bfloat16 reconstructed-key emulation
random_K3_V16_s17,random,3,17,repobench-p,1,4d2668d05f3f636a1bb6b0389a03b382f3f3e06b19dec51d,repobench-p_batch0000_examples1-1,1,6470,6470,64,1.232798732817173,3.222209170460701,63,4.468244291841984,1.232798732817173,3.222209170460701,0.05114617730890002,4.468244291841984,17906126336,78848,bfloat16 reconstructed-key emulation
