condition_id,method,bit_width,seed,examples,prompt_tokens,generated_tokens,prefill_seconds,decode_seconds,decode_seconds_per_token,total_seconds,peak_gpu_memory_bytes,theoretical_kv_bytes_per_token,empty_outputs
fp16_K16_V16,fp16,,,195,1854926,19547,534.3793782070278,1045.0461278334255,0.05400197022702695,1581.9389877766373,27858869760,131072,0
identity_K2_V16,identity,2,,195,1854926,24184,547.776313498616,1331.0639745071533,0.05548643021831478,1881.953524932267,27858702336,74752,0
random_K2_V16_s17,random,2,17,195,1854926,19837,547.119455970824,1074.929158873856,0.05472605431594828,1624.423576824367,27875635200,74752,0
learned_K2_V16_s17,learned,2,17,195,1854926,19637,547.7906015366314,1054.8187186494465,0.05425464039962177,1604.9357574060555,27875635200,74752,0
random_K2_V16_s29,random,2,29,195,1854926,20145,547.1461918875577,1104.5436250567432,0.05536559524093951,1654.1553353369231,27875635200,74752,0
learned_K2_V16_s29,learned,2,29,195,1854926,19597,547.1409927681088,1057.1731493026027,0.05448784400075264,1606.9823313057423,27875635200,74752,0
random_K2_V16_s43,random,2,43,195,1854926,19686,547.1305995509031,1062.8495360612865,0.05453027223135224,1612.3974985629325,27875635200,74752,0
learned_K2_V16_s43,learned,2,43,195,1854926,20391,547.1416881978516,1094.9129609689126,0.05421434744349934,1644.3938678726558,27875635200,74752,0
identity_K3_V16,identity,3,,195,1854926,21259,547.3284748345613,1142.1207015216357,0.054221453737259576,1692.1733574122188,27858702336,78848,0
random_K3_V16_s17,random,3,17,195,1854926,19431,547.2839418873193,1060.591954544187,0.05513578470285855,1610.2346785962575,27875635200,78848,0
learned_K3_V16_s17,learned,3,17,195,1854926,19421,547.2815667241812,1044.7843286246052,0.05434226196944789,1594.4210974127052,27875635200,78848,0
random_K3_V16_s29,random,3,29,195,1854926,19321,547.2626550346615,1056.6393842101097,0.05524622943689792,1606.2694649994367,27875635200,78848,0
learned_K3_V16_s29,learned,3,29,195,1854926,19594,547.2678815573455,1067.1637822538617,0.05501127801710715,1616.8157634660602,27875635200,78848,0
random_K3_V16_s43,random,3,43,195,1854926,18966,547.6175819635391,1032.8700380101795,0.05502477428001596,1582.9424203485237,27875635200,78848,0
learned_K3_V16_s43,learned,3,43,195,1854926,19727,547.293008118868,1063.6877686977389,0.0544587225423786,1613.7160750404003,27875635200,78848,0
identity_K4_V16,identity,4,,195,1854926,22298,547.4711788892741,1244.02066089958,0.056282887431551375,1794.9542779773474,27858956288,82944,0
random_K4_V16_s17,random,4,17,195,1854926,19176,547.6351488009096,1036.453260876238,0.05460477640146662,1586.822608023881,27875635200,82944,0
learned_K4_V16_s17,learned,4,17,195,1854926,19080,547.4532281830905,1032.8558600544925,0.05469186444556487,1582.9457611143594,27875635200,82944,0
random_K4_V16_s29,random,4,29,195,1854926,19653,547.4890926629304,1053.2483458816996,0.05412932191806453,1603.567145824432,27875635200,82944,0
learned_K4_V16_s29,learned,4,29,195,1854926,19449,547.4346664398913,1060.7632578387856,0.05509313689824377,1611.006708607077,27875635200,82944,0
random_K4_V16_s43,random,4,43,195,1854926,19617,547.4119345024227,1068.7096345871691,0.05502572518727058,1619.1474038362496,27875635200,82944,0
learned_K4_V16_s43,learned,4,43,195,1854926,19597,547.9456748366354,1063.4756878092885,0.05481268363103229,1614.2541917264464,27875635200,82944,0
