condition_id,method,bit_width,seed,task,category,examples,mean_score,official_score_rounded,population_stddev
fp16_K16_V16,fp16,,,qasper,Single QA,15,65.28816067737637,65.29,37.274460309157675
fp16_K16_V16,fp16,,,multifieldqa_en,Single QA,15,40.749962740117766,40.75,28.051115762715092
fp16_K16_V16,fp16,,,hotpotqa,Multi QA,15,60.222222222222214,60.22,39.781191659835216
fp16_K16_V16,fp16,,,2wikimqa,Multi QA,15,46.666666666666664,46.67,49.88876515698588
fp16_K16_V16,fp16,,,gov_report,Summarization,15,33.864934099462864,33.86,2.5863834441545706
fp16_K16_V16,fp16,,,multi_news,Summarization,15,22.937774251531778,22.94,4.435705583456383
fp16_K16_V16,fp16,,,trec,Few-shot,15,73.33333333333333,73.33,44.22166387140533
fp16_K16_V16,fp16,,,triviaqa,Few-shot,15,94.60317460317461,94.6,16.756372343360823
fp16_K16_V16,fp16,,,samsum,Few-shot,15,51.84073923988196,51.84,18.24198615388403
fp16_K16_V16,fp16,,,passage_count,Synthetic,15,20.0,20.0,40.0
fp16_K16_V16,fp16,,,passage_retrieval_en,Synthetic,15,93.33333333333333,93.33,24.94438257849294
fp16_K16_V16,fp16,,,lcc,Code,15,72.53333333333333,72.53,30.335604310593336
fp16_K16_V16,fp16,,,repobench-p,Code,15,66.73333333333333,66.73,28.20748521620143
identity_K2_V16,identity,2,,qasper,Single QA,15,1.3240186679429158,1.32,1.5045288356453466
identity_K2_V16,identity,2,,multifieldqa_en,Single QA,15,4.151688553709743,4.15,7.178513159161392
identity_K2_V16,identity,2,,hotpotqa,Multi QA,15,1.2350877192982457,1.24,3.1824696802358052
identity_K2_V16,identity,2,,2wikimqa,Multi QA,15,2.587782587782588,2.59,5.4423583707892345
identity_K2_V16,identity,2,,gov_report,Summarization,15,1.8612738296788593,1.86,2.9877883246848698
identity_K2_V16,identity,2,,multi_news,Summarization,15,1.2573438185263373,1.26,1.9239054911511793
identity_K2_V16,identity,2,,trec,Few-shot,15,20.0,20.0,40.0
identity_K2_V16,identity,2,,triviaqa,Few-shot,15,0.579710144927536,0.58,2.1690767459559073
identity_K2_V16,identity,2,,samsum,Few-shot,15,3.5025738769314474,3.5,6.321285405597013
identity_K2_V16,identity,2,,passage_count,Synthetic,15,12.0,12.0,24.819347291981714
identity_K2_V16,identity,2,,passage_retrieval_en,Synthetic,15,0.0,0.0,0.0
identity_K2_V16,identity,2,,lcc,Code,15,21.333333333333332,21.33,16.72788756006634
identity_K2_V16,identity,2,,repobench-p,Code,15,24.133333333333333,24.13,17.79837695471759
random_K2_V16_s17,random,2,17,qasper,Single QA,15,11.111862082476247,11.11,25.736274180535972
random_K2_V16_s17,random,2,17,multifieldqa_en,Single QA,15,37.455896257730636,37.46,33.036955822104176
random_K2_V16_s17,random,2,17,hotpotqa,Multi QA,15,35.77777777777778,35.78,41.42761052221389
random_K2_V16_s17,random,2,17,2wikimqa,Multi QA,15,22.50864197530864,22.51,39.448135146797185
random_K2_V16_s17,random,2,17,gov_report,Summarization,15,31.936584279987297,31.94,4.139923358127033
random_K2_V16_s17,random,2,17,multi_news,Summarization,15,21.698879577612782,21.7,3.8534531759254866
random_K2_V16_s17,random,2,17,trec,Few-shot,15,66.66666666666667,66.67,47.14045207910317
random_K2_V16_s17,random,2,17,triviaqa,Few-shot,15,95.55555555555556,95.56,16.62958838566196
random_K2_V16_s17,random,2,17,samsum,Few-shot,15,45.62537630289556,45.63,18.01473855717716
random_K2_V16_s17,random,2,17,passage_count,Synthetic,15,0.0,0.0,0.0
random_K2_V16_s17,random,2,17,passage_retrieval_en,Synthetic,15,73.33333333333333,73.33,44.22166387140533
random_K2_V16_s17,random,2,17,lcc,Code,15,51.266666666666666,51.27,26.579357069391694
random_K2_V16_s17,random,2,17,repobench-p,Code,15,46.53333333333333,46.53,25.27941630831078
learned_K2_V16_s17,learned,2,17,qasper,Single QA,15,48.44681553014887,48.45,38.681843046068224
learned_K2_V16_s17,learned,2,17,multifieldqa_en,Single QA,15,35.34522936900284,35.35,27.542553806768154
