condition_id,method,bit_width,seed,rotation_forward_latency_ms,rotation_forward_microseconds_per_vector,codec_latency_ms,codec_microseconds_per_vector,latency_vectors,rotation_storage_bytes_fp32
identity_b2_snone,identity,2,,0.33651702105998993,0.0051348422402952565,1.441458985209465,0.021994918597556534,65536,0
random_b2_s17,random,2,17,0.3379452973604202,0.00515663600708649,1.4449618756771088,0.022048368464311352,65536,16777216
learned_b2_s17,learned,2,17,0.3380138427019119,0.005157681925993529,1.445302739739418,0.022053569637137116,65536,16777216
random_b2_s29,random,2,29,0.3379151225090027,0.005156175575393718,1.4440782368183136,0.02203488520535757,65536,16777216
learned_b2_s29,learned,2,29,0.338594987988472,0.005166549499335815,1.4449741691350937,0.022048556047593593,65536,16777216
random_b2_s43,random,2,43,0.337870791554451,0.005155499138709274,1.444193348288536,0.022036641667000367,65536,16777216
learned_b2_s43,learned,2,43,0.33781789243221283,0.005154691962161451,1.4445442706346512,0.022041996317057055,65536,16777216
identity_b3_snone,identity,3,,0.3361586481332779,0.005129373903400847,1.459968090057373,0.02227734512416646,65536,0
random_b3_s17,random,3,17,0.3378145396709442,0.005154640803084476,1.4625795185565948,0.022317192360787885,65536,16777216
learned_b3_s17,learned,3,17,0.33791400492191315,0.0051561585223680595,1.4620833098888397,0.022309620817395626,65536,16777216
random_b3_s29,random,3,29,0.3375530242919922,0.005150650395080447,1.461108773946762,0.022294750579021638,65536,16777216
learned_b3_s29,learned,3,29,0.33777207136154175,0.005153992788109463,1.4637984335422516,0.02233579152743914,65536,16777216
random_b3_s43,random,3,43,0.3382489085197449,0.005161268745723646,1.461828127503395,0.02230572704320366,65536,16777216
learned_b3_s43,learned,3,43,0.33806338906288147,0.005158437943464378,1.4620337635278702,0.022308864799924777,65536,16777216
identity_b4_snone,identity,4,,0.33596940338611603,0.005126486257722718,1.4882288873195648,0.02270857066832832,65536,0
random_b4_s17,random,4,17,0.3379274159669876,0.005156363158675958,1.4861639589071274,0.022677062361253775,65536,16777216
learned_b4_s17,learned,4,17,0.33846795558929443,0.005164611138752662,1.4856256544589996,0.022668848487228388,65536,16777216
random_b4_s29,random,4,29,0.3381311893463135,0.005159472493687645,1.486198976635933,0.022677596689391066,65536,16777216
learned_b4_s29,learned,4,29,0.3383256494998932,0.005162439720152179,1.4859292656183243,0.022673481225865544,65536,16777216
random_b4_s43,random,4,43,0.3383226692676544,0.00516239424541709,1.4856290072202682,0.022668899646305363,65536,16777216
learned_b4_s43,learned,4,43,0.33814162015914917,0.005159631655260455,1.487131044268608,0.02269181891279004,65536,16777216
