condition_id,method,bit_width,seed,dataset,metric_scope,sequence_length,normalized_key_mse,original_key_mse,original_key_relative_mse,mean_key_cosine,worst_head_normalized_mse,worst_layer,worst_head,vectors_per_head,attention_logit_mse,attention_logit_bias,attention_logit_error_variance,attention_probability_kl,attention_output_mse,worst_attention_kl,worst_attention_layer
identity_b2_snone,identity,2,,wikitext,reconstruction,1024,0.0019087451627797236,1.0782513941812795,0.24860933967259757,0.8709236634895205,0.003880873613525182,29,6,1024,,,,,,,
identity_b2_snone,identity,2,,wikitext,attention,128,,,,,,,,,9.579596733862115,2.6118292154729827,2.7579448830638977,1.7215433062519878,0.023248421190146473,2.6634573936462402,28
identity_b2_snone,identity,2,,wikitext,attention,256,,,,,,,,,10.16528682857172,2.7244064199959257,2.7428964872567034,1.8079826415050775,0.021481879583348018,2.746171236038208,28
identity_b2_snone,identity,2,,wikitext,attention,512,,,,,,,,,11.788653122751336,2.955525122306965,3.053524374163734,1.9174615377560258,0.02010444304121961,2.867900848388672,28
identity_b2_snone,identity,2,,wikitext,attention,1024,,,,,,,,,12.877184630603326,3.0933008276543967,3.3086746202359496,1.948610547464341,0.018554863370866315,2.955221176147461,28
identity_b2_snone,identity,2,,tinystories,reconstruction,1024,0.0019755179228582165,1.226679295359645,0.25807076382976546,0.866344092937652,0.003912217041943222,29,6,1024,,,,,,,
identity_b2_snone,identity,2,,tinystories,attention,128,,,,,,,,,8.633461527122083,2.37760821007943,2.9804407264849733,1.443723274860531,0.020837794934379872,2.423177719116211,28
identity_b2_snone,identity,2,,tinystories,attention,256,,,,,,,,,10.236162222776896,2.6452327483127087,3.2389059300308896,1.6379935836885124,0.02002699838931221,2.720961093902588,28
identity_b2_snone,identity,2,,tinystories,attention,512,,,,,,,,,11.871182703832437,2.8941932828338057,3.4948279454321156,1.7485639883670956,0.019402534209177702,2.8965044021606445,28
identity_b2_snone,identity,2,,tinystories,attention,1024,,,,,,,,,13.964680938720702,3.1974711625750474,3.740859103221677,1.8779215584509075,0.019212502939467413,3.1142852306365967,28
random_b2_s17,random,2,17,wikitext,reconstruction,1024,0.0009050711748841422,0.5031126448739087,0.11600124340020829,0.940675527555868,0.0011335376184433699,6,2,1024,,,,,,,
random_b2_s17,random,2,17,wikitext,attention,128,,,,,,,,,0.9144851126412089,0.4822937761859376,0.6818778260935177,0.09846119908615947,0.0014843023762978191,0.1759980469942093,31
random_b2_s17,random,2,17,wikitext,attention,256,,,,,,,,,1.0578683860571003,0.5742083465542774,0.7281531608045031,0.11883621872402728,0.0016342025054427722,0.19984924793243408,31
random_b2_s17,random,2,17,wikitext,attention,512,,,,,,,,,1.2521678857636034,0.6718056871179949,0.8008450045195221,0.14529920322820544,0.0018294497760962258,0.225986048579216,31
random_b2_s17,random,2,17,wikitext,attention,1024,,,,,,,,,1.4038672693764291,0.7378308849799924,0.8594728545460704,0.1716599219944328,0.0019284278205873306,0.25683069229125977,31
random_b2_s17,random,2,17,tinystories,reconstruction,1024,0.0009071632098311966,0.5528446031821659,0.11630833711965068,0.940532817854546,0.0011587876942940056,4,1,1024,,,,,,,
random_b2_s17,random,2,17,tinystories,attention,128,,,,,,,,,0.9105662430903708,0.4717905081288759,0.6879799595298679,0.11115105252247304,0.0016385166480290536,0.1739702820777893,12
random_b2_s17,random,2,17,tinystories,attention,256,,,,,,,,,1.0744023193181256,0.5338909817344948,0.789362738940703,0.14611613587476313,0.0018441707554188724,0.2407408058643341,12
random_b2_s17,random,2,17,tinystories,attention,512,,,,,,,,,1.2748403233161911,0.6345089476475706,0.8722387186713636,0.17158932727761567,0.002024976241159493,0.2660815417766571,12
random_b2_s17,random,2,17,tinystories,attention,1024,,,,,,,,,1.5009485849520054,0.7412395221431081,0.9515125557650622,0.19433816918171942,0.0021723385303857867,0.2833576202392578,12
learned_b2_s17,learned,2,17,wikitext,reconstruction,1024,0.0006329813581231747,0.3508873579012288,0.08090309441568025,0.9597417805925943,0.0007906099781394005,14,7,1024,,,,,,,
learned_b2_s17,learned,2,17,wikitext,attention,128,,,,,,,,,0.48365267857100613,0.11506435153789299,0.47041287357617034,0.06389825482619926,0.0010068036992549878,0.11623451113700867,31
learned_b2_s17,learned,2,17,wikitext,attention,256,,,,,,,,,0.5096831609302922,0.1346918712098311,0.4915412607602865,0.0756334705511108,0.00107255084458302,0.12705913186073303,7
learned_b2_s17,learned,2,17,wikitext,attention,512,,,,,,,,,0.5576550007795962,0.15156004007099666,0.5346845550332741,0.09062903351150453,0.0011370833611010767,0.15330763161182404,12
learned_b2_s17,learned,2,17,wikitext,attention,1024,,,,,,,,,0.582264518737793,0.149850552430967,0.5598093306739269,0.1048419369617477,0.00117723563164418,0.1748475730419159,12
learned_b2_s17,learned,2,17,tinystories,reconstruction,1024,0.0006271236411947712,0.38043660265611834,0.08003686457223572,0.9601625502109528,0.00076339315273799,14,7,1024,,,,,,,
learned_b2_s17,learned,2,17,tinystories,attention,128,,,,,,,,,0.47166506634202116,0.1300809429453094,0.45474401462448033,0.07577307819155976,0.0010302063358267333,0.1288459599018097,12
learned_b2_s17,learned,2,17,tinystories,attention,256,,,,,,,,,0.5306717180556361,0.11877973116789346,0.5165630935193191,0.09679530607536435,0.0011624126822482594,0.15800093114376068,12
learned_b2_s17,learned,2,17,tinystories,attention,512,,,,,,,,,0.574503913027966,0.12532561726969818,0.5587974026839351,0.11135537351947278,0.0012148041212753924,0.17835521697998047,7
learned_b2_s17,learned,2,17,tinystories,attention,1024,,,,,,,,,0.6182613596102087,0.1234632031510516,0.6030181970778908,0.12278354074805975,0.0012591990652595086,0.19214454293251038,12
random_b2_s29,random,2,29,wikitext,reconstruction,1024,0.0009028662580590208,0.5009392273932463,0.11550012474864313,0.9408194437855855,0.0011662832694128156,0,7,1024,,,,,,,
random_b2_s29,random,2,29,wikitext,attention,128,,,,,,,,,0.8940287005993747,0.4669106524120005,0.6760231432635747,0.09838152083102614,0.0015048276746938427,0.17023922502994537,7
random_b2_s29,random,2,29,wikitext,attention,256,,,,,,,,,1.0245838276607053,0.5545762635854432,0.7170289955283143,0.11794190527871251,0.001604979394357997,0.19520457088947296,7
random_b2_s29,random,2,29,wikitext,attention,512,,,,,,,,,1.2043189017163847,0.6452888615182502,0.7879211869168652,0.14225867530331016,0.00173734167327666,0.23919126391410828,7
random_b2_s29,random,2,29,wikitext,attention,1024,,,,,,,,,1.351021332159275,0.7113027107424852,0.8450697858496674,0.16889628604985774,0.0018274472961365973,0.2655716836452484,7
random_b2_s29,random,2,29,tinystories,reconstruction,1024,0.0009021329069014428,0.5478685378911905,0.11526146449746927,0.9408732506562956,0.0011693765700329095,0,7,1024,,,,,,,
random_b2_s29,random,2,29,tinystories,attention,128,,,,,,,,,0.8804675386857617,0.4467248780320781,0.6809044220329866,0.1080540067050606,0.0014478546913210266,0.1823643147945404,7
random_b2_s29,random,2,29,tinystories,attention,256,,,,,,,,,1.0355483622866382,0.5062473214553952,0.779262011805876,0.14315636013634503,0.0016644872131337252,0.23970575630664825,7
random_b2_s29,random,2,29,tinystories,attention,512,,,,,,,,,1.223330639026783,0.6033130307876111,0.85934402590865,0.16696797451004386,0.0017802981914769589,0.26291418075561523,7
random_b2_s29,random,2,29,tinystories,attention,1024,,,,,,,,,1.4378242585717178,0.7094774204347192,0.9344660484650146,0.18976563913747668,0.001937702639793315,0.28764891624450684,7
