condition_id,method,bit_width,seed,mean_nll,perplexity,predicted_tokens,elapsed_seconds
fp16,fp16,,,1.6896198987960815,5.417421145435929,1022,0.7498440705239773
identity_b2_snone,identity,2,,5.721397876739502,305.3314404964901,1022,0.26194101199507713
random_b2_s17,random,2,17,1.9395838975906372,6.955856019931986,1022,0.2100553773343563
learned_b2_s17,learned,2,17,1.8832544684410095,6.574867780559413,1022,0.21004412323236465
random_b2_s29,random,2,29,1.912787139415741,6.77193685237536,1022,0.20998455211520195
learned_b2_s29,learned,2,29,1.863551139831543,6.446588910501235,1022,0.21026922017335892
random_b2_s43,random,2,43,1.9312334060668945,6.898013047939729,1022,0.20999328419566154
learned_b2_s43,learned,2,43,1.8594037294387817,6.419907628015513,1022,0.21008378267288208
identity_b3_snone,identity,3,,4.247794151306152,69.95094084744389,1022,0.21025383844971657
random_b3_s17,random,3,17,1.70868581533432,5.521700173625232,1022,0.21022460237145424
learned_b3_s17,learned,3,17,1.7304461598396301,5.643171103165359,1022,0.21018077060580254
random_b3_s29,random,3,29,1.7411303520202637,5.703787067427293,1022,0.21013684943318367
learned_b3_s29,learned,3,29,1.7094693183898926,5.5260281378484155,1022,0.21016820520162582
random_b3_s43,random,3,43,1.7602235674858093,5.813737011687951,1022,0.21018533781170845
learned_b3_s43,learned,3,43,1.7415720224380493,5.706306817852974,1022,0.21015096083283424
identity_b4_snone,identity,4,,2.6429672241210938,14.054845673610595,1022,0.21039484813809395
random_b4_s17,random,4,17,1.690619945526123,5.422841529604671,1022,0.2103121466934681
learned_b4_s17,learned,4,17,1.707088828086853,5.5128891263013395,1022,0.21034536138176918
random_b4_s29,random,4,29,1.6925778985023499,5.433469599552464,1022,0.21039852127432823
learned_b4_s29,learned,4,29,1.7013376355171204,5.481274437543077,1022,0.2103179469704628
random_b4_s43,random,4,43,1.7049133777618408,5.500909145511012,1022,0.21034380048513412
learned_b4_s43,learned,4,43,1.696887195110321,5.4569345540797265,1022,0.2102966457605362
