condition_id,method,bit_width,seed,retrieval_accuracy,retrieval_mean_target_margin,retrieval_tasks,elapsed_seconds
fp16,fp16,,,1.0,8.078125,6,1.3496836870908737
identity_b2_snone,identity,2,,0.6666666666666666,1.25,6,1.407433196902275
random_b2_s17,random,2,17,1.0,5.9375,6,1.4071931950747967
learned_b2_s17,learned,2,17,1.0,5.0625,6,1.407402366399765
random_b2_s29,random,2,29,1.0,4.8125,6,1.4076503477990627
learned_b2_s29,learned,2,29,1.0,5.520833333333333,6,1.4078905247151852
random_b2_s43,random,2,43,0.8333333333333334,4.40625,6,1.4088203646242619
learned_b2_s43,learned,2,43,0.6666666666666666,1.5833333333333333,6,1.4073958322405815
identity_b3_snone,identity,3,,0.6666666666666666,0.3333333333333333,6,1.4078335762023926
random_b3_s17,random,3,17,1.0,7.53125,6,1.408064529299736
learned_b3_s17,learned,3,17,1.0,7.479166666666667,6,1.4079843759536743
random_b3_s29,random,3,29,1.0,8.348958333333334,6,1.4080512151122093
learned_b3_s29,learned,3,29,1.0,7.380208333333333,6,1.407890509814024
random_b3_s43,random,3,43,0.8333333333333334,7.729166666666667,6,1.4081064760684967
learned_b3_s43,learned,3,43,1.0,7.572916666666667,6,1.4081614650785923
identity_b4_snone,identity,4,,1.0,7.338541666666667,6,1.4088640660047531
random_b4_s17,random,4,17,1.0,7.916666666666667,6,1.408879168331623
learned_b4_s17,learned,4,17,1.0,7.760416666666667,6,1.4087921157479286
random_b4_s29,random,4,29,1.0,7.119791666666667,6,1.4086905866861343
learned_b4_s29,learned,4,29,1.0,7.979166666666667,6,1.4086333364248276
random_b4_s43,random,4,43,1.0,7.958333333333333,6,1.4088613875210285
learned_b4_s43,learned,4,43,1.0,8.177083333333334,6,1.40891857072711
