condition_id,method,bit_width,seed,dataset,metric_scope,sequence_length,normalized_key_mse,original_key_mse,original_key_relative_mse,mean_key_cosine,worst_head_normalized_mse,worst_layer,worst_head,vectors_per_head,attention_logit_mse,attention_logit_bias,attention_logit_error_variance,attention_probability_kl,attention_output_mse,worst_attention_kl,worst_attention_layer
identity_b2_snone,identity,2,,wikitext,reconstruction,64,0.0019316236371196283,0.8489498642156832,0.24617121766150576,0.8685224168002605,0.003841449972242117,29,6,64,,,,,,,
identity_b2_snone,identity,2,,wikitext,attention,32,,,,,,,,,7.408696882652514,2.0962283105561226,3.0145237526755375,1.3028443281073123,0.025966919705069813,2.325528860092163,28
identity_b2_snone,identity,2,,wikitext,attention,64,,,,,,,,,8.826155594679026,2.4439224059765157,2.8533988682449847,1.5798647934570909,0.025085445928311856,2.571847438812256,28
identity_b2_snone,identity,2,,tinystories,reconstruction,64,0.0019735929240596306,0.9385127771529369,0.2532664651671634,0.8654207172803581,0.003988080192357302,29,6,64,,,,,,,
identity_b2_snone,identity,2,,tinystories,attention,32,,,,,,,,,6.692001774455562,1.9001674566305045,3.0813654112179223,1.215503299375996,0.02450429718732039,2.235574245452881,28
identity_b2_snone,identity,2,,tinystories,attention,64,,,,,,,,,7.43373463520637,2.0979994212205595,3.032133063764567,1.3002560862805694,0.022091246357604177,2.323367118835449,28
random_b2_s17,random,2,17,wikitext,reconstruction,64,0.0009058232074039552,0.40035773057024926,0.11609230908556474,0.94062823895365,0.0011136650573462248,6,1,64,,,,,,,
random_b2_s17,random,2,17,wikitext,attention,32,,,,,,,,,0.6263845797741052,0.2767478935420513,0.5497951831941427,0.06028383277589455,0.001151225375906506,0.11890589445829391,31
random_b2_s17,random,2,17,wikitext,attention,64,,,,,,,,,0.7679842921403738,0.371193799834985,0.6301994551044389,0.08112235029693693,0.001410737359833547,0.1627979278564453,31
random_b2_s17,random,2,17,tinystories,reconstruction,64,0.000908769535499232,0.4318913728930056,0.11654993305539195,0.940427677705884,0.0011570361675694585,4,1,64,,,,,,,
random_b2_s17,random,2,17,tinystories,attention,32,,,,,,,,,0.6065149216940908,0.22389404611154037,0.5563863778098943,0.07679834531154484,0.001373818829620177,0.12938329577445984,12
random_b2_s17,random,2,17,tinystories,attention,64,,,,,,,,,0.7389723823620723,0.3461908771441533,0.6191242589442341,0.0931581009645015,0.0014431387340891888,0.1553395390510559,12
learned_b2_s17,learned,2,17,wikitext,reconstruction,64,0.0007844034207664663,0.3456785179441795,0.10023689886606062,0.9490831943694502,0.0008914421196095645,9,7,64,,,,,,,
learned_b2_s17,learned,2,17,wikitext,attention,32,,,,,,,,,0.45154134703404974,0.13380482160683835,0.4336376167488119,0.04777999466750771,0.001001983485537039,0.10121165961027145,31
learned_b2_s17,learned,2,17,wikitext,attention,64,,,,,,,,,0.5515256918393648,0.18635295377327846,0.5167982684593392,0.06451681931503117,0.001151985155075863,0.12322036176919937,31
learned_b2_s17,learned,2,17,tinystories,reconstruction,64,0.0008121427479181875,0.3836753361392766,0.1035383838359645,0.9471464541275054,0.0009709144942462444,11,1,64,,,,,,,
learned_b2_s17,learned,2,17,tinystories,attention,32,,,,,,,,,0.47344162066777545,0.1179201937365261,0.4595364485769156,0.06473147356882691,0.0012368779412668118,0.11148086190223694,12
