bit_width,seed,horizon_steps,step,calibration_mse,wikitext_validation_mse,original_scale_validation_mse,relative_improvement,generalization_gap,orthogonality_max_abs
2,17,100,0,0.0009060692949702798,0.0009051367521237808,0.5391555637979764,0.0,-9.325428464990182e-07,3.514777158208915e-08
2,17,100,10,0.0006847567011476485,0.0007134894232478928,0.42497826856561005,0.21173300987526303,2.8732722100244246e-05,3.186033257218668e-07
2,17,100,20,0.000631828518812938,0.0006777418219741094,0.40416085548349656,0.25122715392576866,4.591330316117137e-05,3.4143512239737106e-07
2,17,100,30,0.0005969513686956418,0.0006546930533808393,0.3907659969181623,0.2766915586570861,5.774168468519747e-05,2.934144304189701e-07
2,17,100,40,0.0005710953348234682,0.0006378235189217207,0.3807753390083235,0.2953291119544596,6.672818409825254e-05,2.994946510792573e-07
2,17,100,50,0.000551427623292966,0.0006250936094573945,0.37322230928930367,0.3093931850731981,7.366598616442843e-05,3.051448492774611e-07
2,17,100,60,0.000536729955260995,0.0006160659622871378,0.3678155258648985,0.3193669787005969,7.933600702614285e-05,2.772646987558858e-07
2,17,100,70,0.0005259438993263643,0.0006097870193748633,0.3640834516572795,0.3263039889341796,8.384312004849903e-05,3.114550314320397e-07
2,17,100,80,0.0005185444096973413,0.000606158387764566,0.36187701077051315,0.33031292084616226,8.761397806722471e-05,3.206238485820023e-07
2,17,100,90,0.000514086495121191,0.0006038530688421417,0.3605295958532224,0.33285984971300486,8.976657372095076e-05,3.006207449640641e-07
2,17,100,100,0.0005114574098978864,0.000602733689945012,0.3598592720099987,0.3340965455984645,9.127628004712562e-05,5.386006440843971e-08
2,17,200,0,0.0009060692949702798,0.0009051367521237808,0.5391555637979764,0.0,-9.325428464990182e-07,3.514777158208915e-08
2,17,200,10,0.0006848243221284633,0.0007136709560597865,0.425069342380084,0.21153245143868674,2.884663393132314e-05,3.29766315143587e-07
2,17,200,20,0.000632264254043946,0.0006778701235319318,0.40427720738807693,0.25108540566781606,4.560586948798573e-05,3.1812332323966075e-07
2,17,200,30,0.0005967926293806158,0.0006537740152978699,0.3901990671274689,0.2777069169229094,5.69813859172541e-05,3.493373224028318e-07
2,17,200,40,0.0005705657851535761,0.0006356129497397944,0.3794507254524433,0.2977713607933666,6.504716458621829e-05,3.26114572901659e-07
2,17,200,50,0.000549891848073969,0.0006208235007783003,0.37068051900769206,0.3141108243349725,7.093165270433133e-05,3.0830395991721105e-07
2,17,200,60,0.000534228590581165,0.0006091868048123672,0.36374223838538455,0.32696710924289296,7.495821423120219e-05,3.2523918735982704e-07
2,17,200,70,0.000521208657461969,0.0005993400782031699,0.3578550754909884,0.3378458262832664,7.813142074120094e-05,3.3081668315837476e-07
2,17,200,80,0.0005101502741968744,0.0005920094587104074,0.3534989176032468,0.34594473451515756,8.185918451353302e-05,3.487845655625321e-07
2,17,200,90,0.0005007252178170774,0.0005853700145053153,0.3494742740285801,0.3532800285351093,8.464479668823799e-05,3.1584479076585126e-07
2,17,200,100,0.0004926741454269745,0.0005801648670242798,0.3463892763138574,0.3590307037439353,8.749072159730531e-05,3.277314124527919e-07
2,17,200,110,0.0004856749204211752,0.0005758942564906278,0.3438337406341816,0.3637488974573512,9.021933606945254e-05,3.0777861259601025e-07
2,17,200,120,0.0004796458548987914,0.0005723495263652012,0.34169328501138807,0.3676651345531373,9.270367146640979e-05,3.3744792915513244e-07
2,17,200,130,0.0004745886383599185,0.000569508804950658,0.339979945970299,0.37080357900131355,9.492016659073954e-05,3.3735793136813186e-07
2,17,200,140,0.00047025792781596465,0.000567580909237364,0.3388424588338239,0.3729335286567335,9.732298142139939e-05,3.1568958469563313e-07
2,17,200,150,0.0004668542357464389,0.0005660372357318977,0.33791440643199167,0.37463898753004116,9.918299998545876e-05,2.9084168495785434e-07
2,17,200,160,0.0004639712683776054,0.0005646631135540758,0.3370872018058435,0.3761571251756485,0.00010069184517647045,3.552456329103393e-07
2,17,200,170,0.0004617862791391758,0.0005636954407410855,0.3365130932752436,0.3772262153553588,0.00010190916160190966,3.13405693619373e-07
2,17,200,180,0.000460203849655727,0.0005630129554710095,0.3361041246789682,0.37798022878866,0.00010280910581528246,3.1832362223926935e-07
2,17,200,190,0.00045902711788414763,0.0005625036953329499,0.33579176494913554,0.3785428621552366,0.00010347657744880223,3.3991574321934337e-07
2,17,200,200,0.0004581408290196265,0.0005621919580995893,0.3356060849109781,0.37888727114385523,0.00010405112907996283,5.0741323809333494e-08
2,17,300,0,0.0009060692949702798,0.0009051367521237808,0.5391555637979764,0.0,-9.325428464990182e-07,3.514777158208915e-08
2,17,300,10,0.0006847974021297887,0.0007136002416814335,0.4250310469633405,0.21161057706797645,2.8802839551644865e-05,3.2197031885061733e-07
2,17,300,20,0.0006322628486401527,0.0006778290953306509,0.4042521299124928,0.25113073384743595,4.5566246690498247e-05,3.6397692837475404e-07
2,17,300,30,0.0005967793548045108,0.0006539647453216446,0.3903360126187181,0.2774961973566923,5.718539051713378e-05,2.962370481141008e-07
2,17,300,40,0.0005705681644592175,0.0006354913435444587,0.37938777982890315,0.297905711978478,6.492317908524115e-05,3.132303005859427e-07
2,17,300,50,0.00055007953174524,0.0006201827972276419,0.37031210645909596,0.3148186770977236,7.010326548240187e-05,3.439793749837605e-07
2,17,300,60,0.0005338979359592599,0.0006080961424785869,0.36310635535392066,0.32817207891319,7.419820651932696e-05,3.432881772180707e-07
2,17,300,70,0.000521298013518745,0.0005978893190921042,0.3570078786142403,0.3394486328289754,7.659130557335914e-05,3.7695851096142263e-07
2,17,300,80,0.0005105182949183273,0.0005900354321255463,0.3522350460907546,0.3481256498080449,7.951713720721898e-05,3.864469220182798e-07
2,17,300,90,0.000501092692527294,0.0005826377204840583,0.34780630937621027,0.3562986818102593,8.154502795676422e-05,3.402178947453649e-07
2,17,300,100,0.0004929908480182377,0.0005766568771505831,0.3442537935097789,0.3629063500100555,8.366602913234544e-05,3.136500053013691e-07
2,17,300,110,0.0004861320478504183,0.0005717786978500783,0.34132260151909577,0.3682957889971023,8.564664999965999e-05,3.1067011918572973e-07
